04-07 13:18,6023900953,寻找rainbow姑娘,0,道歉有用，要法律干嘛？,https://tva2.sinaimg.cn/crop.0.0.1342.1342.180/006zFFONjw8fagbs3fktmj311a11aaes.jpg
03-30 15:11,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/姑孰秋雨'>@姑孰秋雨</a>:你说是不是？大兄弟。。。                                  现在很多人，嘴里骂美国，但内心不改跪舔本色！属于高级汉奸！我们得擦亮眼睛！砸车粉红们就是个例子～他们不知受谁挑唆，居心叵测！打自己的人，说爱国的话！,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
03-30 10:35,5015379218,姑孰秋雨,0,"回复<a href='https://m.weibo.cn/n/__理想大饼zz'>@__理想大饼zz</a>:大兄弟，我是友军啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;""></span>",https://tvax4.sinaimg.cn/crop.0.1.750.750.180/005tq1fcly8fekabtmvgoj30ku0kwjsd.jpg
03-30 09:33,1919120140,纠结的CHUCK,0,回复<a href='https://m.weibo.cn/n/__理想大饼zz'>@__理想大饼zz</a>:大兄弟。你这个理解能力有点差啊,https://tva1.sinaimg.cn/crop.0.0.180.180.180/7263730cjw1e8qgp5bmzyj2050050aa8.jpg
03-30 09:12,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/二营长你TMD开炮啊'>@二营长你TMD开炮啊</a>:你爸爸,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
03-30 06:31,2659204483,二营长你TMD开炮啊,0,回复<a href='https://m.weibo.cn/n/__理想大饼zz'>@__理想大饼zz</a>:请问你是哪根葱？,https://tva2.sinaimg.cn/crop.0.0.750.750.180/9e803d83jw8ewtpjdyoo0j20ku0kujtl.jpg
03-30 03:41,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/霸得蛮的正能量兔'>@霸得蛮的正能量兔</a>:我国现在要没有你这种白痴，会好多了！你要不要献身为国家去死一下？？红烧兔头,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
03-30 03:39,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/dadouzi_141'>@dadouzi_141</a>:我国现在要没有你这种白痴，会好多了！你要不要献身为国家去死一下？？,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
03-30 03:38,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/老九LLH'>@老九LLH</a>:我国现在要没有你这种白痴，会好多了！你要不要献身 为国家去死一下？？,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
03-30 03:36,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/开车了请扶好下一站蛇精病院'>@开车了请扶好下一站蛇精病院</a>:我国现在要没有你这种白痴，会好多了！你要不要献身为国家去死一下？？,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
03-30 03:35,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/姑孰秋雨'>@姑孰秋雨</a>:你美爹自杀，我们也得跳楼？？    狗汉奸！我们就得比他们清廉比他们强！刚想美国也干了，你就合理了？？狗汉奸！！,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
03-30 03:35,3318798693,__理想大饼zz,0,回复<a href='https://m.weibo.cn/n/纠结的CHUCK'>@纠结的CHUCK</a>:你美爹自杀，我们也得跳楼？？    狗汉奸！我们就得比他们清廉比他们强！刚想美国也干了，你就合理了？？狗汉奸！,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/c5d0d965jw8ealp76ofbjj20u00u0jui.jpg
