278,安全主任证书问题,市安全生产监督管理局,2017.04.13,2017.05.02,"我是2003年考取的中级安全主任，证书编号：SAQZ20020700805,以前在安监局网站上可以查的到相关信息，为什么现在在网站上查不到信息？谢谢！
		","您好，因属2009年大部制改革前原市安监局颁发的证书，存在无法查询的情况，根据广东省安监局《关于取消广东省安全主任职业资格的通知》和《广东省安全生产监督管理局关于对《关于取消安全主任任职资格后有关问题的请示》的复函》（粤安监函【2016】44号）文件精神，我省从2015年8月26日起在全省范围内取消安全主任资格，原已颁发的《安全主任证书》可作为判断持证人是否具备安全生产管理能力的参考，在文件发布后，我市已不再考核、不再补办、不再换领安全主任证书。?感谢您的来信！
"
514,公明安监办人员无收据剪掉电箱私自拿走,市安全生产监督管理局,2017.03.20,2017.04.26,"2016年07月，公明安监办人员麦国华带人去我司剪掉电箱，也没有出示证件，把配电箱拿走，也没有给我司开单，这属于违法吗？配电箱如何拿回，电箱价值3000元
		","您好，已将核查处理情况电话反馈当事人。感谢您的来信！
		
		"
601,特种操作证换证复审,市安全生产监督管理局,2017.04.12,2017.04.24,"我的低压电工操作证复审，去培训学校资料都交集了，只是我的身份证出了点问题没有磁了，培训学校工作人员说报不了名，我的操作证还有二个月到期了，回去办身份证也得要三个月才能下的来。身份证没磁真的报不了名吗？
		","您好，身份证损坏并不影响电工操作证复审报名，当事人可电话咨询办证窗口（电话：23481891），告知报名的培训学校，工作人员在了解情况后会联系培训机构受理复审报名。感谢您的来信!
		
		"
623,初级安全主任证延期,市安全生产监督管理局,2017.04.11,2017.04.24,"我2014年12月考取了初级安全主任证，快要到期了，请问怎么办理延期？谢谢
		","您好，根据广东省安监局《关于取消广东省安全主任职业资格的通知》和《广东省安全生产监督管理局关于对《关于取消安全主任任职资格后有关问题的请示》的复函》（粤安监函【2016】44号）文件精神，我省从2015年8月26日起在全省范围内取消安全主任资格，原已颁发的《安全主任证书》可作为判断持证人是否具备安全生产管理能力的参考，在文件发布后，我市已不再考核、不再补办、不再换领安全主任证书。感谢您的来信！
		
		"
639,电工复审为何要等一个月,市安全生产监督管理局,2017.04.11,2017.04.24,"通过电工复审考试后，为何还要等一个月才发证？现在信息这么发达，就不能精简一下流程吗
		","您好，根据《特种作业人员安全技术培训考核管理规定》（国家第30号令）和深圳市培训考核流程，特种作业考试结束后10个工作日公布考试成绩，在成绩公布后20个工作日内审核并制作核发特种作业操作证。按照规定，市安监局目前已精简办证时间，在考试结束后15个工作日内制作并发放证书。感谢您的来信！
		
		"
732,新成车厢尾板厂大量使用天那水及油漆,市安全生产监督管理局,2017.04.12,2017.04.20,"新成车厢尾板厂地址：龙岗区龙岗街道吓坑村吓坑一路，油漆及天那水存放地点在厂门口出来右拐300米左右存放在旧的车厢里，给附近居民带来很大的安全隐患，请及时查处，谢谢1
		","您好，您所反映的已转至有关单位核查处理，请您耐心等待处理结果。感谢您的来信！
		
		"
755,关于新的《深圳市生产经营单位安全生产主体责任规定》,市安全生产监督管理局,2017.03.30,2017.04.20,"新的《深圳市生产经营单位安全生产主体责任规定》什么时候能颁布，流程如何？现在到那一步了？
		","您好，已电话回复当事人。感谢您的来信！
		
		"
1054,深圳企业生产安全事故应急预案备案如何申请？,市安全生产监督管理局,2017.03.22,2017.04.13,"您好，关于生产安全事故应急预案备案的申请流程方法等，并未在深安全生产监督管理局网站上找到，请指出如何申请
		","您好，已电话回复当事人。感谢您的来信!
"
1820,企业无法在国家安监总局网站的标准化信息系统注册,市安全生产监督管理局,2017.03.13,2017.03.28,"在国家安监总局的标准化信息系统注册是总是弹出：“该企业已经注册了用户，不能重复注册，请联系当地安全监管部门或者其确定的评审组织单位查询！”，求解决（主力智业（深圳）电器实业有限公司）。
		","您好，已电话回复当事人。感谢您的来信!
		
		"
2259,低压电工作业证,市安全生产监督管理局,2017.03.19,2017.03.20,"我的低压电工作业证是在深圳考的，但是因为工作原因，复审是在广州。现在我的证已经复审完，有标识、读卡仪器也读出复审记录。但是我在深圳安监网查不到那个复审记录，这个会影响我作业证以后的使用吗？
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
"
2516,特种作业证件,市安全生产监督管理局,2017.03.14,2017.03.14,"现有2本省外发特种作业证件，一本初始发证地为深圳，后因工作地在外地，换证到当地。现在准备全部换回深圳，是否可以办理？
本人现为深圳户籍，工作地也在深圳。
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
2688,电工证复审事宜,市安全生产监督管理局,2017.03.10,2017.03.10,"单位每年有大量人员需要电工证复审，目前复审人员是自行通过网上试题库学习，然后再参加安监局安排的复审考试。这样，单位可否不通过培训机构申报电工证复审，直接到安监局填报提交复审表，领取复习卡，参加考试？
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
2927,安全管理员证书发放问题。,市安全生产监督管理局,2017.03.07,2017.03.07,"因应街道办安全部门要求，超过百人企业必须配备安全管理人员，本人于2016年12月17日参加安全管理员资格考试，经查询考试通过，至今快三个月了，证书还没有发下来，想咨询一下，证书什么时间发放？？？
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
2974,安全管理员证书发放问题。,市安全生产监督管理局,2017.03.07,2017.03.07,"因应街道办安全部门要求，超过百人企业必须配备安全管理人员，本人于2016年12月17日参加安全管理员资格考试，经查询考试通过，至今快三个月了，证书还没有发下来，想咨询一下，证书什么时间发放？？？
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
2975,关于基层安全巡查员职责界限,市安全生产监督管理局,2017.02.12,2017.03.07,"根据相关法律法规和各部门职责分工，目前我市对“三小场所”的安全生产工作采取巡、办分离的监管方式，即巡查是属地与部门共同负责（部门由于受限于执法力量等因素，实际可能更多时候是由属地承担），查出的隐患是根据隐患类别由相应的行业或专项管理部门督促整改和执法监督，属地有协助督促整改的职责。巡查“三小场所”发现的大多是消防方面的隐患，根据《深圳市人民政府办公厅关于进一步理顺安全管理委员会、消防安全委员会和预防道路交通事故联席会议职能及运行机制的通知》（市府办函[2014]63号），应由公安部门督促整改和执法监督，属地有协助督促整改的职责。这段内容是市安监局的回复，你好我是坪山区坑梓街道办某社区的一名安全巡查员。上面的内容说巡、办分离的监管方式，坪山区坑梓街道办这里安全巡查员现在的状况可以说是，巡、办、责任都在基层的巡查员身上，我们现在一个月到手工资是3500人民币，2016年开会签合同的时候说有第十三个月工资，现在过完年了，就和我们说经费用完了，没有第十三个月工资，是不是太过份了。
		","您好，您所反映的已转至有关单位核查处理，请您耐心等待处理结果。感谢您的来信！
"
3068,投诉,市安全生产监督管理局,2017.02.25,2017.03.06,"深圳巴士集团龙岗公共汽车鹏程绿的维修厂藐视国法，偷偷使用厂内的危房，白色的板式组合二层楼房，一楼支撑点都腐烂啦，完全不顾员工生命安全
		","您好，您所反映的已转至有关单位核查处理，请您耐心等待处理结果。感谢您的来信！
		
		"
3366,电工操作证复审,市安全生产监督管理局,2017.02.24,2017.02.27,"您好！电工操作证复审十年以上的是三年一审还是六年一审。
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
3525,电工证复审,市安全生产监督管理局,2017.02.22,2017.02.23,"你好！深圳的电工证异地（汕头）复审了之后，安监局的读卡器上面有显示复审，但是网上却查不出来复审记录是怎么回事？有可能是遇到了假的培训机构吗？
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
3584,安全主任资格证,市安全生产监督管理局,2017.02.21,2017.02.22,"你好，我2006年考的安全主任资格证没在网上认证，现在网上查不到，请问怎么在网上认证。谢谢
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
3700,举报罗湖金岸消防设施检查记录造假，一旦火灾肯定死人,市安全生产监督管理局,2017.01.21,2017.02.20,"事发地：罗湖区沿河南路1070号罗湖金岸
举报：今天是1月21号，整个小区的消火栓设备上贴的检查记录，显示2月3号已经检查完毕。这么明摆着造假，物业公司盼着小区出事吗？
去年10月安监局不是已经来过小区，发现物业公司连消防门都上锁。
问：对于这样不依法生产经营的企业，无视法律我行我素的企业，安监局是否该加大力度整治？是否应该联合其他监管部门吊销其经营许可？

现在临近年关，因烟花引起的火灾数量会增加，但要是因为该黑心物业公司造假，导致火灾时伤亡更严重，居民家破人亡，天理何在？
		","您好，您所举报的情况已转至有关单位核查处理，请您耐心等待处理结果。感谢您的来信！
		
		"
4019,电工操作证异地换证,市安全生产监督管理局,2017.02.12,2017.02.13,"您好，我持有深圳的电工操作证，因公司需要长期外派四川，操作年审需要换证，单独因换证请假回深圳成本太高，请问能否异地换证并可追溯到原始持证信息？以后会深圳工作能否在深圳再次换证？
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
4211,关于2016年12月份电工证复审相关事宜咨询,市安全生产监督管理局,2017.02.07,2017.02.08,"2016年12月份我去志远学校咨询电工证什么时候复审，志远学校回复说要到年后才可以复审，我就回家了，到正月初八去志远学校报复审，志远学校咨询安检局说可以复审，于是我交了钱并去医院体检，今天学校打电话给我说又不可以复审了，这可怎么办呢？急!盼回复，谢谢。
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
4534,电工上岗证遗失,市安全生产监督管理局,2017.01.16,2017.01.17,"本市颁发的有效期内的上岗证遗失可否补办？若可需哪些手续？到何处办理？费用几何？谢谢
		","您好，建议您电话咨询23481891，这是我局关于考核发证的咨询电话。感谢您的来信！
		
		"
4539,广州职业卫生技术服务机构（乙级）如何在贵局备案,市安全生产监督管理局,2016.12.21,2017.01.17,"我司为广州地区的职业卫生技术服务机构，想在深圳开展业务，我们应该上交什么资料，联系哪里？
		","您好，职业卫生技术服务机构在深圳开展相关业务，需提交一下材料：资质证书文件、营业执照文件、专业技术人员职称文件、资质证明材料、设备设施清单文件、质量控制文件及过程控制文件等相关材料。感谢您的来信！
		
		"
