6628,哈工大扩建,深圳市建筑工务署,2016.10.28,2016.11.08,"你好，请问哈工大扩建项目的招标负责人，我这边是建筑玻璃材料供应商耀皮玻璃，感谢
		","您好，请关注市住建局、交易中心和我署官网，相关招标信息将不定期在公共网络平台上发布。
"
7196,BIM技术,深圳市建筑工务署,2016.10.19,2016.10.24,"我们是做BIM技术研发的公司，如何将我们的BIM技术战略合作
		","您好，具体合作事宜请咨询我署项目策划处工作人员，谭工，88134067
		
		"
14993,关于进入深圳市工务署品牌库与涂料战略合作的若干问题,深圳市建筑工务署,2015.12.14,2015.12.21,"请问贵署，品牌库名录涂料能否进入，审核需多久？品牌库与战略合作有何区别？今年涂料战略合作何时开始招标？未进入名录的涂料厂家能否参与政府建设活动？
		","您好，感谢您对政府工程的关心和支持。关于品牌库入库有关事宜请登录我署网站（http://www.szwb.gov.cn/）“通知公告”查询。
		
		"
19373,请问每年品牌入选工作在什么时间段开始申请,深圳市建筑工务署,2015.06.23,2015.06.26,"请问每年的机电类品牌入选工作什么时候开始申请？
		","您好，感谢您对我署品牌库的支持，您可以登陆我署网站www.szwb.gov.cn获取品牌库相关信息。
		
		"
19398,如何申报进入工务署参考品牌库,深圳市建筑工务署,2015.06.23,2015.06.26,"如何申报进入工务署参考品牌库，在那个网站注册申请，能发下连接更好，谢谢！
		","您好，感谢您对我署品牌库的支持，请您登陆我署门户网站www.szwb.gov.cn获取相关信息。谢谢。
		
		"
21616,我发现有人用不合格钢筋楼建好了还可以举报吗,深圳市建筑工务署,2015.02.04,2015.02.06,"我要如何举报有流程 
		","您好，如涉及我署组织建设的项目，您可直接在此举报。
		
		"
23282,北大深圳医院外科住院大楼何时投入使用？,深圳市建筑工务署,2014.10.21,2014.10.22,"请问：何时投入使用？
		","您好。感谢您对我署工作的支持。北大深圳医院外科住院大楼计划今年底竣工验收。投入使用时间请咨询市医管中心。
		
		"
23529,何时通过评审,深圳市建筑工务署,2014.09.11,2014.09.25,"你好！ 我公司于2013年10月份已经完成电子资料的申报及注册，并按要求提交了相关的电子资料，电话通知我司，会有相应人员通知接洽，直到目前还没有得到相应的回复。我想咨询何时有回复结果。
		","您好，感谢您对政府工程建设的关心和支持。您所申报的节能空调机电类别因申报厂家数量较少，暂不具备建立品牌库条件，因此尚未开展入库评审工作。
		
		"
24541,如何报名进入品牌库？,深圳市建筑工务署,2014.04.23,2014.04.23,"本公司是做防盗报警系统的，请问如何能进入贵单位的品牌库系统？是哪个部门在负责？需要提供怎样的资料呢？
		","您好，感谢您对我署工作的支持。有关参考品牌情况请登录我署网站在“信息通报”栏目查询“关于征集优秀建筑（装饰）、机电、水暖材料设备参考品牌的通知”。到我署网站http://www.szwb.gov.cn/品牌库栏目中进行注册和电子申报。由我署的品牌库工作小组择期对申报的电子材料进行初审，初审合格的通知提交书面资料和进行交流审查工作。详见《工务署参考品牌库申报办法》。
"
25832,2013年品牌库的甄选，什么时候可以开始？,深圳市建筑工务署,2013.05.08,2013.05.15,"尊敬的深圳市建筑工务署： ? 我司是深圳做楼宇自控的一家代理公司，从今年1月份开始申请进入到工务署的品牌库当中，先是打电话咨询（82104923），但是得知初选工作去年年底的时候就截止了，下一期甄选工作还未开始，但是今天看到第四批品牌库已经公布，所以想请问2013年的品牌报名时间什么时候可以开始？此次的品牌库招募也没有看到相关的文档（在工务署的文档库里面都是2011年的文档），请工务署帮忙指导，多谢！ ? ? 此致 敬礼！
","　　您好，感谢您对我署工作的支持。有关优秀机电品牌征集情况请登陆我署网站http://www.szwb.gov.cn/，在“品牌库”栏目下载《工务署参考品牌库申报》，根据有关要求进行注册和预申报。有关情况敬请留意我署网站。
"
