359,无违规违纪证明,深圳市社会保险基金管理局,2017.04.24,2017.04.28,"公司要上市，需要开具无违规违纪证明，需要提供什么材料？证明材料有没有固定模版？去哪里盖章？
		","您好！开具用人单位有无因违反社会保险法律法规受行政处罚的证明，具体可查阅办事指南指引：http://www.szsi.gov.cn/zxbs/bszn/sijh/201607/t20160705_3842135.htm
"
507,2017年重大疾病保险的参保时间什么时候开始？,深圳市社会保险基金管理局,2017.04.21,2017.04.26,"2017年重大疾病保险的参保时间什么时候开始？
		","您好！2017年度重疾险工作已启动。参保须知详见：关于深圳市重特大疾病补充医疗保险2017-2018医保年度参保缴费的温馨提示http://www.szsi.gov.cn/sbjxxgk/tzgg/simtgg/201704/t20170427_6170592.htm
"
976,基本医疗保险一档，门诊看病报销,深圳市社会保险基金管理局,2017.04.13,2017.04.15,"参保了基本医疗保险一档，在门诊看病时刷社保卡，扣费时是已经排除可以报销的部分吗？还是刷卡后拿到缴费单自己去报销？
		","您好！刷卡就医时能医保报销部分已由医保基金支付，不用参保人申请报销。
		
		"
1098,非深户转为深户后怎样变更参保户籍,深圳市社会保险基金管理局,2017.04.11,2017.04.12,"非深户转为深户后怎样变更参保户籍
		","您好！您户籍调入我市后，请及时告知参保单位，请单位社保经办人通过企业社保网上申报系统提交申请即可。
		
		"
2026,社保卡更换,深圳市社会保险基金管理局,2017.03.20,2017.03.23,"听闻贵局正在进行“深圳社保卡”更换事项，原有的“社会保障卡”将更换为银行卡。请问： 1、是否必须更换？ 2、更换后的社保卡与原有的有何不同？
		","您好！我局正根据上级相关部门要求积极推进金融社保卡换卡工作，目前新旧交替阶段，旧卡仍可用，但建议您尽快更换新社保卡，新社保卡除社保功能外，还具有银行金融功能，可做为社保费缴费（医保自付扣费）、退休金、失业金等社保待遇发放的账户，极大方便参保人。
		
		"
2596,深圳社保怎么转贵州安龙县,深圳市社会保险基金管理局,2017.03.13,2017.03.14,"本人2010年离开深圳到贵州开了一家小公司，在本地都买了社保，想把之前在深圳打工时工厂交的好几年设保转过来，怎么转，谢谢。
		","您好！深圳市参保人员申请基本养老保险关系跨省转出我市，详细办理程序、材料、条件请查看办事指南：http://www.szsi.gov.cn/zxbs/bszn/sitz/200809/t20080908_34208.htm
"
2664,深圳市失业保险怎么样领取,深圳市社会保险基金管理局,2017.03.11,2017.03.12,"本人咨询深圳市失业保险怎么样领取，流程是怎样的，原单位要出具那些证明资料，自已要准备那些资料，我住在龙岗。谢谢
		","您好！深圳市参保人员申请失业金的详细办理程序、材料、条件请查看办事指南：http://www.szsi.gov.cn/zxbs/bszn/sisy/201009/t20100910_1566129.htm
"
2665,个人如何缴纳社会保险,深圳市社会保险基金管理局,2017.03.09,2017.03.12,"我在一家公司工作，公司给予正常缴纳社会保险，我现在想要自己创业，请问我能否以个人的身份续交社会保险，如何操作？多谢
		","您好！本市户籍人员可申请个人参保。详细条件和程序等可查看办事指南：http://www.szsi.gov.cn/zxbs/bszn/sizs/201009/t20100926_1585916.htm
"
2755,关于办理常住内地就医备案,深圳市社会保险基金管理局,2017.03.06,2017.03.09,"您好，我是深圳户籍，属于个人参保，参保状态正常。目前在内地湖北省仙桃市)上班，没有办理湖北省社保。想办理常住内地就医备案，请问需要哪些资料？如何办理？
		","您好！本市参保人常住内地就医备案相关信息可查看网站办事指南:http://www.szsi.gov.cn/zxbs/bszn/siyll/201009/t20100916_1569629.htm
		
		"
2952,社保卡遗失了怎么办？,深圳市社会保险基金管理局,2017.03.06,2017.03.07,"社保卡遗失了怎么办？
		","您好！个人可以向金融社保卡发卡银行提出申请重新办卡。详细办事指南可查询：http://www.szhrss.gov.cn/ztfw/jrsbk/
"
3021,社保姓名已办理更正，现有名字错误的社保卡如何更换？,深圳市社会保险基金管理局,2017.03.04,2017.03.06,"之前办理的人员把我的社保卡名字写错了，已经到相关营业厅更正，但是手上的这张社保卡名字还是错误的，请问如何更换？可以直接办理社保银行卡吗？发卡银行有哪些？如何办理？谢谢
		","您好！姓名更正后，个人可向发卡银行卡申请重新制卡即可，发卡银行见办事指南。详细办事指南：http://www.szhrss.gov.cn/ztfw/jrsbk/
"
3982,外省社保转入深圳条件和流程,深圳市社会保险基金管理局,2017.02.13,2017.02.14,"外省社保转入深圳的条件和流程
		","您好！养老保险关系跨省转入的条件和办事流程详见网站办事指南：http://www.szsi.gov.cn/zxbs/bszn/sitz/200810/t20081031_340776.htm
"
4067,女职工下岗后个人缴费，法定退休年龄否是50周岁？,深圳市社会保险基金管理局,2017.02.10,2017.02.11,"我本人2000年在一家企业参加社保并由单位缴交。2003年下岗后由本人在个人缴纳窗口缴交。请问：1、我这种情况，法定退休年龄与一直由单位缴交的法定退休年龄一样吗？是否也按女性工人50岁法定退休年龄？ 谢谢！
		","您好！根据有关规定深户女性工人失业后参加个人缴费的退休年龄为50周岁。
		
		"
