7195,统计从业资格继续教育,深圳市统计局,2016.10.19,2016.10.24,"2015年11月发证，一直没年审会失效吗？深圳市统计从业资格证继续教育可以在网上操作吗？
		","你好，深圳市统计从业资格证继续教育工作由深圳市统计信息培训中心负责，详情请咨询培训中心，电话：83974769。
		
		"
7269,2016年的统计年鉴何时发布？,深圳市统计局,2016.10.14,2016.10.18,"2016年的统计年鉴何时发布？
		","你好，预计到明年4月份发布2016年深圳统计年鉴。
		
		"
7567,统计内容更新,深圳市统计局,2016.10.05,2016.10.08,"统计快报的内容为何更新到6月份就不更新了？
		","你好，统计快报是每月更新，请留意我局网站统计快报栏目，网址为：http://www.sztj.gov.cn/xxgk/tjsj/tjkb/。
		
		"
7999,金融机构本外币存、贷款余额数据的准确性,深圳市统计局,2016.09.20,2016.09.21,"在深圳市统计指标—2015年10月中显示，金融机构本外币存上年同月为49233.58，贷款余额上年同月为27553.97，但在深圳市统计指标（一）——2014年10月中显示，金融机构本外币存上年同月为31859.15，贷款余额上年同月为22210.74，数据明显相差甚远，2015年11月，12月存在同样的问题，请说明一下，谢谢
		","你好，该数据人民银行因口径调整，2015年对2014年的同期数进行了调整。调整是由人民银行进行的。
		
		"
8046,	?关于深圳市2015年深圳市平均工资数据的说明,深圳市统计局,2016.09.19,2016.09.20,"请贵局在此直接回复不要给链接：2015年深圳市在岗职工平均工资数据，以及同比增长率数据，谢谢！
		","你好，该数据已在我局门户网站公开，http://www.sztj.gov.cn/xxgk/qt/tzgg/201606/t20160606_3683015.htm，可供查阅。
		
		"
8064,2015年统计年鉴什么时候公开？,深圳市统计局,2016.09.19,2016.09.20,"我看前几年的统计年鉴都是次年3，4月份就公开了，为什么2015年的到现在还不能在你们网站上找到？
		","你好，2015年统计年鉴已在我局公布。网址为：http://www.sztj.gov.cn/xxgk/tjsj/tjnj/。
		
		"
8151,关于深圳市2015年深圳市平均工资数据的说明,深圳市统计局,2016.09.14,2016.09.18,"请贵局在此回复：2015年深圳市在岗职工平均工资数据，以及同比增长率数据，谢谢！
		","你好，2015年深圳市在岗职工平均工资数据已在我局网站公布，网址为：http://www.sztj.gov.cn/xxgk/qt/tzgg/201606/t20160606_3683015.htm。
		
		"
8877,2015年度深圳月平均工资,深圳市统计局,2016.08.18,2016.08.19,"请问2015年度深圳月平均工资是多少？
		","你好，2015年度深圳市在岗职工工资情况已在我局网站公布，网址为：http://www.sztj.gov.cn/xxgk/tjsj/tjgb/201606/t20160603_3680654.htm。
		
		"
9015,全社会固定资产投资和民间固定资产投资,深圳市统计局,2016.08.11,2016.08.12,"您好啊，我想要查找按行业划分的全社会固定资产投资和民间固定资产投资的统计数据，因为主要是要查找信息传输、软件和信息技术服务业的数据，但是不知道在哪儿能找到
		","你好，我局网站统计年鉴有详细数据。
		
		"
9609,初级统计资格证发放,深圳市统计局,2016.07.15,2016.07.18,"2015年初级统计资格证发放时间是什么时候？具体领取方式是什么？
		","你好，2015年初级统计资格证已经在今年4月份发放到各个报名点，如未领取，请联系当初报名点。
		
		"
15584,2015广东统计从业资格成绩查询,深圳市统计局,2015.11.21,2015.11.23,"你好，请问2015广东统计从业资格成绩查询，什么时候能在官网上查到？广东考区的都可以在官网查到？
		","您好，统计从业认定考试深圳地区由深圳市统计信息培训中心负责，详情请咨询培训中心，咨询电话：83974769。我局无提供成绩查询的相关业务。
"
