词语,计数
"
",236
邀请函,82
邀请,81
签证,77
中国,61
提供,59
客户,57
来华,50
认证,45
外国人,43
确认函,42
公证,38
材料,37
外事办,36
证明,35
文件,28
准备,26
提交,25
护照,24
网上,21
商务,20
香港,19
情况,19
目前,19
APEC,18
业务,17
要求,17
信息,17
往来,16
银行,16
参加,16
巴基斯坦,16
合作,15
入境,15
多次,14
出生,14
无法,13
机构,13
注册,13
具体,13
时间,13
密码,13
申报,13
应该,13
网站,12
国外,12
出具,12
直接,12
系统,12
日本,12
土耳其,11
负责人,11
商务签证,11
希望,11
先生,11
身份证,10
美国签证,10
清华大学,10
流程,10
组织,10
许可,10
国内,10
外国,9
双方,9
大使馆,9
尊敬,9
一家,9
就业,9
领事,9
居留,9
领导,9
工作人员,9
知道,9
盼复,9
想要,9
申请人,9
是不是,9
授权,9
最近,8
贵处,8
给予,8
JHA,8
商务旅行,8
能够,8
有个,8
国籍,8
公务,8
即可,8
加盖,8
海关,8
电话,8
法国,8
公证书,8
国际,8
复印件,8
联系,8
必须,8
对方,8
一年,8
通知,8
美国,8
报关单,8
多长时间,8
代码,8
之前,7
人员,7
窗口,7
今年,7
付款,7
会议,7
保证书,7
帮助,7
原因,7
能否,7
因公护照,7
旅游,7
操作,7
外事,7
提单,7
外办,7
身元,7
报告,7
委托,7
婚姻,7
上面,7
广东省,7
普通,7
麻烦,7
cn,7
http,7
格式,6
填写,6
中心,6
确认,6
一次,6
费用,6
法律,6
得到,6
政府,6
客人,6
尽快,6
公章,6
www,6
说明,6
朋友,6
外籍,6
审核,6
户口,6
签字,6
方便,6
之后,6
重新,6
获得,6
港澳,6
水单,6
这种,6
交流,6
日期,6
完成,6
同事,6
学生,6
老师,6
内容,6
通行证,6
国家,6
打印,6
帮忙,6
告诉,6
提示,6
才能,6
受理,6
结婚证,5
部分,5
外事办公室,5
以上,5
一份,5
非常感谢,5
参观,5
邮箱,5
投资,5
发货,5
德国,5
and,5
信用证,5
家属,5
相应,5
印度,5
就业证,5
了解,5
找到,5
正常,5
计划,5
正式,5
咨询电话,5
办法,5
记录,5
审批,5
因公,5
代办,5
回国,5
居留证,5
具有,5
北京,5
网页,5
有没有,5
活动,5
前往,5
具备,5
一名,5
公证处,5
证明文件,5
不会,5
工作日,5
地点,5
地方,5
当地,5
看到,5
大概,5
往返,5
访问,5
居住,5
到期,5
政策,5
两个,5
出国,5
证件,5
领事馆,5
解决,5
the,4
民政局,4
符合,4
印章,4
英文,4
原件,4
孟加拉,4
涉外婚姻,4
签发,4
我要,4
签注,4
营业执照,4
详细,4
再次,4
父母,4
经济体,4
洽谈,4
加急,4
注销,4
公安局,4
公司法人,4
选择,4
法律效力,4
约束力,4
处理,4
访华,4
十分,4
户籍,4
员工,4
父亲,4
赴美,4
管理,4
变更,4
多久,4
清单,4
新加坡,4
we,4
办公,4
相匹配,4
查阅,4
预计,4
htm,4
一定,4
显示,4
次数,4
不到,4
登录,4
错误,4
属于,4
留学,4
有限公司,4
展会,4
不用,4
礼貌,4
有无,4
有效期,4
有效,4
台湾,4
中国海关,4
职业,4
研究,4
船务,4
小孩,4
研究院,4
查询,4
离职,4
取得,4
考察,4
安排,4
遇到,4
广州,4
官方,4
广东,4
科技,4
申请表,4
月份,4
事项,4
三份,3
公正,3
可不可以,3
创汇,3
不知,3
来自,3
收费,3
统一,3
纸币,3
一批,3
初次,3
公民,3
基本,3
收到,3
到场,3
japan,3
接受,3
公安,3
出生证,3
商旅,3
尼日利亚,3
办事,3
研究生院,3
缴交,3
全部,3
关系,3
不是,3
报名,3
盖章,3
携带,3
股东,3
可否,3
出入境,3
韩国,3
区别,3
在职,3
地址,3
非常,3
gov,3
报批,3
西班牙,3
visa,3
下载,3
派遣,3
影响,3
希腊,3
报件,3
监护人,3
固定,3
许可证,3
jp,3
来过,3
途径,3
指南,3
实习,3
民营,3
事实,3
第一次,3
申办,3
事宜,3
旅行社,3
近期,3
事情,3
荷兰,3
私人,3
递交,3
正确,3
招聘,3
用于,3
以下,3
代表,3
过去,3
学习,3
亲自,3
do,3
每次,3
学历,3
人民币,3
比较,3
亲属关系,3
emb,3
明年,3
申请材料,3
步骤,3
急盼,3
邮件,3
代理,3
实践,3
南非,3
方式,3
成员,3
感谢您,3
法兰克福,3
外教,3
类似,3
持有,3
中文,3
sent,3
go,3
中科院,3
得知,3
合作伙伴,3
教育,3
成立,3
教授,3
备案,3
备忘录,3
模板,3
友好,3
正在,3
点击,3
简历,3
协议,3
沙特阿拉伯,3
审批表,3
使馆,3
意大利,3
特别,2
老家,2
this,2
批准,2
版本,2
职位,2
翻译,2
叙利亚人,2
Q1,2
续签,2
只能,2
可能,2
名称,2
打款,2
Ltd,2
找回,2
商务活动,2
名义,2
罗湖区,2
联系方式,2
技术,2
可用,2
同性,2
打开,2
因私护照,2
商务洽谈,2
电子,2
not,2
小学生,2
小学,2
of,2
导入,2
对外,2
社会,2
宝安区,2
局势,2
申请报告,2
学术会议,2
急件,2
程序,2
税务,2
子女,2
子公司,2
疑问,2
形式,2
总经理,2
市民,2
建议,2
目的,2
开局,2
account,2
并用,2
开户,2
帐号,2
巴西,2
当时,2
name,2
看厂,2
当中,2
真的,2
登陆,2
已有,2
工厂,2
委托书,2
第九条,2
续办,2
国民小学,2
我方,2
场所,2
状态,2
经贸,2
户口本,2
结婚,2
szfao,2
tankishoyo,2
纸质,2
统计表,2
因要,2
特殊,2
回答,2
回来,2
所有,2
回到,2
城市,2
纳税,2
如下,2
签订,2
总裁,2
总部,2
第二次,2
用户名,2
用户,2
大学生,2
签署,2
理由,2
我想,2
外贸,2
外商独资,2
现特,2
外事局,2
现有,2
紧急,2
supplier,2
叙利亚,2
表格,2
照片,2
比较复杂,2
这份,2
以前,2
代码证,2
这方面,2
这样的话,2
日惹,2
日方,2
进去,2
介绍,2
民办学校,2
日程表,2
还要,2
遗失,2
交流学习,2
邀请信,2
此项,2
此次,2
正规,2
也门,2
乌兹别克斯坦,2
里面,2
之外,2
以外,2
任职,2
教科,2
保留,2
资助,2
资格,2
停留,2
整本书,2
候选人,2
修改,2
文化,2
一个月,2
法人,2
斯里兰卡,2
促进,2
伊斯坦布尔,2
侨办,2
受到,2
供应商,2
输入,2
江西,2
过期,2
传真,2
一位,2
过程,2
for,2
金融,2
暂时,2
长期,2
领军,2
需提交,2
服务,2
下来,2
下方,2
期间,2
期限,2
校友会,2
未婚,2
未成年人,2
未曾,2
上学,2
暑假,2
标杆,2
三个,2
来访,2
万分,2
香港中文大学,2
香港特区,2
马拉松,2
一起,2
驻外使馆,2
骨干企业,2
需在,2
有过,2
不胜感激,2
不认,2
问下,2
临时,2
更改,2
中方,2
阅读,2
曾来,2
最好,2
最新,2
阿根廷,2
桃园市,2
中午,2
consular,2
个人,2
桃园县,2
限制,2
company,2
桃园,2
两位,2
两份,2
丢失,2
业务员,2
先进,2
沟通,2
贵办,2
购买,2
深圳市政府,2
深圳市人民政府,2
have,2
授权书,2
西班牙文,2
办到,2
办公室,2
探亲,2
办事处,2
到底,2
出来,2
到华,2
创新,2
消息,2
分公司,2
分会,2
出证,2
出示,2
搜索,2
who,2
指示,2
指点,2
助理,2
行程,2
取证,2
聘请,2
发现,2
发展,2
自由,2
自行,2
友好城市,2
航天,2
参会,2
去年,2
英国,2
原有,2
拒绝,2
印度人,2
拿到,2
apce,2
华侨,2
华人,2
包含,2
出版,2
接到,2
语文,2
几所,2
货款,2
全家,2
账户,2
注意事项,2
课题组,2
课程,2
共同,2
内资,2
几个,2
该处,2
几天,2
该名,2
开发,2
bank,2
几点,2
设计,2
goods,2
出差,2
烦请,1
cgjp,1
演员,1
校区,1
best,1
特派,1
登记证,1
死死的,1
栏目,1
样子,1
河源,1
样表,1
海事,1
湖北,1
清晰,1
没用,1
泰国,1
添加,1
源创,1
白跑一趟,1
焦急,1
照明,1
chinese,1
现场,1
来往,1
法律依据,1
after,1
现于,1
特邀,1
法属,1
燃气,1
珍珠棉,1
杨坚,1
监督局,1
某种,1
查看,1
标准,1
标志,1
爱好者,1
百忙之中,1
没收,1
登入,1
水湾,1
用语,1
汇到,1
男朋友,1
advise,1
电子邮箱,1
电子产品,1
深圳大学,1
每年,1
特权,1
每半年,1
留学人员,1
涉外,1
涉及,1
此人,1
每个,1
海运,1
特此,1
apec,1
死亡,1
比赛,1
留意到,1
父女关系,1
深大,1
深户,1
深府,1
理解,1
理赔,1
瑞士,1
甘肃省,1
申报表,1
留言,1
advance,1
汇报,1
生存,1
物流,1
案例,1
独生子女证,1
生活,1
沙特,1
梅州,1
流水,1
犯罪,1
一栏,1
目标,1
过来,1
赶回去,1
超过,1
跨境,1
蹦出,1
身份,1
China,1
Chilingirova,1
转告,1
转飞,1
辛苦,1
边检,1
达到,1
迁移,1
过境,1
运营,1
迫切,1
运输,1
还应,1
这两项,1
这位,1
这方,1
这次,1
进一步,1
进修,1
进展,1
进度,1
进程,1
进阶,1
远洋渔业,1
连带,1
赴法,1
赴华来,1
赔偿,1
资金,1
解释,1
订单,1
Import,1
Export,1
许可证书,1
论坛,1
证件号码,1
EVUS,1
证明书,1
诈骗,1
详情,1
详述,1
说完,1
请予,1
请教,1
请来,1
读书,1
调查,1
调试,1
谢谢您,1
负债,1
负责,1
Derek,1
货物,1
Co,1
贵部,1
贷款,1
贸易,1
资质,1
连续,1
送到,1
直呼,1
预约,1
集团,1
雇佣,1
雇来,1
需先,1
需出,1
需经,1
青奈,1
静待,1
非常感激,1
面试,1
页面,1
顺利,1
须用,1
颁证,1
8a,1
选手,1
领取,1
领域,1
4500usd,1
领馆,1
频繁,1
额才,1
额是,1
飞抵,1
食品城,1
2800usd,1
马来西亚,1
驻点,1
高中,1
高层,1
集体,1
雅加达,1
除美,1
除帮,1
CEO,1
速复,1
遇难者,1
遵守,1
Bulgaria,1
Baron,1
那位,1
配偶,1
酒店,1
采购部,1
重点,1
重要,1
金额,1
Bank,1
银行账号,1
链接,1
长濑,1
问过,1
闲暇,1
间断,1
阶段,1
阿富汗人,1
阿尔梅勒,1
阿尔梅勒市,1
阿联酋,1
阿里巴巴,1
附上,1
附有,1
除外,1
解答,1
解决方案,1
观展,1
签订协议,1
突尼斯,1
Wuhan,1
立户,1
符合条件,1
第一步,1
第九,1
第二天,1
第二条,1
第八条,1
笺纸,1
等待,1
筹办,1
签批,1
签约,1
Thanks,1
观厂,1
签证处,1
签过,1
简体中文,1
简化,1
管理处,1
精研,1
Thank,1
索取,1
索要,1
累计,1
繁荣,1
约翰内斯堡,1
纪念馆,1
TKS,1
移民,1
移交,1
租房,1
私营企业,1
相似,1
相信,1
相同,1
Zhivka,1
盼望,1
省略,1
真实,1
着急,1
着想,1
督促,1
矛盾,1
知悉,1
知识,1
Yibona,1
短信,1
短期内,1
研究生,1
确保,1
确定,1
确认信,1
X1,1
社保卡,1
福州,1
福建,1
离境,1
离婚,1
离开,1
离异,1
私企,1
经理,1
经纪,1
经营,1
JW202,1
航务,1
艺术团,1
花费,1
苏州,1
若有,1
英文翻译,1
英语,1
范畴,1
荷兰王国,1
菜单,1
菲律宾,1
营业时间,1
落地,1
落户,1
藏友,1
行为,1
行情,1
行挺贵,1
行政部门,1
补贴,1
表么,1
表内,1
表在,1
表示,1
装修,1
西乡,1
要来,1
Is,1
见面,1
至今,1
LCCT,1
经贸委,1
能办,1
结伴同行,1
结婚登记,1
结算,1
String,1
给予帮助,1
条款,1
继承,1
继续,1
续前,1
维修,1
综合,1
绿卡,1
编号,1
缪再敏,1
缴纳,1
缺少,1
Please,1
Mrs,1
Many,1
美签,1
美籍华人,1
老外,1
老客户,1
考试,1
考试院,1
职前,1
联合会,1
联系电话,1
股份制,1
来信,1
执行官,1
条有,1
出口贸易,1
分别,1
出错,1
出生年月,1
出局,1
出境,1
出品,1
出去,1
分支机构,1
出函,1
with,1
出关,1
几次,1
几年,1
几位,1
分多人,1
分辨真假,1
保障局,1
前来,1
办有,1
办学,1
办去,1
办厂,1
办公厅,1
办为,1
制作,1
分配,1
初审,1
初始密码,1
刚果民主共和国,1
刚办,1
刚刚,1
划线,1
word,1
冬令营,1
再也,1
先查,1
入学,1
入境签证,1
一一,1
免面,1
免签,1
一个个,1
儿子,1
内含,1
健康检查,1
做好,1
做出,1
信箱号码,1
信用卡,1
信用,1
入职,1
入门,1
全程,1
you,1
公务车,1
公司地址,1
公司总部,1
公招,1
公派留学,1
公署,1
xue,1
公证员,1
六个月,1
兴趣,1
wsyw,1
具体内容,1
具体情况,1
办证,1
办过,1
加上,1
号领,1
吉隆坡,1
合资,1
合理,1
合法,1
to,1
合一,1
号码,1
发泡机,1
可办,1
可免于,1
变化,1
取消,1
取回,1
发送,1
同一个,1
同学,1
同意,1
同样,1
名为,1
名单,1
后续,1
后缀,1
后面,1
含有,1
听到,1
听闻,1
吸纳,1
周么,1
周年,1
哈萨克斯坦,1
售出,1
发生,1
发到,1
加强,1
华有,1
南太平洋,1
单身,1
单独,1
单位名称,1
协商,1
协办,1
华文,1
发了,1
十二,1
北外,1
包括,1
劳烦,1
what,1
加快,1
南山区,1
博士,1
卡是,1
卫生,1
即将,1
way,1
原来,1
去世,1
去往,1
参与,1
visa00004,1
参考,1
友人,1
友好关系,1
双免,1
反响,1
反应,1
信心,1
保险,1
条形码,1
不行,1
两项,1
两次,1
两天,1
两地,1
东江纵队,1
不进,1
不止,1
个人简历,1
不想,1
不少,1
不否,1
不可,1
不去,1
不全,1
严苛,1
个人资料,1
保证,1
中法,1
主办方,1
为空,1
为期,1
丹东,1
临近,1
中洋,1
中有,1
一所,1
中山,1
中学,1
中国香港,1
中国大使馆,1
中国外交部,1
中国国际贸易促进委员会,1
不予,1
下旬,1
下文,1
一项,1
三星期,1
三文,1
三年,1
三位,1
万国,1
七院,1
一间,1
下拉菜单,1
一道,1
一致,1
一类,1
一种,1
一点,1
一段时间,1
三次,1
上传,1
上半年,1
上周五,1
上多加,1
上海,1
上班,1
上盖,1
上网,1
上要,1
上诉,1
上述,1
一本,1
下个月,1
下午,1
下去,1
下属单位,1
主意,1
主管部门,1
举行,1
以下几点,1
伊朗,1
伊拉克人,1
任意,1
任务,1
任一,1
以后,1
一到,1
仍旧,1
代替,1
代拿,1
付款条件,1
一句,1
他续,1
从未,1
休息,1
优惠政策,1
伦特,1
