词语,计数
"
",153
条例,78
养老金,76
物业管理,64
政策,59
计划生育,52
招标,39
产假,38
基本,38
办法,30
计生,29
文件,28
小孩,28
服务,27
法规,27
查询,27
招投标,27
执行,26
情况,25
生育,24
目前,24
行政复议,24
物业,24
人口,24
管理,23
实施,23
深圳经济特区,23
要求,22
法律,22
网上,22
活动,22
发布,22
津贴,22
退休,20
投标,20
废止,20
国家,20
入户,20
委员会,19
户口,19
出台,19
通知,19
生产,19
交易中心,19
安全,19
计算,18
征求意见,17
意见,17
土地,17
罚款,17
增加,16
政府,16
行业,16
管理局,16
随迁,16
地方,15
时间,15
内容,15
二胎,15
家庭,15
以下,15
认为,14
超生,14
社会,14
失业,14
法制,14
规划,14
建设,14
业主,14
晚育,14
期间,14
积分,13
安监,13
正式,13
社保局,13
标准,13
7429.25,13
行政,13
补充,13
特区,13
备案,13
证明,13
专家,13
招标人,13
方式,13
提交,12
法院,12
执法,12
应急,12
工龄,12
提取,12
支付,12
法制办,12
之前,12
编号,12
人员,12
业主大会,12
依据,12
预案,12
修订,12
号令,12
领导,12
进入,12
评标,12
评审,12
1947.7,12
规模,12
处理,12
机构,11
符合,11
具体,11
组织,11
费用,11
实行,11
社区,10
基金,10
违法,10
子女,10
应该,10
迁入,10
养老保险,10
深圳市人民政府,10
社会保险,10
监察,10
深户,10
领取,10
工资,10
定标,10
高龄,9
选聘,9
征集,9
是不是,9
必须,9
总额,9
尽快,9
编制,9
放开,9
公开,9
主管部门,9
这种,9
交易,9
缴费,9
以上,9
取消,9
公布,9
房子,9
无法,9
应当,9
申请人,9
不是,9
程序,9
市场,9
日前,9
征收,9
市政府,9
属于,9
确定,9
享受,9
规范,9
广东省,9
决定,9
知道,9
印刷,8
龙岗,8
公告,8
养老,8
出生,8
违反,8
明确,8
高级职称,8
办公室,8
村民,8
日期,8
监督,8
处罚,8
老家,8
生活,8
个人,8
给予,8
我市,8
总局,8
解答,8
街道,8
员工,8
前期,7
发现,7
采用,7
学生,7
分红,7
社局,7
累计,7
继续,7
维护,7
予以,7
超过,7
一年,7
周岁,7
购买,7
过户,7
今年,7
信息,7
抚养费,7
保障,7
报销,7
协议,7
学位,6
居民,6
审批,6
导致,6
历年,6
指导,6
方法,6
受理,6
依然,6
到底,6
提起,6
信访件,6
完成,6
提供,6
区日,6
地址,6
年限,6
报区,6
孩子,6
二孩,6
规章,6
股份公司,6
账户,6
责任,6
计委,6
解决,6
补贴,6
行为,6
中标人,6
机关,6
第十一条,6
两个,6
理解,6
不知,6
盼复,6
生效,6
购房,6
专业,6
违法行为,6
服务中心,6
事项,6
颁布,6
月份,6
五年,6
有利于,6
有效,6
不予,5
附表,5
缴交,5
就业,5
结婚证,5
依法,5
经费,5
资格,5
约定,5
作出,5
网络,5
左右,5
希望,5
鼓励,5
不要,5
网站,5
上位法,5
网络游戏,5
发放,5
发展,5
辖区,5
号文,5
负责,5
一孩,5
停车场,5
进一步,5
一家,5
当时,5
适用,5
一栋,5
学习,5
采取,5
能否,5
附件,5
宝安,5
修正,5
日起,5
上述,5
之日起,5
收到,5
提出,5
权威,5
有没有,5
中有,5
承担,5
主体,5
所属,5
案件,5
现场,5
主要,5
律师,5
查封,5
监管,5
待遇,5
所有,5
收费,5
说明,4
负责人,4
机械制造,4
构建,4
财政部,4
条及,4
合同,4
合计,4
基层,4
在职人员,4
商贸,4
向市,4
坝光,4
证据,4
拨入,4
员工工资,4
负担,4
周期,4
评估,4
认定,4
影响,4
授权,4
适用法律,4
是非,4
麻烦,4
马上,4
文本,4
改变,4
错误,4
采集,4
制定,4
制度,4
制造,4
造成,4
办事处,4
有无,4
本次,4
劳动,4
迟迟,4
医疗保险,4
十分明确,4
收养,4
卫生,4
提高,4
轻工,4
身份,4
参保,4
拆除,4
赔偿,4
本属,4
夫妻,4
担保,4
小区,4
明年,4
户籍,4
综合,4
结束,4
派出所,4
深圳特区,4
深府,4
履行,4
工业,4
爱人,4
片面,4
得知,4
第二个,4
示范,4
市民,4
得到,4
年度,4
矛盾,4
看到,4
省市,4
疑虑,4
建议,4
建设局,4
建设工程,4
强制,4
小型,4
尊敬,4
查车,4
房东,4
标题,4
复议,4
多次,4
归入,4
如下,4
补缴,4
补助,4
投标人,4
街道办,4
获得,4
艰难,4
安全事故,4
至今,4
完善,4
联系电话,4
正在,4
母亲,4
职责,4
老百姓,4
实施细则,4
1.5,4
老婆,4
审议,4
所在地,4
对本,4
减少,4
龙岗区,4
一步,4
专项经费,4
中标,4
一定,4
一户,4
全面,4
入学,4
下来,4
下文,4
允许,4
万元,4
两点,4
不会,4
7964.25,4
做法,4
4922.55,4
一名,4
停车位,4
以后,4
1947.70,4
以明,4
候选人,4
全国,4
不得,4
停放,4
2014.06,4
提问,3
不到,3
债权人,3
第一胎,3
第一个,3
再次,3
竞争机制,3
委托,3
假期,3
秋季,3
享有,3
妈妈,3
福利,3
社规,3
确认,3
硕士生,3
第二条,3
纠纷,3
债务人,3
人才,3
投资,3
报名,3
博士生,3
报告,3
报道,3
即将,3
抽签,3
公安部门,3
拖欠,3
完毕,3
维权,3
不再,3
统一,3
原来,3
安置,3
细化,3
接收,3
纳入,3
研究,3
措施,3
发出,3
债务,3
各方,3
监护人,3
女职工,3
核算,3
中华人民共和国,3
普通,3
为主,3
暂行办法,3
困难,3
曾多次,3
民生,3
外嫁,3
最新,3
复核,3
有变,3
标的,3
相应,3
有序,3
之后,3
查看,3
查明,3
处理完毕,3
了解,3
停车,3
填写,3
权益,3
机训,3
基数,3
回老家,3
回执,3
流程,3
春节,3
合理,3
教育,3
股东,3
名下,3
夫人,3
电话,3
新建,3
新证,3
大队,3
用人单位,3
业务,3
生二胎,3
周末,3
大概,3
方面,3
交警大队,3
父亲,3
早已,3
早期,3
湖南,3
商品房,3
深圳市政府,3
深人,3
职工,3
停车费,3
还要,3
贵办,3
恳请,3
重新,3
重要,3
路口,3
意义,3
起诉,3
小学,3
资金,3
门下,3
保留,3
出国,3
一个月,3
出售,3
保安,3
调解,3
调增,3
说法,3
出具,3
关系,3
4499.55,3
邮箱,3
开展,3
送审稿,3
开车,3
5633.55,3
选择,3
违规,3
违背,3
具体办法,3
刚好,3
创新,3
分离法,3
开走,3
分局,3
侵权,3
分中心,3
遵守,3
征求,3
侄子,3
加上,3
分配,3
若干,3
被申请人,3
额是,3
年龄,3
找到,3
解释,3
难产,3
审查,3
打印,3
良性,3
准备,3
包括,3
自行,3
我要,3
一胎,3
非常,3
仍然,3
200.00,3
设施,3
信箱,3
工作人员,3
评定,3
补休,3
能力,3
服务费,2
年代,2
交完,2
广州市,2
时段,2
开标,2
期房,2
日常,2
期满,2
无需,2
平方米,2
住房补贴,2
时间段,2
显示,2
交出,2
有所,2
最近,2
低于,2
住宅,2
最低工资,2
施行,2
广东,2
并案,2
并未,2
暂行规定,2
二是,2
年前,2
建立,2
建筑物,2
有权,2
有限公司,2
朋友,2
建设者,2
农业户口,2
开具,2
住宅区,2
废除,2
投标法,2
交警部门,2
产妇,2
成功,2
产生,2
成员,2
提告,2
提及,2
我人,2
我家,2
提升,2
提前,2
我该,2
截止,2
代表,2
推进,2
推荐,2
房款,2
房管局,2
接受,2
人区,2
所谓,2
期限,2
才能,2
打款,2
批准,2
拍卖,2
抽取,2
把关,2
人生,2
成人,2
以前,2
方便,2
搬迁,2
新闻,2
异地,2
新规,2
新版,2
强制执行,2
当事人,2
新区,2
当前,2
当天,2
今天,2
整体,2
数额,2
数量,2
征询,2
教育局,2
性别,2
交通事故,2
攻读,2
恶意,2
您们好,2
改革,2
改为,2
收据,2
产后,2
支持,2
意味着,2
撤消,2
人大常委会,2
环境,2
期限内,2
草案,2
落地,2
葵涌,2
一是,2
补领,2
表示,2
见到,2
觉得,2
警察,2
警戒线,2
计算方法,2
认证,2
讨论,2
证明书,2
一位,2
诈骗,2
试行,2
该区,2
莫需,2
能管,2
财政,2
能够,2
结合,2
结算,2
给出,2
下午,2
下列,2
上班,2
上次,2
罗湖,2
罚单,2
群体,2
上交,2
考取,2
考虑,2
考试,2
联系地址,2
股权,2
三人,2
调查,2
qq,2
未婚先孕,2
邮寄,2
里面,2
银行,2
长发,2
队员,2
限制,2
除外,2
难度,2
难道,2
颁布实施,2
预售,2
2016.1,2
2014.07,2
驾驶证,2
131.15,2
龙华,2
龙华区,2
10.00,2
385.55,2
邀请书,2
com,2
通知书,2
越来越,2
身份证号,2
较大,2
F3,2
过去,2
过渡性,2
运营商,2
近期,2
还会,2
这一,2
这项,2
进度,2
724.00,2
6870.25,2
违约,2
退出,2
507.00,2
经营,2
细则,2
下面,2
法人,2
中心,2
注册,2
注明,2
消息,2
涉及,2
两项,2
深建,2
清理,2
激励,2
爬山,2
两年,2
两孩,2
两区,2
市场竞争,2
现将,2
现想,2
生日,2
为准,2
沟通,2
组成,2
每月,2
事件,2
事业单位,2
材料,2
村委,2
村里,2
条文,2
条款,2
构成,2
构筑物,2
查处,2
书面,2
查阅,2
检察院,2
正是,2
此类,2
此致敬礼,2
每人,2
生物谷,2
用地,2
申请书,2
申请表,2
离婚,2
不合理,2
稳定,2
窗口,2
竞争,2
第一款,2
第七十四条,2
第二天,2
第二胎,2
等待,2
简称,2
不准,2
类似,2
粤人,2
紧张,2
不便,2
组建,2
福田区,2
福田,2
不好,2
盖章,2
申领,2
电子邮箱,2
电脑,2
百分之,2
百姓,2
监护,2
专门,2
直接,2
社发,2
直至,2
相冲突,2
相当,2
真的,2
不满,2
研究生,2
硕士学位,2
住院,2
打开,2
制止,2
卖房,2
做出,2
对方,2
修订稿,2
层面,2
好事,2
公平,2
保释金,2
各项,2
六十日,2
取得,2
基敬,2
四周,2
基础,2
保险,2
单据,2
唯学,2
合格,2
利用网络,2
别人,2
山代,2
多久,2
媒体,2
因素,2
就要,2
哪种,2
债务纠纷,2
字样,2
对待,2
加以,2
出面,2
国有企业,2
回避,2
只能,2
回来,2
只见,2
对外,2
加强,2
国际,2
出生证明,2
办事,2
加盖,2
