词语,计数
"
",294
房产证,97
经济,62
房子,62
政府,53
业主,53
适用房,48
户口,46
购买,40
公积金,37
开发商,36
政策,35
花园,31
房产,30
餐厅,30
小区,30
商品房,28
合同,28
房屋,28
产权,27
应该,26
出台,25
情况,25
提供,24
知道,23
今年,23
证明,23
职工,23
房地产,22
廉租房,22
租赁,22
物业管理,21
这种,21
物业,20
名字,20
微利,20
结婚,20
事业单位,20
分配,19
目前,19
违法,19
有没有,19
才能,19
户籍,19
时间,19
收入,18
福利,18
领导,18
房价,18
不是,16
要求,16
生活,16
居民,16
至今,15
处理,15
机关,15
不知,15
资格,15
地下,15
查询,15
条例,14
公布,14
去年,14
是不是,14
能否,14
面积,14
记者,14
龙岗区,14
解决,14
安居房,14
管理,13
迁入,13
员工,13
保障,13
给予,13
希望,13
购房,13
工作人员,13
看到,12
网站,12
方案,12
家庭,12
人员,12
公务员,12
一栋,12
电话,12
政策性,12
实施,11
小孩,11
制度,11
属于,11
一名,11
买房,11
费用,11
福田区,11
建筑,11
货币化,11
发票,11
可否,11
月份,11
老公,10
贵局,10
具体,10
符合,10
网上,10
日期,10
选举,10
国土局,10
按揭,10
取得,10
无牌,10
所有,10
得到,9
哥哥,9
拖欠,9
布吉,9
入伙,9
深户,9
银行,9
一次,9
发现,9
红本,9
周转,9
当时,9
房改,9
经营,9
改革,9
明确,9
孩子,9
之前,9
分房,9
尊敬,9
居委会,9
了解,9
身份证,9
标准,9
转让,9
单身,9
街道,9
到底,9
今天,8
必须,8
龙珠,8
计算,8
离婚,8
很多,8
缴纳,8
左右,8
形式,8
业委会,8
交纳,8
土地,8
地方,8
平米,8
适用,8
补偿,8
合法,8
母亲,8
此处,8
新港,8
资质,8
提交,8
公民,8
拿到,8
无照经营,8
号码,8
申请人,8
最近,8
南山区,8
套房,7
权数,7
考虑,7
工资,7
无房,7
包括,7
主管部门,7
个人,7
市场,7
市政府,7
月底,7
建设,7
继续,7
可不可以,7
最后,7
合格,7
申购,7
以前,7
租房,7
国土,7
保障性,7
停车场,7
内容,7
全部,7
流程,7
原因,7
经济实用,7
每月,7
厂房,7
名下,7
普通,7
姓名,7
身份,7
一家,7
香港,7
不要,7
不会,7
龙岗,7
业主大会,7
一方,6
上班,6
公共,6
宿舍,6
建筑面积,6
与会,6
开发,6
几个,6
出售,6
出租,6
买方,6
继承,6
出租屋,6
材料,6
未婚,6
罗湖区,6
车位,6
一个多月,6
消息,6
享受,6
亲戚,6
年收入,6
房款,6
社区,6
住宅,6
住户,6
侨香村,6
居住,6
帮助,6
现想,6
平方,6
管理处,6
集体,6
父母,6
父亲,6
一年,6
管管,6
老婆,6
综合,6
装修,6
可能,6
宝安县,6
双方,6
成立,6
方式,6
表决,6
告诉,6
拥有,6
卖方,6
收费,6
如今,6
通知,6
抢建,6
行为,6
收到,6
日前,6
您们好,6
您们,6
推出,5
支配,5
入户,5
年底,5
年限,5
房东,5
听说,5
加上,5
增加,5
反映,5
全家,5
停车位,5
物管,5
备案,5
一点,5
说法,5
造成,5
盖章,5
抵押,5
低于,5
多谢,5
不同,5
我市,5
深圳经济特区,5
一批,5
超过,5
服务费,5
初始,5
律师,5
期限,5
金额,5
过户,5
国土资源,5
很大,5
以后,5
征收,5
权利,5
只能,5
三个,5
分别,5
北京,5
还要,5
单价,5
几年,5
政府部门,5
准备,5
贷款,5
这次,5
地址,5
建议,5
共同,5
委员会,5
办好,5
注明,5
领取,5
财产,5
两个,5
中心,5
审核,5
管理局,5
认为,5
落实,5
夫妻,5
解答,5
这项,4
龙东,4
高层,4
我們,4
不到,4
入住,4
入编,4
收回,4
能够,4
成本,4
太太,4
派出所,4
注销,4
