词语,计数
"
",264
线路,84
公交,77
方案,63
有无,47
计划,45
总站,41
交通局,40
公交车,39
上半年,37
规划,34
站点,32
时间,32
公交线,30
市交委,30
上报,30
西部,29
司机,26
公汽,26
出行,25
制作,24
大巴,24
希望,24
电动,23
更名,23
始发,23
高峰,23
增加,22
乘客,22
情况,21
龙岗,21
道路,20
目前,20
比亚迪,20
场站,20
分钟,20
途经,20
方便,19
宝安,19
停靠,18
片区,18
审批,18
市民,18
究竞,18
福田,18
建议,18
上班,17
包括,15
发车,15
地铁,15
新增,15
不要,15
准备,14
花园,14
开通,14
微巴,14
巴士,14
龙华,13
要求,13
二处,13
停车,13
注册,12
站台,12
应该,12
领导,12
the,12
营运,11
素质,11
科苑,11
售票员,11
专线,11
能够,11
光明,11
车队,11
非常,11
上下班,11
西乡,11
快线,11
此单,10
左右,10
运输,10
大巴车,10
electric,10
西路,10
bike,10
乘车,10
东部,10
路口,10
至今,10
不便,10
停靠点,10
受理,10
几次,10
网约车,9
号线,9
乘坐,9
行驶,9
终点站,9
原来,9
经营,9
科技园,9
管理,9
公交站,9
搬迁,9
干线,9
市场,9
沙河,9
滴滴,9
公交公司,9
南山,9
盐田,9
还要,9
布心,8
换成,8
一辆,8
恢复,8
从布心,8
大道,8
老人,8
小区,8
缴费,8
中巴车,8
田面,8
处理,8
能否,8
看到,8
一条,8
and,8
附近,8
驾驶证,8
交委,8
系统,7
预约,7
罗湖,7
方向,7
政府,7
N8,7
车牌,7
交通,7
比较,7
路北,7
从业,7
运营,7
汽车站,7
信息,7
of,7
显示,7
无法,7
很多,7
居民,7
小汽车,7
投放,7
晚上,7
资格证,7
延段,7
in,7
北站,7
街道办,7
开线,7
SAR,6
几个,6
汽车,6
造成,6
月份,6
停车位,6
浪费,6
大梅沙,6
这种,6
深惠,6
制定,6
原因,6
存在,6
公里,6
宏扬,6
E7,6
宝龙,6
M361,6
知道,6
接驳,6
去年,6
行车,6
到达,6
出租车,6
路段,6
一名,6
人员,6
顺风,6
影响,6
网络,6
了解,6
出发,6
改成,6
目的,6
下半年,6
地铁站,6
高铁,6
每次,6
快速,6
开工,6
不用,5
their,5
牌照,5
with,5
工业园,5
