词语,计数
"
",244
产假,101
计划生育,90
证明,82
户口,74
生育,55
医院,54
条例,50
计生,42
政策,42
小孩,41
准生证,38
晚育,37
提供,36
深户,35
执业,33
广东省,31
医师,26
社区,25
奖励,24
女方,24
材料,24
享受,24
孩子,23
二胎,23
卫生,21
人口,21
目前,20
男方,20
注册,18
老婆,18
子女,17
执行,17
要求,17
户籍地,17
独生子女,17
处理,17
时间,16
罚款,16
情况,16
医生,16
出生,16
一胎,15
信息,15
领导,15
文件,14
婚育,14
怀孕,14
应该,14
知道,14
符合,14
妻子,14
变更,14
双方,14
证件,14
是不是,14
工作人员,13
家庭,13
实施,13
夫妻,13
入学,13
了解,13
流动人口,13
独生子女证,13
父母,13
无法,12
工资,12
必须,12
老家,12
法律,12
户籍,12
街道,12
之前,12
延长,12
属于,12
网上,12
流程,12
国家,11
老公,11
外地,11
缴纳,11
卫生局,11
假期,11
许可证,11
结婚,10
集体,10
人民,10
今年,10
资格证,10
增加,10
废止,10
员工,10
能否,10
原来,10
日前,10
入户,9
不是,9
超生,9
这种,9
结婚证,9
查询,9
月份,9
一家,9
检查,9
深圳经济特区,9
所在地,9
看到,9
标准,9
准备,8
具体,8
开具,8
出台,8
计委,8
补办,8
积分,8
公布,8
所有,8
手术,8
一孩,8
考试,8
取消,8
收费,8
工作站,8
服务,8
审核,8
外省,8
宝宝,8
不到,8
参加,8
期间,7
提交,7
休假,7
领取,7
婚假,7
证书,7
出具,7
初婚,7
广东,7
希望,7
居委会,7
直接,7
社会,7
街道办,7
龙岗区,7
一次,7
日期,6
当时,6
计划,6
才能,6
不知,6
法院,6
尊敬,6
实行,6
新闻,6
第一胎,6
落户,6
回老家,6
今天,6
地点,6
抚养费,6
报考,6
麻烦,6
上班,6
人员,6
退休金,6
秋季,6
原件,6
患者,6
有没有,6
医保,6
幼儿园,6
计算,6
龙华,6
出生证明,6
两个,6
看护,6
还要,6
安排,5
随迁,5
年度,5
中医,5
天数,5
学生,5
婚后,5
以后,5
地方,5
听说,5
合格,5
发放,5
计生办,5
计生委,5
原则,5
专业,5
询问,5
办法,5
剖腹产,5
过期,5
社康,5
尚未,5
影响,5
护士,5
正在,5
龙华区,5
中级,5
之后,5
最新,5
是非,5
明确,5
法规,5
二孩,5
三个,5
一名,5
生二胎,5
生效,5
通知,5
抢生,5
抚养,5
打算,5
盖章,5
男科,5
查环查,4
该区,4
更换,4
认可,4
更改,4
我想,4
最近,4
南山区,4
单独,4
评价,4
有效期,4
医疗机构,4
梅林,4
决定,4
说明,4
晚婚,4
加发,4
我市,4
内容,4
资质,4
广州,4
正式,4
相应,4
近期,4
每次,4
法定,4
报告,4
发布,4
学位,4
给予,4
不再,4
委员会,4
女职工,4
女子,4
外来,4
批准,4
复印件,4
基本,4
政府,4
爱人,4
地区,4
国外,4
回国,4
新区,4
征求意见,4
日起,4
合法,4
少儿,4
个人,4
解决,4
电话,4
不用,4
想要,4
儿童,4
中心,4
龙岗,4
修正案,4
享有,4
儿子,4
鉴定,4
告诉,3
教育局,3
营业执照,3
文章,3
四川,3
五年,3
B超,3
合理,3
体检,3
方式,3
故乡,3
爱华,3
食品,3
一子,3
舌根,3
回答,3
父亲,3
至少,3
优待,3
地址,3
腋臭,3
提到,3
处于,3
能力,3
万分,3
一定,3
首次,3
认证,3
医学,3
专科医院,3
修订,3
修改,3
诊所,3
十分,3
最少,3
河源,3
保留,3
治疗,3
针对,3
取得,3
针灸,3
县级,3
法律法规,3
依据,3
问下,3
发文,3
发现,3
发生,3
一年,3
肿瘤,3
推拿,3
职工,3
以前,3
居住,3
上面,3
户口本,3
上交,3
第二个,3
第一个,3
我家,3
离婚,3
登录,3
人大常委会,3
中医院,3
广西,3
确切,3
开出,3
短期内,3
直属,3
开放,3
当地,3
