词语,计数
"
",247
培训,76
归档,68
档案馆,42
报名,40
继续,38
文件,37
施工,36
教育,35
目录,35
时间,33
移交,31
竣工,30
专业,28
参加,28
档案管理,26
表格,26
提供,26
考试,25
建设,24
城建,23
内容,23
查询,22
职称,21
今年,21
是不是,21
档案局,20
要求,19
许可证,19
整理,19
指引,18
具体,18
能否,17
管理员,16
部分,16
大概,15
证明,15
工作人员,15
综合,14
建筑工程,14
证书,14
房建,13
报告,13
基坑,13
名称,13
目前,13
网上,12
必须,12
开工,12
业务,12
施工单位,12
月份,12
报考,12
通知,12
图纸,12
监理,11
情况,11
培训班,11
知道,11
备案,11
设计,11
标准,11
规范,11
主体,11
支护,11
问下,10
进馆,10
馆员,10
准备,10
贵馆,10
小区,10
户口,10
广东省,10
审核,9
取得,9
分部,9
保管,9
岗位培训,9
市政,9
基础,9
填写,8
提交,8
分包,8
资格证,8
从事,8
助理,8
直接,8
申报,8
举办,8
技术,8
信息,8
建筑,8
处理,8
网站,8
学习,8
上岗证,8
卷内,7
建设工程,7
桩基础,7
人员,7
上岗,7
这种,7
材料,7
课程,7
原件,7
有没有,7
毕业,7
检查,7
几个,7
检测,7
资料员,7
安装,7
计算机,7
每年,7
一起,7
质量,7
一份,7
分开,7
出具,6
希望,6
模块,6
广东,6
入户,6
档案盒,6
应该,6
标段,6
变更,6
可否,6
审查,6
方面,6
方式,6
学时,6
当时,6
公园,6
我想,6
比较,6
服务,6
贵局,6
中级职称,6
组卷,6
下载,6
业主,6
编制,6
邮箱,6
统表,6
不用,5
广场,5
对应,5
笔试,5
审批,5
解答,5
合格,5
第三期,5
打不开,5
统一,5
装修,5
补办,5
单独,5
不到,5
系统,5
一号,5
地方,5
户籍,5
资格,5
地址,5
开班,5
购买,5
开课,5
复印件,5
个人,5
机构,5
还会,5
土石方,5
用表,5
步骤,5
一年,5
发布,5
检验,5
电子,5
电话,5
安排,5
发表,5
中级,5
档案资料,5
错过,5
中心,5
通知书,5
属于,5
看到,5
高中,5
一次,5
论文,5
组织,5
录入,4
不是,4
老师,4
罗湖,4
总包,4
想要,4
查找,4
考取,4
职称评定,4
宝安县,4
初级职称,4
初级,4
实际,4
评定,4
评价,4
一家,4
岗位,4
证件,4
学分,4
工程桩,4
询问,4
规划,4
装订,4
几次,4
三期,4
获得,4
一名,4
建设局,4
年底,4
试验,4
集团,4
研究生,4
哪些方面,4
两个,4
进场,4
非常感谢,4
档案室,4
格式,4
才能,4
里面,4
管理,4
人才,4
查阅,4
以前,4
同一个,4
合并,4
领导,4
文书,4
注明,4
测评,4
混凝土,4
商品房,4
物业,4
资质,4
原始,4
接收,4
接受,4
地点,4
索引,4
专修,4
完成,4
流程,4
了解,4
技术资格,4
退休,3
这方面,3
安全,3
及时,3
还要,3
费用,3
学习班,3
合同,3
龙华,3
负责人,3
增加,3
请教,3
场地,3
身份证,3
图章,3
大专,3
大学,3
大楼,3
子公司,3
存放,3
存档,3
咨询电话,3
过去,3
名单,3
同事,3
城市,3
满足,3
宝安区,3
有效,3
提前,3
操作,3
改造,3
政府,3
整个,3
新区,3
管线,3
日期,3
最后,3
最近,3
签名,3
选调,3
评审,3
期待,3
本科,3
原来,3
积分,3
硬性,3
省统表,3
桩基,3
甲方,3
正确,3
现已,3
汇总,3
结婚证,3
结构,3
指导,3
报审,3
尺寸,3
尽快,3
许可,3
工程质量,3
记录,3
广州,3
街道,3
范围,3
花园,3
能够,3
开展,3
开挖,3
清单,3
麻烦,3
网址,3
意见,3
成立,3
房子,3
绿化,3
所在,3
所有,3
批复,3
承包,3
归入,3
龙岗区,3
一致,3
分类,3
以上,3
代建方,3
公修,3
南油,3
公务员,3
专项,3
介绍,3
南山区,3
交档,3
不知,3
不同,3
中国,3
一卷,3
一定,3
划分,3
信息网,3
加盖,3
卷归到,3
删除,3
下半年,3
几年,3
事业单位,3
一期,3
厚度,3
数量,2
位置,2
位于,2
以下,2
会审,2
无法,2
最新,2
任命,2
晋升,2
施工图,2
显示,2
代替,2
是因为,2
代建,2
期刊,2
期盼,2
物品,2
之后,2
版本,2
燃气,2
烦请,2
消息,2
予以,2
事务,2
污水,2
水运,2
事宜,2
事情,2
二期,2
此文,2
二次,2
正在,2
云线,2
交到,2
档案学,2
人力资源,2
条例,2
机会,2
收藏,2
收集,2
条款,2
提到,2
开办,2
志愿者,2
得到,2
影响,2
彩页,2
形成,2
公章,2
公路工程,2
强度,2
异地,2
开发商,2
建设项目,2
总监,2
建筑设备,2
应当,2
并未,2
年经,2
年度,2
帮忙,2
帮助,2
市场,2
已有,2
已于,2
公布,2
恒基,2
接下来,2
做到,2
按规定,2
保留,2
保障局,2
报满,2
报建,2
修改,2
借用,2
报到证,2
抗拔,2
技术人员,2
扫描,2
公告,2
打算,2
打扰,2
打印,2
所在地,2
入职,2
房地产,2
房产,2
我市,2
成品,2
成功,2
现场,2
电子版,2
之前,2
班级,2
近期,2
过期,2
达到,2
辽宁省,2
软件,2
路面,2
超过,2
PE,2
资料软件,2
VC,2
质监站,2
财务,2
一位,2
负责,2
调阅,2
调工,2
调取,2
调令,2
说明,2
详细,2
试验室,2
设计院,2
一栏,2
这两项,2
这次,2
进去,2
随时,2
高级职称,2
首页,2
题名,2
预约,2
预埋件,2
鞍山市,2
面向全国,2
非常,2
需提交,2
难不成,2
阳台,2
迟迟,2
问问,2
金额,2
重要,2
重大项目,2
配料,2
遗失,2
道路,2
造价,2
逐条,2
选用,2
设置,2
计划,2
规格,2
监督,2
符合,2
空着,2
空白,2
程序,2
福田区,2
社会,2
中介,2
码头,2
相片,2
临时,2
临近,2
第二期,2
白图,2
登级,2
为准,2
电脑,2
电梯,2
工程施工,2
申请表,2
主要,2
用品,2
生源,2
第三方,2
第六期,2
要收,2
下面,2
要交,2
三个,2
上半年,2
上去,2
能查,2
联系电话,2
联系,2
职能部门,2
职能,2
职员,2
不会,2
等级,2
网络,2
不再,2
编号,2
给排水,2
给予,2
结婚,2
纸质,2
丢失,2
管理文件,2
两期,2
工程项目,2
执行,2
大厦,2
勘察,2
包括,2
培训中心,2
发现,2
单等,2
命名,2
完工,2
分项,2
埋件,2
国家,2
后面,2
就行了,2
后置,2
前期,2
南山,2
可不可以,2
前面,2
可能,2
初始,2
土建,2
封皮,2
创业投资,2
半成品,2
好像,2
合格证,2
套用,2
历史,2
室外,2
参加考试,2
商品,2
工程师,2
助理级,2
器具,2
去年,2
