词语,计数
"
",121
噪音,36
居民,35
处理,34
希望,33
影响,31
垃圾站,30
城管,30
生活,29
垃圾,28
时间,28
政府,25
管理,25
晚上,25
小区,22
执法,21
违法,18
经营,18
环境,18
违建,17
公园,17
街道,17
正常,16
要求,16
知道,15
应该,15
休息,14
花园,14
早上,14
发出,14
领导,14
业主,14
不是,14
这种,14
作业,13
卖唱,13
周边,13
社区,12
营业,12
贵局,12
卫生,12
管理处,12
施工,12
城市,12
尽快,11
人员,11
餐厅,11
声音,10
天天,10
附近,10
建筑,10
门口,10
解决,10
长期,10
新洲,10
周围,10
情况,10
非常,10
一路,10
烧烤,10
一栋,10
有人,10
现象,9
人行道,9
布吉,9
政府部门,9
里面,9
非法,9
到底,9
摆卖,9
收费,9
是不是,9
开发,9
对面,9
多次,9
大量,9
城管局,8
现场,8
不要,8
大道,8
福田,8
很多,8
得不到,8
一楼,8
抢建,8
广场,8
南路,8
街道办,8
左右,8
工作人员,8
六点,8
具体,8
一家,8
几个,8
责任,8
市民,8
市政府,8
特别,8
收取,8
造成,7
凌晨,7
网吧,7
公共,7
大家,7
简直,7
整个,7
睡眠,7
中间,7
此处,7
修路,7
宝安区,7
垃圾处理,7
脏乱差,7
区域,7
房子,7
八卦,7
属于,7
早餐,7
龙华,7
龙岗区,7
环保,7
市政,7
路灯,6
没收,6
通知,6
路口,6
变成,6
持续,6
路段,6
餐馆,6
摆摊,6
道路,6
有没有,6
中心,6
路面,6
福田区,6
点到,6
重视,6
两个,6
每晚,6
案件,6
一条,6
协调,6
后面,6
所有,6
越来越,6
撤销,6
摆地摊,6
安排,6
过来,6
证件,6
能够,6
存在,6
整改,6
行人,6
马路,6
目前,6
二楼,6
海滨,5
范围,5
出行,5
邻居,5
新村,5
新路,5
居住,5
权益,5
精神,5
土地,5
别人,5
离开,5
出来,5
装修,5
商品房,5
上班,5
困难,5
资质,5
油烟,5
一点,5
反而,5
摆放,5
最近,5
罗湖区,5
罚款,5
权利,5
老人,5
机器,5
市容,5
清扫,5
健康,5
不好,5
直接,5
一户,5
真的,5
巨大,5
不到,5
招牌,5
安静,5
旁边,5
干什么,5
位于,5
代表,5
以前,4
污染,4
可能,4
以来,4
背历,4
后来,4
治安,4
才能,4
落实,4
操作,4
审批,4
松岗,4
合法,4
刚好,4
惩罚,4
明珠,4
管管,4
民治,4
二街,4
明白,4
加强,4
污水,4
危险,4
期间,4
户外广告,4
群众,4
改造,4
住户,4
小孩,4
办法,4
今天,4
前面,4
今年,4
至今,4
一名,4
难道,4
仍然,4
交通,4
沙井,4
轻型,4
从事,4
交易,4
制造,4
发生,4
房地产,4
布吉龙珠,4
商场,4
拆迁,4
村民,4
当时,4
设施,4
中午,4
严格,4
几天,4
音箱,4
有限公司,4
无证,4
社会,4
事件,4
高度重视,4
是否是,4
龙城,4
小于,4
城市规划,4
开发商,4
东沙,4
停放,4
不知,4
降低,4
停止,4
夏天,4
停车,4
导致,4
建筑装修,4
允许,4
专业,4
觉得,4
店铺,4
不良,4
谁来管,4
调查,4
补偿,4
这条,4
了解,4
申报,4
吵得,4
出租屋,4
条例,4
全部,4
出现,4
违反,4
唱歌,4
楼上,4
服务,4
不敢,4
违章,4
整治,4
一个月,4
拆除,4
白龙路,4
很大,4
拆迁户,4
空中,4
无法,4
空地,4
得到,4
白天,4
表演,4
检查,4
关系,3
许宗衡,3
山庄,3
公交站,3
食街,3
批准,3
加建,3
办事,3
解决问题,3
片区,3
行为,3
一天到晚,3
工商部门,3
出租,3
自带,3
物业,3
到处,3
投资,3
出入,3
暂扣,3
几年,3
西丽,3
居民小区,3
每月,3
市场,3
批示,3
正是,3
执行,3
干扰,3
包括,3
打扫,3
石岩,3
基本,3
城市管理者,3
龙岗,3
均价,3
地铁,3
地点,3
禁止,3
地方,3
当地,3
国土局,3
形象,3
科学,3
布心,3
园区,3
环卫,3
心情,3
最好,3
B118,3
对此,3
盛村,3
完工,3
平湖,3
疑问,3
登山,3
委员会,3
白花,3
灰尘,3
相信,3
生产,3
家里,3
大排档,3
生存,3
对外,3
看看,3
大功率,3
真正,3
窗户,3
立即,3
活动,3
房屋,3
反应,3
网上,3
及时,3
网店,3
原因,3
压缩,3
房东,3
占用,3
绿化,3
市长,3
小房间,3
南山区,3
..,3
单行道,3
考虑,3
所得,3
缩短,3
取得,3
立案,3
管理费,3
态度,3
等到,3
小型,3
洒水车,3
怡佳,3
有个,3
管理局,3
法律,3
维护,3
治理,3
合理,3
纳税人,3
经常,3
一半,3
成立,3
给予,3
告诉,3
非法经营,3
信息,3
速度,3
摆在,3
新区,3
普通,3
保护,3
核实,3
人民,3
村委,3
搭蓬,3
根本无法,3
一年,3
阳台,3
产生,3
提供,3
通道,3
通行,3
选择,3
文件,3
交汇处,3
路过,3
方式,3
停车场,3
无法忍受,3
杂物,3
树木,3
专门,3
东升,3
摊贩,3
金额,3
过程,3
锦州,3
东晓路,3
依法办事,3
东西,3
样子,3
无人,3
距离,3
长龙,3
门前,3
酒店,3
本来,3
顺路,3
休闲,3
进入,3
靠近,3
三级,3
试问,3
近期,3
证明,3
运营,3
来管,3
三个,3
这次,3
露天,3
还配,3
二十年,3
时间段,3
免费,3
全天,3
震耳欲聋,3
还要,2
重新,2
城市绿地,2
鸣笛,2
之间,2
名称,2
丢弃,2
开工,2
开张,2
最后,2
两处,2
施工人员,2
方法,2
张贴,2
碰撞,2
破坏,2
类似,2
您们,2
建设,2
矩形,2
备孕,2
处理费,2
处理厂,2
最终,2
处在,2
运转,2
石泉,2
来说,2
惊醒,2
一侧,2
塞车,2
石鼓路,2
研究,2
堆放,2
开会,2
方便,2
东段,2
恳请,2
邻居们,2
弯腰,2
困到,2
回收站,2
为止,2
