词语,计数
"
",7183
租房,3310
安居房,1701
轮候,1645
审核,1098
申请人,1048
人才,887
提交,872
信息,746
共同,636
深户,619
户口,584
时间,580
变更,567
安居,532
租赁,513
户籍,512
商品房,489
查询,477
家庭,465
回执,457
目前,452
网上,449
排名,435
备案,429
建局,429
情况,402
公共,393
房源,386
小孩,355
月份,346
政策,336
补贴,325
购买,323
多久,314
配租,307
认租,301
显示,299
材料,297
今年,290
政府,285
影响,277
知道,276
系统,275
之前,274
居住证,270
房子,262
保障,262
是不是,253
才能,251
状态,251
合同,247
能否,240
重新,238
保障性,236
置换,236
证明,236
一年,232
不是,232
提供,231
选房,230
预约,228
领导,228
个人,223
认购,219
看到,211
配偶,209
去年,208
编号,207
入住,205
人员,204
受理,203
公示,195
这种,194
符合,194
增加,190
排位,186
希望,184
单身,184
要求,184
无法,183
本市,181
公布,180
原因,179
老婆,178
进度,175
递交,174
以上,174
结婚,169
家园,168
更新,168
网站,167
应该,165
缴纳,163
排队,163
孩子,162
当时,162
资格,162
龙悦,161
具体,161
父母,159
通知,156
取得,155
流程,153
分配,153
三房,152
定向,148
出来,142
属于,140
老公,140
大概,140
南山区,139
窗口,138
续租,138
房产,137
处理,137
花园,135
租住,134
至今,133
进入,132
准备,132
市级,130
之后,130
日常,129
半年,128
贵局,127
推出,123
福田,122
继续,122
名单,121
更改,121
小区,121
居住,120
发放,120
了解,119
只能,118
两个,117
不会,117
注册,115
过去,114
解决,114
必须,114
排序,113
修改,113
操作,112
住房补贴,112
一次,112
福田区,112
未婚,112
三年,111
宝安区,111
享受,111
名义,110
办法,110
出生,109
计划,109
有没有,108
入册,108
南山,108
以后,107
购房,107
直接,105
麻烦,105
成功,104
区级,103
本科,102
完成,102
面向,101
物业,101
剩余,101
续签,101
子女,101
累计,100
一家,100
夫妻,100
入户,99
不到,99
申报,98
今天,97
提示,97
很多,96
填写,96
我于,96
首次,96
二胎,94
面积,94
龙瑞,93
拿到,92
电话,92
工作人员,91
最近,90
龙华,89
安装,88
轮侯,88
龙海,88
产权,88
限制,87
人口,87
一定,87
社会,87
发现,87
廉租房,86
收到,85
帮忙,85
期间,85
业主,85
学历,85
审批,84
发布,83
两房,83
平台,82
可否,82
选择,82
新区,81
安排,80
离婚,80
尊敬,80
宝安,80
建设,80
建设局,80
名下,80
里面,79
解答,79
到期,79
佳园,79
经济,78
标准,78
一房一厅,78
地方,78
几个,77
重点,77
龙岗,76
参加,76
身份证,76
记录,75
满足,75
原来,75
申购,75
文件,74
超过,74
消息,74
一起,73
生活,73
考虑,73
双方,72
正在,72
在册,72
承租,71
尽快,70
补充,70
龙岗区,69
居民,68
认定,68
妻子,67
缴费,67
户型,67
可能,67
符合条件,67
上班,67
等待,66
年限,66
所有,66
安全,66
多长时间,66
这是,65
查不到,65
