词语,计数
"
",130
户口,74
政府,26
迁移,22
户籍,21
农转非,21
收费,20
管理,20
关内,19
审批,18
关外,18
贵局,18
备案,17
政策,17
标准,16
物业,16
目前,15
领导,15
特区,15
指标,14
内外,14
业主,14
房子,13
迁入,13
文件,12
时间,12
下来,12
派出所,11
小区,11
才能,11
投资,11
改革,11
宝安,11
立项,11
产品,11
大桥,10
万科,10
希望,10
应该,10
具体,10
发改委,10
办法,10
购房,9
建议,9
发改局,9
发展,9
劳动局,9
申报,9
龙岗,9
一体化,9
正式,9
设施,9
今年,9
入户,8
查询,8
服务,8
价格,8
批复,8
金域,8
了解,8
房产,8
实施,8
南山,7
多长时间,7
兴建,7
香港,7
出入境,7
人才,7
程序,7
实行,7
得到,7
生产,7
自动化,7
港珠澳,7
深圳市政府,7
正在,7
要求,7
有没有,7
解决,7
资金,7
调令,7
开发,7
引进,6
配套,6
两区,6
电子,6
大楼,6
现有,6
居住,6
节能,6
居民,6
公办,6
社会,6
地铁,6
南山区,6
有限公司,6
国家,6
随迁,6
员工,6
准备,6
通知,6
不知,6
房产证,6
市政府,6
龙岗区,6
一家,5
改造,5
核准,5
个人,5
LED,5
招调,5
处理,5
三地,5
放宽,5
年底,5
尽快,5
窗口,5
结婚,5
拥有,5
情况,5
规划,5
提供,5
之前,5
口岸,5
片区,5
多次,5
建设,5
非常,5
集体,5
福田区,5
购买,5
公安局,5
办事,5
市场,5
一定,5
水域,5
存在,5
人力资源,5
填海,5
接收,5
人员,5
尊敬,5
流程,5
大陆,4
市区,4
准迁证,4
农招卡,4
扶持,4
人大代表,4
3.6,4
总部,4
科技,4
已有,4
曾荫权,4
照明,4
部分,4
是不是,4
进度,4
宝安区,4
臭味,4
系统,4
日起,4
批准,4
证策,4
国内,4
方案,4
户主,4
困难,4
下达,4
提交,4
www,4
原因,4
水务,4
设备,4
内容,4
夫妻,4
cn,4
批文,4
拿到,4
麻烦,4
目前为止,4
执行,4
真的,4
真正,4
很多,4
多久,4
应用,4
机构,4
物价上涨,4
大学,4
业务,4
物业费,4
补贴,4
招工,4
支持,4
贷款,4
制度,4
根本,4
加快,4
商会,4
研发,4
开工,4
地点,4
包括,4
改善,4
受理,4
教师,4
报告,4
强烈要求,4
多谢,4
计划,4
指导,4
几个,4
办好,3
半年,3
类型,3
自由,3
线路,3
加工,3
塑胶模具,3
塑胶制品,3
进口,3
改建,3
学前教育,3
升级,3
详细,3
汽车,3
一个月,3
考虑,3
统一,3
转为,3
房地产,3
决定,3
几年,3
身份证,3
汤炳权,3
提到,3
农业户口,3
出台,3
迁出,3
扣光,3
内有,3
网站,3
复印件,3
过程,3
整个,3
新区,3
近期,3
一年,3
这一,3
电话,3
一份,3
定价,3
最近,3
石散,3
广东,3
幼儿园,3
事业单位,3
石湾,3
随自,3
落户,3
布吉,3
颁布实施,3
市民,3
问下,3
无法,3
销售,3
链接,3
一半,3
显示,3
知道,3
深府,3
工资,3
不断,3
材料,3
名下,3
号线,3
专业,3
高速,3
高新技术,3
高层领导,3
招生,3
可不可以,3
期限,3
直接,3
中央,3
建立,3
招调工,3
可能,3
可否,3
不到,3
产业,3
即将,3
一罐,3
意见,3
做工,3
厉害,3
你们好,3
造福,3
承认,3
审批同意,3
就要,3
环境,3
道路,3
毕业生,3
属于,3
国有企业,3
评估,3
工作人员,3
符合,3
工作日,3
荒岛,3
保障,3
http,3
等待,3
一名,2
后果,2
名额,2
国务院,2
获得,2
承担,2
点击,2
承受,2
同样,2
吉庆,2
国际,2
基本,2
报道,2
能否,2
在职,2
落脚点,2
地区,2
落入,2
地方,2
报到,2
苦恼,2
落到,2
落实,2
投产,2
周边,2
城市,2
节能产品,2
三年,2
地上,2
烦琐,2
能够,2
批下,2
技术,2
打算,2
固定,2
经营,2
打电话,2
石油,2
用到,2
得知,2
确实,2
用之于民,2
示范,2
帮忙,2
帮助,2
生物,2
布吉五园,2
总是,2
积分,2
移交,2
恳求,2
工厂,2
您们好,2
空白,2
居中,2
突然,2
