词语,计数
"
",101
国资委,50
幼儿园,40
评估,28
管理,27
国有企业,26
集团,25
国有,25
股权,24
预约,22
文件,21
情况,18
投资,16
转让,16
户口,15
子公司,14
有限公司,14
国有产权,14
人才交流,14
国有资产,14
资产,13
孩子,13
股东,13
员工,12
中心,12
母公司,12
属于,12
产权,11
希望,11
目前,10
公开,10
政府,10
一家,10
城市更新,10
网上,10
方案,10
下属,10
人员,10
贵委,10
审批,10
适用,9
小区,9
码头,9
国资,9
服务中心,9
国家,9
改制,9
协议,9
费用,9
变动,9
监管,8
学位,8
备案,8
要求,8
必须,8
应该,8
今年,8
入园,8
持股,8
批准,8
具体,8
上市公司,7
能否,7
落户,7
蛇口,7
财务总监,7
福田区,7
幼儿,7
地铁,7
机构,7
对外,7
深户,7
人才,7
出资,7
这种,7
高新,7
提供,7
控股,6
两所,6
实施,6
公交,6
业务,6
直接,6
事项,6
黄牛,6
南山区,6
知道,6
程序,6
放假,6
增资,6
改革,6
收购,6
领导,6
报告,6
增加,6
职工,6
流程,6
特殊,6
涉及,6
工会,6
履行,6
联系,5
签订,5
建设,5
开发,5
控股公司,5
解决,5
信息,5
操作,5
当时,5
有没有,5
电话,5
困扰,5
录取,5
比例,5
经济,5
律师,5
网站,5
是不是,5
上班,5
联系方式,5
房产,5
全资,5
相应,5
行为,5
计划,5
部分,5
应当,5
招商局,5
两年,5
关系,5
小孩,5
天健,5
创业投资,5
现场,5
重建,5
调入,4
办公室,4
几个,4
包括,4
货主,4
补偿,4
股份,4
分部,4
良好,4
至今,4
货物,4
光明,4
董事会,4
监督,4
参股,4
发现,4
水务,4
毕业生,4
每次,4
房地产,4
所有,4
找到,4
正式,4
报到证,4
拆迁,4
标准,4
拒绝,4
查询,4
招生,4
挂牌,4
来到,4
期间,4
服务,4
改进,4
整体,4
暂行规定,4
时间,4
意见,4
法律,4
性质,4
以下,4
老百姓,4
只能,4
合同,4
后续,4
系统,4
国企改革,4
土地,4
如下,4
委员会,4
实际,4
形成,4
家长,4
尊敬,4
就近,4
尽快,4
居民,4
工资,4
建议,4
开发商,4
形式,4
资格,4
明确,4
重要,4
近期,4
三板,4
通知,4
过程,4
非国有,4
一名,4
个人,4
事宜,4
上述,4
迁出,4
退休,4
深振业,3
运发,3
到期,3
产假,3
加强,3
加班费,3
不上,3
应届生,3
燃气,3
签署,3
下列,3
征集,3
很多,3
当初,3
回答,3
得到,3
过户,3
公立,3
投控,3
具有,3
才能,3
所有制,3
所属,3
决议,3
净资产,3
我市,3
毕业,3
成为,3
三年,3
出台,3
意愿,3
不到,3
解答,3
市政,3
年度,3
定义,3
乱收费,3
安排,3
两家,3
合作,3
存在,3
确实,3
大院,3
社区,3
大厦,3
移交,3
约定,3
基金,3
第一,3
之前,3
城市,3
场站,3
简称,3
业主,3
变更,3
帮助,3
取得,3
报送,3
股改,3
不是,3
就读,3
申报,3
不要,3
事情,3
即可,3
原件,3
原则,3
事务所,3
审议,3
发展,3
发生,3
审核,3
取号,3
考虑,3
集体户,3
连续,3
报道,3
权益,3
轨道交通,3
使用权,3
保管,3
持有,3
新区,3
指标,3
支付,3
保障,3
教育,3
身份,3
教育局,3
撤销,3
最近,3
财务人员,3
旗下,3
权利,3
非常感谢,3
贵部,3
住宅,3
期待,3
位于,3
接驳,3
方便,3
提到,3
全民,3
政策,3
提交,3
根本,3
早年,3
领导人员,3
付清,3
一次,3
拍卖,3
改造,3
有限,3
一批,3
是央企,3
无法,3
显示,3
有效,2
宝安区,2
月份,2
逼迫,2
更新,2
安装,2
安置,2
最后,2
导致,2
数量,2
宝安,2
百忙之中,2
寻租,2
放开,2
家乡,2
益田村,2
审计,2
家园,2
效率,2
家庭,2
教育资源,2
留下,2
遵守,2
审查,2
盐田港,2
疑惑,2
遭到,2
百忙中,2
遇到,2
更加,2
两个,2
第八,2
外地,2
选择,2
空间,2
处理,2
中心区,2
境外,2
是否是,2
高空作业,2
第五,2
临时工,2
学生,2
第六条,2
国资局,2
退还,2
退回,2
主体,2
主管,2
签了,2
明文规定,2
国务院,2
外部,2
普调,2
多人,2
秩序,2
学区,2
学前教育,2
看到,2
存放,2
方式,2
委派,2
真的,2
两次,2
逐年,2
破产,2
硕士,2
高新区,2
社会,2
透明,2
暂行办法,2
社保局,2
大学生,2
中国,2
无学,2
收费,2
采用,2
有无,2
法律法规,2
成立,2
三倍,2
民生,2
一年,2
感谢您,2
非常,2
