词语,计数
"
",78
产权,18
房产,17
房产证,16
银行,14
名字,14
希望,13
规划,12
政策,12
商品房,12
中心,12
政府,11
城市,11
购房,11
缴纳,11
二期,10
公园,10
无法,9
合同,9
购买,9
过户,9
证明,9
文件,8
平湖,8
能否,8
郊野,8
领导,8
假日,8
必须,7
开发商,7
建筑,7
坂田,7
房子,7
属于,7
建设,7
范围,7
情况,7
抵押,7
这种,7
目前,7
工程师,6
助理,6
片区,6
贷款,6
山体,6
不留,6
负责,6
超过,6
履行,6
套房,6
今年,6
麻烦,6
地块,6
塘朗山,6
特区,6
香港,6
三年,6
夫妻,6
做好,6
后面,6
海拔,6
号线,6
西面,6
买房,6
改造,6
用地,5
费用,5
之前,5
开发,5
户口,5
连续,5
房地产,5
流程,5
新政,5
以下,5
应该,5
定金,5
继续,5
国家,5
不是,5
罗湖,5
高铁,5
税费,5
标准,5
查询,5
详细,5
知道,5
名下,5
住宅,4
土地,4
户籍,4
基本,4
耕地,4
塘朗,4
城际,4
城市规划,4
房地产权,4
坡度,4
地铁,4
特殊,4
建议,4
保护区,4
当事人,4
减少,4
离婚,4
华庭,4
证件,4
南山区,4
尽快,4
历史,4
大于,4
纠纷,4
名义,4
红本,4
草坪,4
生态,4
恳求,4
花园,4
坡地,4
一方,4
水木,4
提供,4
月份,4
提交,4
之间,4
控制线,4
深户,4
时间,4
二期工程,4
新区,4
期间,4
难道,4
龙岗,4
方案,4
龙岗区,4
父亲,4
自然村,3
出售,3
正常,3
法院,3
几个,3
配套,3
注销,3
民众,3
不动产,3
预售,3
测算,3
买个,3
另一方,3
养老保险,3
医疗,3
开工,3
改善,3
划分,3
该地,3
不会,3
工作人员,3
市民,3
加上,3
普通,3
说明,3
普铁,3
前签,3
方法,3
区别,3
社区,3
步骤,3
空地,3
工伤保险,3
附近,3
莲花,3
工地,3
双方,3
首套,3
月初,3
二级,3
十一,3
情形,3
转移,3
成为,3
转让,3
有没有,3
有限公司,3
实际,3
规划局,3
小区,3
地价,3
何种,3
罗湖区,3
拆迁,3
交易,3
网站,3
要求,3
网签,3
转为,3
二手房,3
换房,3
签订,3
赣深,3
外地,3
不必要,3
能够,3
处于,3
公寓,3
全部,3
孩子,3
一篇,3
联系,3
居民,3
生活,3
不在少数,3
一点,3
打印,3
子孙后代,2
实践,2
婚姻,2
学院,2
精神,2
家住,2
简称,2
是否是,2
楼盘,2
家庭,2
学习,2
存续,2
打工,2
婚前,2
复函,2
材料,2
垃圾,2
村委,2
未办理,2
期房,2
朋友,2
基本农田,2
有效,2
境外,2
极其,2
增值税,2
绿化,2
有个,2
给予,2
楼层,2
大厦,2
结婚,2
第三方,2
最近,2
经得起,2
失职,2
桃源居,2
桃苑,2
检验,2
更名,2
森林,2
如下,2
红岗,2
经理,2
工厂,2
第三套,2
损失,2
据悉,2
性质,2
态度,2
深惠,2
控制,2
用途,2
形式,2
坡体,2
当时,2
当属,2
当天,2
强调,2
男方,2
开阔,2
开庭,2
情侣,2
理念,2
摆摆手,2
现已,2
执行,2
扭扭,2
扇子舞,2
批准,2
爱人,2
渴望,2
担心,2
拥有,2
深规土,2
指称,2
我爸,2
T409,2
犯罪,2
状态,2
成片,2
留点,2
登记证,2
寒心,2
工商学院,2
施工,2
山道,2
山脚下,2
山坡,2
山地区,2
山地,2
此列,2
山下,2
立体车库,2
旧规,2
符合,2
尊敬,2
第一个,2
正在,2
对照,2
殷均乐,2
工商行政,2
法定,2
市长,2
治病,2
建筑功能,2
放风筝,2
建成,2
政府部门,2
求求,2
应当,2
研究院,2
破坏性,2
水源,2
社会保险,2
福田,2
福田区,2
文章,2
科学,2
电脑,2
坐在,2
踢皮球,2
败笔,2
动工,2
办法,2
力争,2
说法,2
到场,2
之初,2
判决,2
谈谈情,2
谢姓,2
乘车,2
配合,2
划定,2
配偶,2
部分,2
邮箱,2
为准,2
勘察,2
包含,2
许宗衡,2
解答,2
限购,2
两个,2
两处,2
两套,2
认为,2
证书,2
评定,2
卖出去,2
单身公寓,2
严格,2
单身,2
个人,2
十二,2
财产,2
分割,2
视野,2
出资,2
停靠,2
人民,2
这方面,2
促进,2
付清,2
这块,2
使用权,2
以上,2
作曲家,2
余姓,2
何为,2
住房价格,2
位于,2
伸伸,2
以前,2
健身操,2
先进,2
光明,2
具体,2
事宜,2
准备,2
事情,2
遗憾,2
写字楼,2
具体位置,2
资质,2
这般,2
通知,2
六类,2
公布,2
全款,2
地税局,2
身份证,2
东莞,2
包括,2
视察,2
名胜区,2
首个,2
风景,2
上任,2
节假日,2
周末,2
否认,2
上面,2
不知,2
街道,2
下午,2
非常,2
表示,2
不到,2
不宜,2
自然保护区,2
一级,2
回事,2
一次性,2
国内,2
胳膊,2
图纸,2
土地类型,2
一手,2
骂名,2
土质,2
高地,2
一家,2
高度,2
老人,2
美化,2
一名,2
集中,2
还贷,2
发生,2
規划,2
发展,2
不要,2
取消,2
不胜感激,2
