词语,计数
"
",172
香港,165
口岸,106
通行证,51
过关,47
护照,44
港澳,38
入境,35
签证,35
时间,28
福田,24
通关,24
机票,20
深圳湾,20
签注,20
持有,19
边检,16
出境,16
能否,16
证件,15
罗湖口岸,14
皇岗,14
一次,13
旅游,13
回来,12
澳门,11
通道,11
台湾,11
海关,11
户口,10
晚上,10
落地,10
材料,10
今天,10
知道,9
春节,9
香港机场,9
才能,9
内地,9
直接,9
关税,9
一年,9
情况,8
进入,8
大陆,8
个人,8
孩子,8
泰国,8
准备,8
自助,8
中国,8
朋友,7
有没有,7
日本,7
行程,7
电子,7
期间,7
服务,7
计划,7
前往,7
新加坡,7
发现,7
不是,6
临时,6
逗留,6
客户,6
影响,6
许可,6
片区,6
小时,6
居民,6
一周,6
左右,6
三个,6
手机,6
是不是,6
希望,6
航班,6
多次,6
麻烦,6
有无,6
购物,5
携带,5
询问,5
当天,5
通知,5
工作人员,5
查验,5
放行,5
蛇口,5
提前,5
要求,5
一起,5
显示,5
了解,5
广州,5
过去,5
美国,5
往返,5
参加,5
提供,5
各口岸,5
游客,5
可否,5
申报,5
E通,5
记录,4
看到,4
意大利,4
公民,4
当时,4
转机,4
解决,4
指纹,4
往来,4
原因,4
怀孕,4
大约,4
拿到,4
罗湖,4
特殊,4
香港旅游,4
具体,4
外国人,4
应该,4
超过,4
当日,4
明天,4
证明,4
下午,4
学童,4
出入境,4
出关,4
显示器,4
补盖,4
北京,4
出示,4
月份,4
正常,4
程序,4
居留,4
飞机,4
早上,4
台风,4
中港,4
收费,4
乘坐,4
可不可以,4
深户,4
重新,4
东西,4
两次,4
车流,4
政策,4
身份证,4
马拉维,4
办公室,3
免签,3
跨境,3
允许,3
出行,3
儿童,3
过境,3
到期,3
过期,3
货物,3
关口,3
开放,3
小孩,3
结束,3
身份,3
就业证,3
许可证,3
入关,3
起飞,3
就业,3
家人,3
农村,3
必须,3
带回,3
目前,3
迁移,3
帮忙,3
停车场,3
人员,3
即可,3
一天,3
国内,3
政府,3
酒店,3
一位,3
处理,3
文件,3
告诉,3
文锦渡,3
坐飞机,3
听说,3
旅客,3
业务,3
有效期,3
不知,3
乘飞机,3
日起,3
一家,3
泊位,3
自由,3
限制,3
明确,3
陪同,3
昨天,3
集装箱,3
三口,3
非常感谢,3
船舶,3
每次,3
搭乘,3
主机,3
团队,3
拦截,3
这是,3
返回,3
咨询电话,3
这种,3
打算,3
柬埔寨,3
遗失,3
解答,3
电话,3
回到,3
还要,3
拍卖,3
今年,3
人流,3
人工,3
机场,3
网站,3
回乡证,3
交付,3
回大陆,3
排队,3
造成,3
探亲,3
原来,3
因有,2
回事,2
回家,2
紧张,2
简单,2
实际,2
安装,2
回国,2
完全,2
安检,2
场地,2
国家,2
外国,2
绿地,2
奶粉,2
续期,2
大概,2
美国签证,2
老人,2
多久,2
外地,2
如需,2
联系,2
经营,2
国庆,2
境内,2
经由,2
坐车,2
维修,2
婴儿,2
地铁,2
地区,2
孕妇,2
自行车,2
国际,2
客人,2
想来,2
客流,2
据说,2
沙头角,2
时要,2
河套,2
日至,2
日期,2
注意,2
无法,2
活动,2
旅行,2
派出所,2
方法,2
方式,2
海马,2
斐济,2
文明,2
整个,2
数量,2
清迈,2
港币,2
水果,2
是非,2
比赛,2
有点,2
查询,2
来回,2
来不及,2
机组,2
标准,2
根本,2
未见,2
检查站,2
有时,2
普通,2
次数,2
有效,2
有人,2
最近,2
最少,2
最后,2
更新,2
暂时,2
掉落,2
指定,2
对待,2
烟火,2
相应,2
当面,2
矛盾,2
短期,2
码头,2
延迟,2
廊桥,2
禁区,2
带到,2
帕劳,2
禮品,2
巴厘岛,2
左住,2
属实,2
属于,2
居留证,2
居民身份证,2
空白,2
第二次,2
监理,2
监护人,2
态度,2
申报表,2
父母,2
报备,2
找到,2
珠海,2
理解,2
生产,2
用词,2
手里,2
所谓,2
想带,2
电商,2
我要,2
我能,2
电子邮件,2
成功,2
感谢您,2
意思,2
愉快,2
莲塘,2
培训,2
停运,2
阻拦,2
配合,2
出货,2
资质,2
费用,2
初二,2
两地,2
铁线,2
办好,2
办法,2
东莞,2
动工,2
勤办,2
包包,2
不见,2
言行,2
不要,2
说明,2
不用,2
不想,2
不得,2
设备,2
陆路,2
不会,2
協助,2
下次,2
计算,2
非永久性,2
謝謝,2
出现,2
出来,2
邮关,2
出口,2
这次,2
保姆,2
信息,2
假期,2
迟迟,2
以下,2
退款,2
代表,2
元免,2
免除,2
入境手续,2
全国,2
从事,2
今日,2
今天下午,2
人士,2
关系,2
通關,2
关闭,2
内存卡,2
内部,2
几个,2
九点,2
那位,2
之外,2
几年,2
出入,2
及时,2
负责,2
表演,2
规划,2
预定,2
一支,2
预约,2
变化,2
一名,2
一双,2
领导,2
可能,2
被扣,2
首次,2
合法,2
同事,2
IMAC,2
周六,2
周末,2
蔬菜,2
落马洲,2
取得,2
进口,2
发布,2
污染,1
点前,1
湿气,1
通行证号,1
通行,1
準備,1
马来西亚人,1
這情況,1
面膜,1
适用,1
爷爷奶奶,1
点半,1
点多,1
马来西亚籍,1
马游于,1
热议,1
送行,1
照常上班,1
爱人,1
通讯稿,1
通過,1
马来西亚,1
标牌,1
那种,1
香港特别行政区,1
清楚,1
清洗剂,1
马上,1
還請,1
港口,1
遗落,1
核实,1
面积,1
港幣,1
道路,1
過關,1
比別,1
样本,1
游澳,1
遇到,1
马累,1
送关,1
检查一下,1
牛奶,1
迹象,1
生活,1
迫切,1
用途,1
迪斯尼,1
查获,1
查看,1
查找,1
申報,1
连接,1
每周,1
违反规定,1
违不,1
进港,1
申请表,1
进度,1
查出,1
理论,1
退回,1
退房,1
特许,1
马达加斯加,1
骗税,1
退费,1
物品,1
高校,1
面部,1
退税,1
高楼,1
每人,1
状态,1
玉兰油,1
环境,1
现实,1
现已,1
现想,1
现有,1
清明节,1
清华,1
除夕夜,1
阿姨,1
需去,1
波兰,1
需持,1
注意事项,1
需时,1
欧洲,1
泰新,1
队伍,1
洗面奶,1
问下,1
预计,1
非常,1
關於大約,1
關口,1
派遣,1
预订,1
開放,1
此事,1
法治,1
进关,1
阿迪达斯,1
顺利,1
限额,1
沙岭,1
沟通,1
限行,1
陸路,1
水深,1
没盖,1
没遇,1
残破,1
沿岸,1
沿线,1
武术,1
预先,1
