词语,计数
"
",153
停车场,23
驾驶证,21
违章,21
停车,20
处理,18
罚款,16
时间,16
指标,16
大道,15
考试,15
领导,15
电动车,14
红绿灯,14
居住证,14
安全,13
知道,13
驾照,13
小区,13
通道,12
车管所,12
希望,11
记录,11
网上,10
汽车,10
高速,10
货柜车,10
驾驶,10
斑马线,10
动力,10
混合,10
晚上,10
路段,9
交通,9
ETC,9
收费,9
不是,9
行人,9
道路,9
摩托车,9
小车,9
查询,8
the,8
无法,8
预约,8
系统,8
解决,8
电动,8
要求,8
车牌,8
当时,8
处罚,8
个人,8
人行道,8
自行车,7
生活,7
通知,7
原因,7
能否,7
限行,7
上下学,7
以下,7
接受,7
经常,7
入住,7
接送,7
给予,7
机动车,7
许可证,7
车道,7
进入,7
地方,7
情况,6
牛始,6
年轻人,6
科目,6
政府,6
那路,6
抓车,6
令人担忧,6
建设,6
免不了,6
收费站,6
铺路,6
居民,6
上班,6
买菜,6
收到,6
才能,6
购买,6
日夜不停,6
license,6
是不是,6
购物,6
南山,6
对面,6
奔驰,6
老弱病残,6
driver,6
路口,6
孩子,6
证件,6
编号,6
高峰,5
人员,5
货车,5
摇号,5
临时,5
新区,5
明确,5
机动,5
南路,5
大队,5
监控,5
朋友,5
有没有,5
外地,5
住户,5
扣车,5
管理处,5
小时,5
小汽车,5
注销,5
尊敬,5
等候,5
隧道,5
审核,5
派出所,5
车型,5
到期,5
户口,5
名下,5
附近,5
属于,5
一年,5
交警大队,4
街道,4
得到,4
违法,4
多谢,4
反映,4
发生,4
发现,4
观澜,4
行走,4
行为,4
人民,4
交通事故,4
所在地,4
只能,4
获得,4
国家,4
导致,4
和悦,4
影响,4
路边,4
几吨,4
准备,4
车位,4
红灯,4
实在,4
宝安,4
安排,4
转入,4
公正,4
公平,4
市民,4
空地,4
十字路口,4
免费,4
光明,4
允许,4
通行费,4
请求,4
过期,4
停满,4
厚街,4
大厦,4
异地,4
该车,4
应当,4
这种,4
两地,4
非机动车,4
下午,4
高峰期,4
正常,4
不停,4
拘留,4
丰田,4
黑色,4
最近,4
闯红灯,4
东莞,4
两个,4
清远,4
望能,4
ZB656,4
换证,4
非常,4
涉及,4
执照,4
一次,4
标示牌,4
龙岗区,4
系统升级,3
公交车,3
老婆,3
危险,3
一定,3
左右,3
深圳市公安局,3
原本,3
购车,3
市政道路,3
公安局,3
业主,3
深圳特区,3
车牌号,3
突然,3
混动,3
驾校,3
没收,3
幼儿园,3
证明,3
经营,3
贵局,3
继续,3
泊位,3
限牌,3
路上,3
小孩,3
时间段,3
十分,3
上牌,3
出口,3
管理条例,3
学员,3
一台,3
造成,3
不会,3
管理,3
区内,3
施工,3
身份证,3
过户,3
车主,3
不到,3
尽快,3
内部,3
限电,3
具体,3
不想,3
法律,3
应该,3
通行,3
一辆,3
口岸,3
回家,3
基本,3
花园,3
违规,3
变更,3
这次,3
留仙,3
合理,3
合法,3
你们好,3
本月,3
今天,3
警察局,3
直接,3
配备,3
材料,3
目前,3
条例,3
从未,3
急盼,3
规划,3
拿到,3
做法,3
本地,3
交汇处,3
品牌,3
停放,3
商谈,3
标准,3
噪音,3
龙华,3
我于,3
国道,3
近期,3
信息,3
成功,3
取得,3
行政,2
罗湖,2
正准,2
查寻,2
商务车,2
欢迎,2
罚款单,2
补交,2
网络故障,2
回来,2
日行,2
查处,2
网络,2
行路,2
早上,2
时期,2
沙湾,2
回老家,2
昨天,2
沙岭,2
自动挡,2
好多,2
营运,2
增加,2
增量,2
月底,2
声音,2
联系电话,2
有个,2
本市,2
未过,2
多车,2
有效,2
多次,2
每个,2
联网,2
有限公司,2
每周,2
服务,2
朗麓,2
月份,2
毕业,2
考虑,2
普通,2
好久,2
群众,2
在内,2
套用,2
自动,2
是从,2
显示,2
地铁站,2
求助,2
坐在,2
江西,2
天数,2
汇港,2
考取,2
暂住证,2
城市,2
地铁,2
小型汽车,2
安装,2
经营性,2
必须,2
微博,2
拒绝,2
很多,2
盼复,2
拨打,2
牌号,2
看到,2
当有车,2
真想,2
引起,2
引导,2
真是,2
持有,2
开车,2
睡觉,2
按排,2
开单,2
开具,2
短信,2
点后,2
延期,2
换车,2
盘世锋,2
快速路,2
拉客,2
电话,2
所有,2
打工,2
珠三角,2
扣分,2
扣留,2
截至,2
现象,2
申诉,2
申领,2
扣除,2
技能,2
怀凝该,2
畅通,2
抄牌,2
登陆,2
惠州,2
环线,2
报道,2
特别,2
拆迁,2
怡景,2
牛始埔路,2
灯泡,2
满足,2
提供,2
方便,2
小组,2
消息,2
流程,2
小梅沙,2
小型,2
故障,2
文字,2
封闭,2
新开工,2
泥头车,2
容易,2
局打,2
家园,2
家人,2
客车,2
方式,2
实施,2
宝安区,2
无人,2
无视,2
定罪,2
经典,2
政府部门,2
局给,2
社会,2
巴士,2
广汽,2
提前,2
社区,2
福永,2
提示,2
插电式,2
穿过,2
帝景,2
窗口,2
市场,2
已过,2
居住,2
改场,2
竹子林,2
巡防,2
深圳大学,2
巡警,2
第一,2
深南路,2
改革,2
深南,2
第二代,2
被扣,2
桥底,2
位于,2
公车,2
几个,2
准考证,2
下去,2
身份证号,2
下来,2
车停,2
下班,2
需求,2
不分,2
车船税,2
限制,2
路面,2
公证,2
公示,2
不知,2
转好,2
转换,2
公开,2
公布,2
不要,2
队员,2
公安,2
上次,2
路过,2
专用,2
一条,2
一中,2
办事,2
一块,2
前轮,2
前行,2
前方,2
前去,2
资源,2
制度,2
到底,2
刑侦,2
交管,2
駕駛證,2
分在,2
分停,2
三期,2
三次,2
面包车,2
路网,2
凯美瑞,2
面前,2
几部,2
公交,2
载货,2
to,2
人行,2
周末,2
丹平,2
丹沙,2
重开,2
以南,2
以前,2
以上,2
仙台,2
今日,2
主要,2
人能,2
进出口,2
邮箱,2
人人平等,2
迫于,2
之前,2
亮起,2
选择,2
事宜,2
事情,2
通卡,2
二手车,2
重新,2
中间,2
辖区,2
做些,2
业务,2
东平,2
问到,2
门口,2
长期,2
两次,2
停车费,2
停车线,2
过来,2
停下,2
个体户,2
中港,2
还收,2
中华人民共和国,2
保险,2
保护,2
中央,2
中旬,2
依规,2
依法,2
何时能,2
进出,2
骑车,2
几秒钟,2
State,2
台湾,2
请教,2
规范,2
请賜教,2
名苑,2
后轮,2
占用,2
发票,2
com,2
博览,2
States,2
警察,2
调头,2
南头,2
China,2
come,2
说法,2
单时,2
双擎,2
California,2
参加,2
鸡西市,2
C1,2
号码,2
黑龙江省,2
合同,2
Thanks,2
be,2
同一,2
can,2
高速路,2
觉得,2
United,2
设备,2
设施,2
and,2
4S店,2
华发,2
in,2
华强,2
HK436,2
计划,2
how,2
G94,2
international,2
have,2
legal,2
变成,2
启用,2
pengjianting225,2
Chinese,2
取消,2
训练,2
get,2
S30,2
MH155,2
from,2
包含,2
drive,2
潭第,1
灯光,1
熟悉,1
正当,1
麻烦,1
重视,1
铁路,1
黄岗省,1
点半,1
点半到,1
此处,1
针对,1
父母,1
正直,1
楼村,1
欢迎您,1
现想,1
邮件,1
那条,1
還有,1
现场,1
现已,1
棘手,1
遵纪守法,1
龙翔,1
遗失,1
检证,1
检测线,1
检查,1
道理,1
遇到,1
现向,1
龙城,1
次日,1
物业,1
模拟信号,1
牛始埔,1
里面,1
配送,1
锦华,1
龍華新區,1
物业管理,1
楼下,1
部分,1
特定,1
龙华区,1
状态,1
独自一人,1
玉龙,1
银鹰,1
沙井,1
麦当劳,1
滨河,1
法定,1
顾客,1
法律依据,1
水果,1
法律责任,1
氙气灯,1
民生问题,1
法盲,1
法规,1
靠边,1
非法,1
非常感谢,1
民生,1
民众,1
流体,1
沿福永凤塘,1
飞驰,1
治理,1
污染,1
骑虎难下,1
骗取,1
汽油车,1
高效,1
没出,1
验证,1
没刀,1
河南,1
马路上,1
马路,1
马上,1
江西省,1
没法,1
高效率,1
流氓,1
流水号,1
非宜,1
死亡,1
问下,1
清楚,1
长途,1
清远市,1
长路,1
湖北省,1
步通,1
深户,1
湖南,1
长城,1
湖雅苑,1
满意,1
此车,1
镇友,1
深牌,1
深圳湾,1
零时,1
比亚迪,1
难处,1
隔音,1
涉嫌,1
比重,1
比例,1
降底,1
每次,1
每天晚上,1
鸿业,1
阻碍交通,1
鹏程,1
防范,1
队伍,1
深圳市政府,1
造谣,1
被车撞,1
現在,1
费用,1
购车人,1
维修,1
维护,1
综合,1
责任人,1
责任,1
缴款,1
缺陷,1
负责人,1
网络服务,1
网页,1
负责,1
罗湖区,1
資料,1
谢谢您,1
调档,1
置换,1
调查核实,1
群体,1
老百姓,1
老百性,1
续期,1
络绎不绝,1
考场,1
资格,1
路试,1
路线,1
路况,1
类似,1
类型,1
距离,1
超过,1
超车,1
繁华,1
红星,1
超期,1
红桂路,1
超市,1
赶紧,1
赤尾,1
赣州,1
约考,1
练车,1
组去,1
赔偿标准,1
绕道,1
说真的,1
考完,1
理会,1
范围,1
莲塘,1
警力,1
菜单,1
請問,1
解答,1
葵涌,1
解决问题,1
行业,1
解决方案,1
行到,1
视为,1
桃源,1
观察,1
行驶,1
行驶证,1
覆盖,1
西乡,1
西丽,1
补充,1
补证,1
表示,1
认真对待,1
英俊,1
误会,1
苦衷,1
考虑一下,1
语音,1
耍猴,1
详谈,1
详细,1
试试,1
试点,1
识别,1
能够,1
设置,1
设有,1
自称,1
自行,1
设在,1
自豪,1
许可,1
至今,1
致礼,1
记不清,1
致远,1
认识,1
管理人员,1
路途遥远,1
路通,1
百鸽,1
监管,1
违停,1
进展,1
目的,1
进去,1
直观,1
直达,1
相信,1
相应,1
这款,1
这是,1
真假,1
真实性,1
这应,1
这位,1
还鸣,1
着想,1
还好,1
知晓,1
还划,1
近日,1
违反,1
百货,1
管不了,1
白天,1
理由,1
理解,1
通畅,1
瑞风,1
透明,1
选车,1
生产,1
生命安全,1
用地,1
由市,1
逃费,1
适用,1
追究,1
电信,1
迫在眉睫,1
迟迟,1
违背,1
留在,1
留言,1
登记证,1
违章处罚,1
运输,1
研发,1
破车,1
碧岭,1
立即,1
站台,1
竟然,1
车速,1
符合,1
第一次,1
第三章,1
车能,1
车祸,1
车流量,1
车流,1
第二次,1
车扣,1
车子,1
车场,1
第十七条,1
身处,1
等待,1
踏板,1
简政放权,1
简易,1
立交,1
转盘,1
转籍,1
辦理,1
过年,1
迁移,1
社保局,1
迁出,1
祥利路,1
禁摩,1
禁行,1
迁入,1
辨别,1
秉着,1
轮胎,1
科一及,1
科二均,1
科技,1
辦事處,1
科苑,1
积压,1
移动,1
穿梭,1
载客,1
行边,1
手段,1
桂圆,1
出差,1
出证,1
出言,1
出行,1
出站,1
出现,1
出来,1
出入,1
十来天,1
凤雅台,1
凤塘,1
几条,1
几天,1
几千块,1
几千个,1
分为,1
分从,1
分析,1
分钟,1
切实,1
到华强,1
制服,1
刺耳,1
办事处,1
办法,1
功能,1
加上,1
加装,1
助力,1
勤学,1
区域,1
区相,1
几十元,1
准备考,1
冲卡,1
公路,1
兆方,1
光临,1
免除,1
入内,1
入口,1
全国,1
全部,1
公交站,1
公园,1
公安机关,1
公正性,1
公民,1
公益,1
公证书,1
六路,1
冤呀,1
共乐,1
共产党,1
关上,1
关注,1
关系,1
关键,1
其实,1
具体地址,1
内乱,1
内有,1
再摇,1
再次,1
农业银行,1
农村,1
医保,1
半个,1
停靠,1
同志,1
听到,1
后门,1
后来,1
同步,1
同样,1
同日,1
合作,1
协助,1
各级,1
各局,1
司机,1
号线,1
右转,1
可行性,1
听说,1
告诉,1
周期,1
周边,1
咨询电话,1
哪個,1
商业街,1
商业银行,1
善良,1
喇叭,1
喜出望外,1
嘉宾,1
四大,1
四川,1
回去,1
回应,1
回答,1
可行,1
可操作性,1
可不可以,1
参与,1
协议,1
协调,1
单单,1
南坪,1
南往,1
占路,1
卡机,1
危及,1
危言耸听,1
却是,1
原件,1
厢式,1
去取,1
去年,1
及时,1
变造,1
及路,1
双向,1
双龙,1
反增,1
反而,1
反馈,1
发稿,1
发给,1
发觉,1
取出,1
取走,1
受害者,1
受理,1
变化,1
充电,1
停车难,1
根本,1
上班族,1
不合理,1
不去,1
不减,1
不公,1
不予,1
上路,1
上来,1
两证,1
上岗证,1
上学,1
上午,1
上传,1
上下班,1
三类,1
不同,1
不够,1
不得,1
不愿,1
不放车,1
不断,1
不派,1
不肯,1
不起,1
不足,1
不限行,1
专业,1
东方,1
东滨路,1
两千,1
两天,1
两年,1
三个,1
万家,1
丁均泉,1
cn,1
A1388T,1
ABCD4,1
B00933,1
B02771,1
B290CP,1
B398ZH,1
BM3976,1
D00933,1
DL20150605L000020,1
LED,1
LL16090416,1
X5,1
action,1
aps,1
getPdList,1
一项,1
gov,1
http,1
kszzyy,1
reportout,1
stc,1
xDrive40e,1
一刀,1
一天,1
一整夜,1
一段时间,1
一眼,1
一群,1
一起,1
一问,1
两张,1
两边,1
停车位,1
今年,1
住宅,1
份额,1
以非,1
以内,1
代步,1
从事,1
人流量,1
严查,1
人工,1
人均,1
人员伤亡,1
人为,1
亲自,1
亲友,1
住宅区,1
住宅小区,1
依据,1
依法办事,1
依法处理,1
侧边,1
侨香路,1
保有量,1
保留,1
信号灯,1
借用,1
借给,1
值为,1
假日,1
停产,1
停入,1
停留,1
亲临,1
京东,1
交集,1
书画院,1
严格来说,1
严重不足,1
个体经营,1
中心,1
中有,1
中队,1
为证,1
主干路,1
主干道,1
举报,1
之中,1
之内,1
之后,1
乘坐,1
书面,1
交通管理,1
乱收,1
了解,1
二手,1
二类,1
五条,1
交接处,1
交涉,1
交界处,1
交管局,1
交给,1
交警支队,1
交警部门,1
交通局,1
交通秩序,1
回过,1
因原,1
困扰,1
拷问,1
据统计,1
换成,1
换店,1
挪到,1
持证,1
持续,1
拍照,1
改动,1
拍卖,1
拆除,1
担心,1
抵扣,1
抬高,1
抬杆,1
排放,1
接到,1
控制,1
推来推去,1
措施,1
提交,1
提出,1
提高,1
換成,1
搬进,1
摆卖,1
摆摊,1
撤销,1
支付,1
支持,1
支配,1
收入,1
报废,1
报名,1
报修,1
我原,1
惠州市,1
想不到,1
想换,1
想要,1
惹火,1
意味着,1
意外,1
感到,1
感受,1
感觉,1
愤怒,1
慢慢,1
成为,1
成本,1
我家,1
抢劫犯,1
我局,1
我想,1
我要,1
户名,1
所说,1
所谓,1
手上,1
2016.07,1
打算,1
扣费,1
找到,1
找过,1
承担,1
抓道,1
收取,1
改行,1
国庆,1
有余,1
未发,1
期间,1
期待,1
有效期,1
有台,1
有刀,1
月亮,1
改装,1
更是,1
更新,1
更改,1
更好,1
暂行办法,1
暂停状态,1
未有,1
未满,1
未经许可,1
机动车道,1
村口,1
村里,1
来信,1
来看,1
来管,1
来访,1
松岗,1
极大,1
查到,1
查明,1
标志,1
栏杆,1
核实,1
智能,1
智慧,1
普通群众,1
方向,1
放弃,1
放行,1
政策,1
故意,1
故特,1
散学,1
整条,1
文书,1
新买,1
新湖,1
新车,1
新闻,1
新闻媒体,1
方便快捷,1
方法,1
显示屏,1
旁学,1
旁时,1
旅游景点,1
无助,1
无奈,1
无权,1
日夜,1
日起,1
早己,1
早晚,1
时才,1
时骑,1
明显,1
春节,1
您们,1
恢复,1
怎么回事,1
委托,1
学海,1
学习,1
存在,1
字样,1
媒体报道,1
威胁,1
姓名,1
快速,1
姐夫,1
始于,1
妥善,1
好评,1
好好,1
好人,1
学生,1
学车,1
安全性,1
安全隐患,1
安心,1
安托山,1
安稳,1
安顺,1
完成,1
宗旨,1
官方,1
定责,1
宝马,1
实事,1
实现,1
实际上,1
宣传单,1
女装,1
夹击,1
失职,1
外围,1
图片,1
在线,1
地处,1
地面,1
块钱,1
型号,1
城区,1
城管局,1
塘朗山,1
增压器,1
增城,1
处以,1
处理结果,1
备案,1
外来,1
失效,1
外省,1
外面,1
多久,1
多条,1
大亚湾,1
大地,1
大媒,1
大家,1
大浪,1
大灯,1
大部分,1
大鹏,1
天天,1
天让,1
家室,1
家庭,1
宽带,1
开班,1
年入,1
年前,1
并于,1
广东,1
广东省,1
广受,1
广场,1
广州市,1
广泛,1
应经,1
店门口,1
建局,1
开个,1
开学,1
开票,1
平南,1
开通,1
弄清楚,1
强制,1
强行,1
当日,1
形式,1
彻底解决,1
往东行,1
很少,1
得出,1
得知,1
御苑,1
心甘情愿,1
快递,1
平民,1
干线,1
对出,1
届时,1
对外,1
对待,1
导航,1
封路,1
将心比心,1
小学,1
小孩子,1
小客车,1
小小的,1
小猪,1
少儿,1
就此,1
局面,1
居及,1
山路,1
干扰,1
岁宝,1
巡查,1
工作证,1
工抢,1
市内,1
市容,1
市政,1
