词语,计数
"
",57
工资,36
员工,35
劳动合同,18
合同,16
劳动,13
应该,12
最低工资,11
月份,11
标准,9
人员,8
补偿,8
要求,7
期间,7
加班,7
经济,7
扣留,7
一份,7
时间,6
得到,6
增加,6
国家,6
试用期,6
今年,6
缴纳,6
不是,6
赔偿,5
很多,5
当时,5
全部,5
病假,5
希望,5
低于,5
购买,5
离职,5
个人,5
假期,5
每个,5
享受,5
这种,5
做法,5
小孩,5
情况,5
一个月,5
领导,5
才能,4
支付,4
下岗,4
签定,4
权益,4
押金,4
合法,4
通知,4
是不是,4
工厂,4
老板,4
原来,4
证明,4
辞职,4
方法,4
签订,4
深户,4
用人单位,4
有没有,4
退休,4
招调工,4
以前,4
三个,4
小时,4
期满,4
一家,4
政府,4
同意,4
最低,3
社会保险,3
原因,3
非法,3
多年,3
发放,3
知道,3
提供,3
发生,3
提出,3
厂方,3
口头,3
完成,3
可否,3
交纳,3
职工,3
名义,3
计算,3
失业,3
具体,3
加班费,3
帮助,3
一天,3
所在,3
户口,3
包括,3
已有,3
终止,3
工龄,3
我该,3
一名,3
医疗,3
医疗保险,3
继续,3
属于,3
内地,3
有效,3
条例,3
留存,2
合理,2
日期,2
政策,2
哺乳,2
签订合同,2
哺乳期,2
务工人员,2
盼复,2
收发室,2
劳动局,2
支持,2
劳动法,2
只能,2
区外,2
真是,2
矛盾,2
医保,2
突然,2
半年,2
无助,2
指标,2
四人,2
您们好,2
回家,2
核算,2
少儿,2
正班,2
正式,2
就要,2
正常,2
岗位,2
工人,2
欠费,2
工作人员,2
工作量,2
工资标准,2
最低标准,2
回来,2
最后,2
所有,2
查厂,2
应允,2
机构,2
本月,2
建筑,2
期待,2
服务,2
朋友,2
怀孕,2
正确,2
办公,2
尊敬,2
此致,2
拿到,2
回答,2
理解,2
理由,2
拖欠工资,2
处理,2
大学生,2
法律,2
暂住证,2
您们,2
女职工,2
如下,2
暂停,2
安排,2
毕业,2
比较,2
比率,2
实际上,2
客户,2
每月,2
每年,2
家庭,2
每位,2
算法,2
厂里,2
交接,2
采购,2
以后,2
近日,2
任务,2
伙食费,2
三位,2
这一,2
一种,2
保护,2
连续,2
一式两份,2
一年,2
职称,2
职介,2
考试,2
一千个,2
考虑,2
公司员工,2
以下,2
上报,2
以上,2
负责,2
证据,2
书面,2
证书,2
个人帐户,2
两年,2
计入,2
解除合同,2
