词语,计数
"
",113
移动,27
业余,26
设备,25
基站,21
对讲机,17
天线,16
呼号,15
居民,14
电台,14
频率,14
辐射,14
产品,13
信号,13
发射,13
贵局,12
无线,12
型号,11
管理,11
安装,10
无线电台,10
操作证,10
频段,9
生产,8
申请人,8
个人,8
宝安,8
最近,8
核准,7
影响,7
执照,7
收到,7
国家,6
操作,6
微波,6
知道,6
管理局,6
是不是,6
希望,6
协会,6
要求,6
造成,6
边境,6
发射塔,6
进口,5
环境,5
有线电视,5
接收,5
批准,5
才能,5
手机,5
情况,5
得到,5
两个,5
广东省,5
幼儿园,5
市场,5
审批,5
合法,5
准备,5
广播,5
伤害,5
申请材料,5
申请表,5
证书,5
符合,5
范围,4
程序,4
业务,4
空旷,4
我家,4
听说,4
领导,4
国无管表,4
诉求,4
报考,4
禁区,4
取得,4
很多,4
网上,4
购买,4
地带,4
非法,4
考试,4
干扰,4
自制,4
市民,4
西乡,4
处理,4
中心,4
复印件,4
尊敬,4
安全,4
提供,4
设置,4
电信,4
公园,4
代码,4
办公室,4
有无,4
三个,4
正常,4
费用,4
内容,4
南华,4
流程,4
楼顶,4
原因,4
这种,4
人民,4
栋楼,4
及时,4
健康,4
龙岗,4
加入,4
附近,3
城市,3
转台,3
填写,3
公开,3
销售,3
全球通,3
奥运,3
备案,3
办法,3
距离,3
坂田,3
地方,3
发射功率,3
医院,3
国内,3
单元,3
四级,3
卫星,3
周边,3
可能,3
重要,3
反映,3
可否,3
用户,3
认为,3
部分,3
连接,3
直接,3
收费,3
文件,3
监测,3
时间,3
电话,3
智能,3
最大,3
电磁辐射,3
运行,3
服务,3
机构,3
材料,3
查处,3
标准,3
楼下,3
汽车,3
法院,3
海拔,3
爱好者,3
石岩,3
提出,3
提交,3
广告,3
小区,3
居住,3
计划,3
属于,3
工作人员,3
左右,3
生活,3
网页,3
网站,3
广大,3
换证,3
给予,3
过程,3
通讯,3
运动,3
福田区,3
身份证,3
技术,3
报名,3
指配,3
身体,3
龙岗区,3
不知,3
不会,3
ISM,3
会员证,3
位于,2
宣传,2
耐心,2
发放,2
环保,2
发证,2
一位,2
一款,2
家里,2
确保,2
787MHz,2
司机,2
号码,2
客户,2
上门,2
联通,2
二年,2
合适,2
胶囊,2
同意,2
实业,2
能否,2
请求,2
发布,2
对面,2
详细,2
小学,2
5.8,2
过去,2
滨海,2
南山区,2
新版,2
南路,2
南边,2
老百姓,2
大概,2
考取,2
福田,2
产生,2
数字,2
小于,2
5G,2
人员,2
将会,2
人口,2
社区,2
人体,2
导航仪,2
政府,2
意见,2
应该,2
申报,2
备份,2
之前,2
之内,2
解决,2
好像,2
视屏,2
拆除,2
报关,2
声音,2
举报,2
处长,2
为此,2
TH,2
主要,2
外地,2
不到,2
多层,2
找到,2
批示,2
多谢,2
不是,2
监护仪,2
大厦,2
解码器,2
男性,2
方圆,2
事实上,2
下来,2
诉讼,2
不要,2
我局,2
喜力,2
事项,2
评价,2
下车,2
接待,2
固定,2
我该,2
花园,2
电磁,2
委会,2
地区,2
地址,2
电视,2
许可证,2
认证,2
如下,2
之间,2
指教,2
方可,2
卫星天线,2
群众,2
具体,2
公众,2
会员,2
雷达站,2
正确,2
公路,2
此类,2
难道,2
系指,2
有限公司,2
系统,2
有没有,2
组织,2
陈书伟,2
2.4,2
幅射,2
常常,2
帮助,2
月租,2
窗口,2
以后,2
银龙,2
几天,2
机场,2
非常,2
一部,2
开发,2
建立,2
龙城,2
GHz,2
查看,2
麻烦,2
检测,2
东莞,2
楼上,2
架设,2
信息,2
一次,2
信访,2
广州,2
建议,2
楼盘,2
丢失,2
一批,2
做广告,2
楼顶上,2
建设,2
两台,2
最南端,2
监控,2
功能,2
美国,2
态度,2
巨大,2
涉及,2
通知,2
进展,2
一定,2
通用,2
办证,2
海关,2
中国,2
违法,2
无线网络,2
代码证,2
工业区,2
DMB,2
测试,2
注明,2
继续,2
续用,2
普通,2
移至,2
华府,2
出口,2
出售,2
布吉镇,2
居住证,2
出现,2
都市,2
经常,2
清楚,2
里面,2
无人机,2
居民楼,2
十多米,2
动感地带,2
MHz,1
目前,1
监管,1
监测站,1
监测中心,1
私自,1
科学研究,1
监视,1
目的,1
Nov,1
监管部门,1
研发,1
科技园,1
确定,1
稳定,1
Rocket,1
Hot,1
突然,1
SIR,1
矛盾,1
福荣路,1
立场,1
真实,1
相距,1
M5,1
相当,1
答应,1
相应,1
租个,1
直辖市,1
科长,1
碟形,1
社会,1
GPS,1
研制,1
符合规定,1
第二类,1
等到,1
真正,1
org,1
TVB,1
波瓣,1
没什么,1
没收,1
没法,1
没见,1
治疗,1
法人代表,1
法律,1
法律依据,1
法规,1
一座,1
注意,1
汽修厂,1
派人来,1
一巷,1
淫秽,1
深圳市政府,1
深港,1
清远,1
渠道,1
温家宝,1
源头,1
澳洲,1
一张,1
污染,1
监察机关,1
正好,1
案件,1
检查,1
检验,1
楼房,1
楼栋,1
楼西,1
楼高,1
模块,1
欧洲,1
正在,1
正对着,1
江门,1
一所,1
正当权益,1
此致,1
此致敬礼,1
此项,1
每个,1
比较,1
民政局,1
民用,1
汇款,1
点对点,1
烦请,1
照成,1
电视信号,1
hong0,1
com,1
电信公司,1
a13077889998,1
电器,1
电子设备,1
电子邮箱,1
电梯,1
电源适配器,1
WiFi,1
Ubiquiti,1
一区,1
画面,1
疑是,1
疗效,1
病情,1
白石洲,1
百分之九十,1
百姓,1
百家,1
百忙中,1
的士,1
http,1
申报表,1
用途,1
wifi,1
父母,1
物体,1
特别,1
特想,1
特殊,1
