词语,计数
"
",3141
小孩,1249
小学,1045
孩子,831
学位,754
户口,738
教师,659
教育局,642
幼儿园,642
参加,486
今年,479
资格证,432
报名,402
学生,378
时间,371
深户,363
就读,359
考试,357
户籍,357
教育,345
家长,340
情况,337
租赁,335
上学,321
合同,321
领导,312
高考,305
政策,294
老师,290
高中,271
证明,267
要求,251
中考,246
目前,245
初中,244
入学,241
信息,236
知道,226
学费,225
希望,224
居住证,221
读书,212
能否,203
这种,198
补贴,195
中学,194
报考,190
毕业,189
教师资格,187
提供,187
明年,182
培训,178
通知,177
影响,176
认定,175
父母,175
月份,173
学籍,172
公办,166
房子,162
机构,162
居住,160
不是,159
房屋,159
是不是,158
应该,153
福田区,153
一年级,149
准备,148
转学,143
一年,142
小区,141
房产,140
网上,138
才能,138
招生,137
积分,134
专业,134
教育学,131
社区,130
政府,129
儿童,129
计生,128
具体,128
心理学,127
文件,127
龙岗区,126
老家,125
龙华,124
龙岗,123
学期,123
一名,122
无法,121
收费,120
材料,120
公立,118
我家,118
小一,115
取得,114
义务教育,113
录取,113
必须,112
原因,111
之前,111
成绩,108
女儿,108
流程,108
了解,108
公立学校,107
两个,107
子女,107
查询,107
普通话,105
属于,105
人员,105
外地,104
符合,104
费用,103
直接,103
国家,102
广东省,101
毕业生,100
下半年,100
以上,99
宝安区,99
社会,99
福田,98
租房,98
罗湖区,97
学习,96
南山区,95
解决,95
尊敬,94
安排,94
新区,94
看到,94
证件,93
出生,93
成长,92
外国语,91
有没有,90
两学,90
宝安,89
购买,89
街道,88
证书,88
处理,87
提交,87
家庭,87
一定,86
合理,85
得到,84
教学,84
网站,82
享受,82
学区,81
资格,80
去年,79
不知,79
尽快,78
很多,78
是非,78
认证,77
试讲,76
年级,76
继续,76
申报,75
母亲,75
附近,75
还要,75
民办学校,74
开学,74
罗湖,73
给予,73
拿到,72
借读费,72
只能,72
有效,72
大学,71
房东,70
民办,69
标准,68
合格,68
所在地,68
放假,67
二年级,66
听说,66
全国,66
非常,66
中小学,65
南山,65
解答,65
面试,65
就要,64
提前,64
儿子,64
不会,63
计划生育,63
招聘,62
一所,62
转入,62
麻烦,62
考生,61
免费,61
非常感谢,61
正常,61
父亲,60
幼儿,60
办法,59
学历,59
获得,59
计划,58
业主,58
家里,58
一家,58
广东,58
个人,58
内地,58
接受,58
能力,57
师范,57
缴纳,57
测试,57
人才,57
花园,57
身份证,57
师范类,57
初三,56
学杂费,56
审核,56
能够,56
三年,55
不到,55
房产证,54
所有,54
重新,54
地址,54
本科,53
以前,53
可否,53
重建,53
盼复,53
课程,53
当时,53
小孩子,52
英语,52
管理,52
双方,52
电话,52
期间,51
合格证书,51
秋季,51
生活,51
上班,50
确认,50
以后,50
关系,50
考虑,50
考取,50
夫妻,50
帮忙,49
就近,49
户口本,49
取消,49
地方,49
问下,49
朋友,48
片区,48
日前,48
最近,47
收取,47
锁定,47
收到,47
初一,47
可能,47
打算,46
集体,46
罚款,46
正在,46
中海,46
安全,46
之后,46
工资,46
下来,46
统一,45
办学,45
日期,45
满足,45
香港,45
填写,45
自学,45
限制,44
学童,44
选择,44
合法,44
湖南,44
居民,44
期待,44
公布,43
实际,43
下学期,43
方式,43
爸爸,43
发放,43
研究生,43
代课,43
凭证,43
恳请,43
几个,43
转到,43
划分,42
超生,42
一次,42
存在,42
随迁,42
一方,42
备案,42
高一,42
缴费,42
机会,42
高级中学,41
程序,41
购房,41
退费,41
每年,41
外省,41
普通,41
机关,41
上课,40
富士,40
作业,40
应届,40
中心,40
租住,40
深圳大学,40
进入,39
老百姓,39
最后,39
方便,39
插班,39
审批,39
工作人员,38
毕业证,38
怡翠,38
今天,38
方面,38
规划,38
生育,38
异地,38
贵局,38
烦请,38
湖北,38
明确,38
至今,37
九年,37
范围,37
包括,37
阶段,37
不用,37
发现,37
允许,37
事情,37
同意,37
妈妈,37
班主任,36
完成,36
注册,36
详细,36
科目,36
老婆,36
中国,36
统考,36
名字,36
大专,36
伙食费,35
当地,35
领取,35
入读,35
本地,35
联系,35
消息,35
入住,35
一个月,35
系统,35
职业,35
私立学校,35
布吉,34
周岁,34
同一,34
告诉,34
一起,34
不同,34
服务,34
建设,34
从事,34
真的,34
发展,34
原来,34
年龄,34
马上,34
职称,33
该校,33
初二,33
迁入,33
四年级,33
分数线,33
出来,33
不要,33
正式,33
每个,33
派出所,32
资质,32
具备,32
大概,32
小学生,32
组织,32
比较,32
所在,32
上一年,32
出具,32
全部,32
高三,32
我想,31
宿舍,31
全日制,31
教育部门,31
接到,31
广州,31
到底,31
我要,31
改革,31
暑假,30
私立,30
二胎,30
名下,30
连续,30
学院,30
深大,30
三年级,30
东莞,30
一位,30
十分,30
建议,30
以下,30
重视,30
导致,30
辖区,29
具有,29
左右,29
分数,29
双免,29
春季,29
担心,29
说明,29
想要,29
实在,29
难道,29
多谢,29
回来,29
水平,29
主要,29
身份,29
结束,29
开具,29
两年,28
多年,28
自考,28
合格证,28
第一,28
不好,28
退学,28
外来工,28
此事,28
观澜,28
公平,28
配套,28
里面,27
回老家,27
新田,27
帮助,27
途径,27
相应,27
在园,27
师范生,27
民生问题,27
您们好,27
光明,27
待遇,27
独生子女,27
北京,27
找到,27
关注,27
http,27
打工,27
觉得,27
万科,27
这是,27
三个,27
班级,27
照顾,27
入户,27
实行,27
公告,27
显示,27
小朋友,27
