词语,计数
"
",56
管理处,14
小区,13
河道,12
水库,10
知道,9
垃圾处理,9
收取,9
生活,8
资质,8
标准,8
收费,8
居民,8
环境,7
方案,7
管理,6
用水,6
政府,6
希望,6
解决,6
房东,6
管道,5
吉河,5
正常,5
停水,5
街道,5
提供,5
改造,5
沙河,5
排水,5
持续,4
编制,4
自来水,4
移民,4
治理,4
市民,4
最近,4
情况,4
月份,4
影响,4
有没有,4
建设,4
花园,4
河边北路,4
市政府,4
通知,4
龙华,4
污水处理,4
水土保持,4
出来,4
水务局,4
水务,4
人体,4
每个,4
相应,4
业主,4
工业,4
过敏,4
每月,3
机构,3
今年,3
水表,3
无法,3
水质,3
检测,3
提到,3
代收,3
龙岗区,3
排污,3
cn,3
发现,3
合法,3
后期,3
增加,3
处理,3
大中型,3
安全,3
审批,3
尽快,3
居住,3
工厂,3
损坏,3
左右,3
布吉,3
应该,3
引起,3
征收,3
很多,3
信息,3
促进,3
扶持,3
住户,3
房子,3
人民政府,3
立方,3
电费,3
一段,3
要求,3
西丽,3
许可证,3
经营,3
费用,3
一个月,3
通信,3
造成,3
租房,3
不是,3
离子,3
里面,3
西乡,3
13.5,3
物业,3
领导,3
生产,3
滞纳金,3
非常感谢,3
国务院,2
建筑,2
近期,2
費的,2
说明,2
广东省,2
广大,2
评价,2
建议,2
工业区,2
各地,2
建设项目,2
开户,2
异味,2
解答,2
觉得,2
规划,2
饮用水,2
反映,2
很大,2
这种,2
这项,2
合理,2
地下水,2
基本,2
集团,2
防洪设施,2
外来,2
外来工,2
防洪,2
金泓,2
大家,2
告示,2
完善,2
完工,2
宝安,2
含量,2
非法,2
宝安区,2
恳请,2
实施方案,2
实际,2
小时,2
就业,2
选取,2
沿河,2
愿意,2
患者,2
桂园,2
晚上,2
福田区,2
福田,2
有限公司,2
本来,2
劳务工,2
社区,2
村委,2
确定,2
村民,2
条例,2
看到,2
新村,2
看不到,2
百忙中,2
民心工程,2
水井,2
申报,2
用地,2
水費及,2
水龙头,2
