词语,计数
"
",91
平均工资,21
报名,20
教育,17
从业,15
考试,12
职工,11
专业,10
提供,10
产业,10
参加,10
证书,9
贵局,9
行业,9
职业,8
资格证,8
统计局,8
继续,7
增加值,7
年鉴,7
研究,7
投资,7
服务业,6
时间,6
资格考试,6
所有,6
年度,6
才能,5
技术,5
我要,5
增长率,5
了解,5
各区,5
指标,5
信息,5
nbsp,5
查询,5
现代,5
知道,5
领取,5
上年,5
统计师,5
发布,4
各类,4
职称,4
取得,4
课题,4
发展,4
同月,4
具体,4
公布,4
免考,4
各级,4
支柱产业,4
同比,4
固定资产,4
网站,4
增幅,4
网上,4
常住人口,4
统计数据,4
经济,4
得到,4
科目,4
成绩,4
月份,4
培训,4
麻烦,4
人口,4
户籍,3
费用,3
希望,3
计算,3
全市,3
人均,3
口径,3
社会,3
发放,3
直接,3
互联网,3
用到,3
出来,3
物流业,3
文化产业,3
历年,3
制造业,3
服务,3
工业,3
期待,3
传输,3
高新技术,3
退休金,3
地点,3
非常感谢,3
学院,3
选择,3
尊敬,3
金融机构,3
基础知识,2
存量,2
大专,2
教育经费,2
数目,2
文化,2
居住面积,2
文法,2
新能源,2
方式,2
无法,2
是不是,2
显示,2
普查,2
更新,2
有效,2
基本,2
学位证,2
政府,2
截止,2
市场主体,2
市民,2
尚未,2
业余,2
广东,2
广州,2
志愿,2
情况,2
本外币,2
尽快,2
不胜感激,2
找到,2
不用,2
拿到,2
学术研究,2
接到,2
接受,2
上班,2
人员,2
标准,2
本科,2
给予,2
一科,2
联系电话,2
能够,2
至今,2
茂名,2
获得,2
com,2
计算机,2
计算机服务,2
贷款,2
资本,2
资格,2
资格证书,2
软件业,2
邮箱,2
部分,2
重要,2
金融业,2
链接,2
问下,2
领域,2
领导,2
领证,2
统计员,2
第六次,2
本科学历,2
第三产业,2
材料,2
来自,2
构成,2
查找,2
上半年,2
在校学生,2
正在,2
比例,2
比较,2
毕业,2
毕业生,2
毕业证,2
没年,2
洪灾,2
烦请,2
电话,2
目前,2
相差,2
看到,2
研发,2
研究课题,2
私营企业,2
一门,2
地址,2
必须,2
初级,2
会计,2
员工,2
哪里找,2
信息技术,2
先进,2
供应,2
唐诗,2
四大,2
可否,2
公报,2
全国,2
余额,2
北京科技大学,2
体育,2
分别,2
作用,2
国民经济,2
亿元,2
今年,2
以上,2
人口普查,2
公共,1
社会保险,1
具备,1
硕士,1
具有,1
研究生,1
研究所,1
研究成果,1
一部分,1
社零,1
万人,1
典范,1
公交车,1
短信,1
万分,1
真的,1
真切,1
看前,1
统计学,1
福田区,1
公告,1
类型,1
管理,1
经济损失,1
管控,1
等级,1
经济特区,1
交费,1
第二号,1
第三次,1
经费,1
第三号,1
相当,1
公开,1
结合,1
科学,1
交流学习,1
结构,1
离职,1
兼职,1
用电量,1
内容,1
相对,1
涨幅,1
海洋,1
测算,1
流程,1
出租车,1
法人,1
油压机,1
沙井,1
汽车,1
水平,1
民间,1
分布,1
分析,1
分析师,1
划分,1
刚才,1
每年,1
每个,1
此项,1
深圳特区,1
出生率,1
热爱,1
生命,1
准备,1
准考证,1
电话号码,1
几天,1
电子设备,1
一家,1
几年,1
生物,1
生产总值,1
出现,1
生产,1
甚远,1
理工类,1
现状,1
现场,1
上传,1
现为,1
状况,1
一年,1
考区,1
统计法,1
退休,1
这种,1
这是,1
这方面,1
这事,1
还要,1
过后,1
软件,1
转型,1
身体健康,1
越来越,1
保有量,1
31859.15,1
49233.58,1
保障性,1
修改,1
贸易,1
借阅,1
A座,1
财政支出,1
这项,1
作废,1
一定,1
途径,1
高级,1
高等职业,1
仅限于,1
今天,1
27553.97,1
预算内,1
项目经理,1
错误,1
销售总额,1
销售,1
钢模,1
会计专业,1
但本,1
金融,1
重视,1
体育教师,1
邮件,1
通知,1
通信,1
财务状况,1
调查,1
调动,1
GDP,1
产值,1
自考,1
能否,1
全年,1
联系,1
href,1
mailto,1
一位,1
一刊,1
考生,1
考此,1
考取,1
创意,1
考么,1
一名,1
网查,1
网址,1
一季度,1
综合类,1
航空航天,1
若无该,1
英语,1
停产,1
说明,1
详细,1
证是,1
证明,1
证年,1
PS,1
设备,1
认可,1
健康,1
光盘版,1
先考,1
解答,1
觉得,1
要求,1
补贴,1
光强,1
获取,1
范围,1
正常,1
在售,1
次年,1
工资,1
年初,1
平均指标,1
东莞,1
中等,1
帮助,1
之用,1
同期,1
同样,1
左右,1
工商管理,1
同心,1
工作调动,1
工作人员,1
之情,1
属地,1
属于,1
居民,1
告诉,1
层次,1
咨询电话,1
年均,1
年考,1
导致,1
建筑业,1
得知,1
专任教师,1
很大,1
强制性,1
开展,1
开发,1
建议,1
建筑面积,1
建筑装修,1
建模,1
专科,1
延长,1
应届,1
广州大学,1
合格,1
广东省,1
合理,1
幼儿园,1
年龄,1
年间,1
小汽车,1
导师,1
各镇,1
培训中心,1
国内,1
外来工,1
处理,1
中级,1
中级职称,1
主要,1
填写,1
国外,1
国家统计局,1
之前,1
失效,1
培养,1
城镇,1
城市,1
城中村,1
均等化,1
地方,1
国际,1
地区,1
地位,1
大多数,1
女孩,1
家庭,1
学生,1
家乡,1
客运量,1
审计报告,1
审要,1
审核,1
审会,1
实务,1
完成,1
学者,1
回音,1
如初,1
学习,1
之后,1
存款,1
存在,1
娱乐业,1
委托,1
如需,1
如用,1
如现,1
22210.74,1
快报,1
模块,1
南山区,1
最新,1
最好,1
协议,1
单位名单,1
单科,1
南山,1
明显,1
上报,1
时要,1
方面,1
有个,1
占地面积,1
方向,1
原因,1
新兴产业,1
去年,1
县市,1
交易,1
数额,1
参加考试,1
上市公司,1
半年,1
反馈,1
李小姐,1
模具,1
在职,1
查阅,1
利润,1
制作,1
办公室,1
加总,1
条例,1
包含,1
机构,1
有误,1
包括,1
北京,1
本期,1
本市,1
未来,1
区别,1
望能,1
上岗证,1
升级,1
教育部门,1
上海,1
急用,1
不要,1
不知,1
手机,1
各地,1
所得,1
房地产,1
各是,1
户口,1
事情,1
战略性,1
我想,1
可回,1
我国,1
与非,1
意见,1
意义,1
愉快,1
想要,1
九大,1
恢复,1
总户数,1
二年级,1
投入,1
教职工,1
下发,1
效力,1
政策,1
亏了,1
收到,1
收入,1
支配,1
发至,1
操作,1
提出,1
提交,1
不是,1
接听,1
发证,1
二者,1
可免于,1
招生数,1
报表,1
报考,1
不再,1
投资额,1
下属,1
