词语,计数
"
",2389
户口,621
医疗保险,593
医保,545
养老保险,490
个人,485
缴纳,481
深户,466
社保局,456
保险,442
缴费,432
参保,416
员工,413
户籍,399
参加,392
报销,383
生育,380
社保卡,367
退休,342
费用,318
身份证,311
情况,302
医院,292
少儿,289
医疗,286
购买,285
年限,284
住院,249
内地,246
能否,242
享受,236
失业,233
公积金,232
转移,230
社会保险,229
今年,226
月份,224
综合,221
转入,218
证明,210
之前,206
补交,204
小孩,204
领取,200
人员,196
时间,192
查询,191
以前,189
提供,189
应该,184
是不是,182
知道,176
计算,174
上班,172
待遇,166
网上,160
政策,156
离职,154
退保,148
这种,147
养老,147
才能,146
要求,139
工资,136
关系,136
影响,135
目前,131
领导,131
号码,130
当时,129
以后,126
门诊,122
继续,121
广州,117
不是,114
迁入,113
至今,112
退休年龄,111
余额,109
期间,108
养老金,108
部分,108
一家,108
老家,108
缴交,108
每月,108
一年,106
处理,106
社会,105
交纳,105
具体,105
可否,102
原来,102
账户,102
调入,100
绑定,100
职工,98
入户,96
变更,95
医保卡,95
工伤,95
是非,95
基金,95
工作人员,92
准备,92
辞职,92
重新,91
离开,90
以上,90
有没有,90
原因,89
父母,89
材料,87
退休金,87
交了,87
基数,87
不知,85
本市,85
外地,84
只能,83
连续,82
广东省,82
两个,82
金额,82
就业,81
标准,81
正常,80
看病,80
银行,80
交费,79
社康,79
贵局,78
去年,78
信息,78
无法,77
帐户,75
基本,75
所在地,75
希望,74
几个,74
停交,73
工龄,72
看到,72
办法,72
身份,70
一定,70
中心,70
国家,70
必须,69
扣款,69
电脑,69
随迁,68
劳动,68
直接,68
电话,68
解答,67
盼复,67
劳务工,67
计划生育,66
东莞,66
合并,65
流程,65
属于,65
补缴,65
个人账户,65
累计,64
以下,64
文件,64
异地,64
身份证号,64
方式,64
母亲,63
一名,63
听说,61
支付,61
窗口,61
网站,60
详细,59
居民,59
我于,59
一次性,59
工厂,58
老人,58
几年,58
孩子,58
地方,58
尽快,58
妻子,57
原件,57
转回,57
每个,57
达到,57
治疗,55
比例,55
操作,55
北京,54
尊敬,54
更改,54
出生,53
当地,53
管理局,53
证件,53
给予,53
医疗卡,53
不到,52
包括,52
申报,52
通知,52
政府,52
两年,52
年度,51
不会,51
工人,51
干部,50
打工,50
怀孕,49
劳动合同,49
购房,49
麻烦,49
最近,49
成功,49
人民,49
之后,48
显示,48
进入,47
超过,47
后来,47
发现,47
机构,47
发放,47
符合,47
今天,47
一个月,46
清单,46
提交,46
拿到,46
分局,46
南山,46
父亲,46
上海,45
朋友,45
了解,45
香港,45
所有,45
湖南,45
得到,45
迁移,45
回执,44
可不可以,44
惠州,44
老公,44
超龄,43
程序,43
第二代,43
就医,43
打印,43
选择,43
找到,43
记录,42
调干,42
宝安,42
合同,42
个人帐户,42
广东,42
银行卡,41
老婆,41
内容,41
我要,41
回家,41
回老家,41
津贴,41
每年,41
里面,40
是从,40
服务,40
出台,40
自动,40
注册,40
方面,40
能够,40
扣费,39
大病,39
分娩,39
下来,39
转保,38
提取,38
还要,38
全部,38
公务员,38
平均工资,38
一次,38
出具,38
条例,38
接收,38
续交,38
可能,38
复印件,38
更换,37
转为,37
收到,37
地址,37
我该,37
福田,37
执行,37
范围,37
转过,37
子女,37
三个,36
