编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
7409,国有控股企业受让股权的有关规定咨询,深圳市人民政府国有资产监督管理委员会,2016.09.29,2016.10.12,"您好！我公司是持有型物业公司，主营不动产租赁，于1988年成立，2002年至今，股权分布为：母公司（国有）占70%，母公司工会占20%，公司部分员工持股占10%。母公司拥有控制权，视同全资子公司管理本公司。今年，根据公司章程及相关协议约定（2002年签订），部分持股员工的股权需要退回，员工退股价为“上年度经审计并进行利润分配后的每股净资产100%”，退回的股权由谁收购则约定不明确。目前，1、母公司未就该项事宜与持股员工达成转让协议或形成相关方案，2、有关职能部门要求我公司拟方案提交审批，并示意我们在方案上提出“回购的股权由母公司和母公司工会按持股比例收购”；3、母公司要求我公司做股权评估。由于退股分两批，相应地，我公司被要求聘请评估公司对2016.6.30以及2016.7.31两个资产负债表日分别做了评估。对此，我存有疑惑，亦试图查找相关的政策法规，仍无明确答案，故来此咨询。疑惑有：1、母公司有关职能部门关于“回购的股权由母公司和母公司工会按持股比例收购”的指示，并无相关协议为依据，工会也没有提出要购买股权，而如果母公司放弃部分股权，实质上会造成国有资产流失？本公司资产多为早年购置的房地产，账面价值远低于市场公允价值，净资产逐年增加。2、工会持股是早年存在的，但根据它的性质以及现行规定，现在能不能增持股份？3、性质不属于国有产权转让，是否也要做评估？按照法律，价格应该按照早年签订的协议约定方法计算，评估有没有必要？评估一次，费用不少，退一批股权得评估一次，这是国有资产流失吧？4、该如何处理我公司的股权转让？请给予相关解答和指正为盼！特此感谢！
		",你好，我委主要负责深圳市属国有企业监督管理工作。有关你的咨询问题，建议你向该企业上级主管单位反映，如该企业是市属国有企业可直接到我委咨询。感谢你对我委工作的关注和理解。,0.0
6778,由于深圳蛇口码头乱收费问题,深圳市人民政府国有资产监督管理委员会,2016.10.21,2016.11.03,"致尊敬深圳市政府，国资委，招商局：我司由2016年08月31日起进口到深圳蛇口的集装箱货物，提单单号为：HJSCALY601523200，HJSCALY601416300，HJSCALY601546700，HJSCALY601619100此4票货物共计120个集装箱。深圳蛇口码头官方网站没有出台任何公开信息强行要求提单收货人在提货前必须支付4650元/柜的码头操作费。我司当时就与蛇口码头相关部门交涉但蛇口码头坚持付清4650元/柜的特殊操作费才可以提柜，我司为了减少滞箱费和堆存费的损失（这两项费用都是按天收费的），我司在逼迫无奈的情况下先预支付了此项费用。我司希望国资委和招商局落实子公司这种恶劣的乱收费的事实，帮助我司退还支付的全部费用。 我司在全国口岸都是进口货物，从天津港，青岛港，上海港，厦门港，广州港均没有收取所谓的“特殊码头操作费”。此事件是由于韩进船公司申请破产保护的情况下，蛇口码头在货主的抗议声中强行逼迫货主必须付清此项费用才可以拿到货物。本身韩进船公司破产保护后货主已经受到的巨大的损失，蛇口码头不顾企业生死，有违正常的收费标准，强加给货主承担巨额的“特殊码头操作费”是严重的乱收费行为。而且深圳蛇口码头打着招商局香港总部的旗号大张旗鼓的收取我司巨额的特殊费用。望招商局落实下属子公司这种严重的乱收费现象，给我司讨回公道，退还我司全部的“特殊费用”。为防止此件事件再此发生，希望国资委加强对管辖内企业的管理。完善对央企及下属子公司的监督制度。为我国的改革开发市场经济清除这些存在的害群之马，助我国的市场经济再创辉煌。 
		","你好！经了解，深圳蛇口码头隶属招商局集团下属企业。我委主要负责深圳市属国有企业国有资产的监督与管理工作，招商局集团不属深圳市属企业，不属我委监管范围。关于你反映的问题，建议向市场物价管理部门或循法律途径解决。感谢你对我委工作的关注和理解！
",0.0
23173,国资产权管理,深圳市人民政府国有资产监督管理委员会,2014.10.24,2014.10.31,"本所律师目前为深圳当地一家公司在新三板挂牌提供服务。目前公司股东中，“深圳市高新投创业投资有限公司”（简称“高新投”）为公司参股股东。现有如下几个问题，向贵委咨询： 1、高新投直接股东为“深圳市高新投集团有限公司”（简称“高新投集团”），高新投集团股东除贵委直接设立的两家全资公司外，另有两家单位为“深圳市中小企业服务中心”与“深圳市财政金融服务中心”。咨询：（1）两家单位履行国资管理职能的单位是否也为贵委；（2）关于拟挂牌公司后续的备案、审批等，是否仅报贵委即可，即是否还需报送其他单位。 2、2011年公司经全体股东同意，进行增资，结果导致国有股权比例降低。后续，公司拟整体变更为股份公司，并申请在新三板挂牌，按国资管理规定应向贵委报送评估报告与国有股权管理方案申请。咨询：（1）若2011年增资时未履行国有资产评估与备案手续，现欲对上述瑕疵进行补救，办理流程与手续是什么；（2）上述（1）中手续是否可在股改方案报批时一并申请？（3）股改除评估报告与管理方案外，其他需一并报送的文件要求。（4）目前股改报批的法律依据除财管字[2000]200号外，国资企发[1994]81号《股份有限公司国有股权管理暂行办法》在国资委内部是否仍然有效？（5）国资发产权[2007]108号，关于上市公司国有股东标识的规定，对于新三板企业是否适用？ 3、贵委是否有对外公开的咨询电话（除83883888外）
		","您所提问答复如下：1、所咨询业务为市属国有控股企业高新投公司所投资企业在新三板挂牌涉及的国有股权管理事宜，按规定应由高新投公司逐级向我委申报办理批复。咨询人表示已联系上高新投公司，相关报批工作已在积极开展。2、对于咨询人反映的我委是否有其他对外公开的咨询电话问题。目前，我委互联网站的首页的“联系方式”栏目中已公开我委办公室、信访、纪检监察的联系电话，同时在“国资概况－机构职能－内设机构”栏目中还公开了各业务处室的办公电话、传真电话、电子邮箱地址及联系人等信息，具体业务可以与相关处室进行联系。感谢并欢迎咨询人继续对我委工作给予支持！咨询人对我委的电话回应表示满意。
		
		",0.0
5253,深圳人才网人才引进一直预约不上,深圳市人民政府国有资产监督管理委员会,2016.11.23,2016.12.13,"本人连续快一个月，每天尝试预约深圳市人才交流服务中心网上预约系统，预约成功后才发现西岸分部没有集体户可挂靠，又得重新预约，现场取号也已取消，唯有网上预约，为什么不能现场取号排队也可以？现在搞成了网上预约，结果根本预约不上，一到下午6点放号，网站根本就打不开要不就报错。网上还有黄牛抢号。如果通过系统限制不了黄牛还不让不要线上预约。预约了20多天就预约不上，还不如现场排队取号。长期这样下去，什么时候才办理？
		","你好，有关你的投诉，我委已转人才服务中心办理，并要求做好服务工作，提升服务质量。感谢你对我委工作的理解和支持。
		
		",7.105427357601002e-15
25767,五一加班费怎么算？,深圳市人民政府国有资产监督管理委员会,2013.05.02,2013.06.08,"国家规定法定假日没有明文规定放假的人员，放假期间上班的应给于三倍的加班费，地铁集团轮班人员是规定法定假日没有明文规定放假的人员，五一放假七天期间也是上班，但是刚好在五一那天是轮休时间，结果一分钱加班费也没有，太打击放假期间的上班积极性了，我是铁路系统过来人员，铁路遇到这种情况却按国家规定给于三倍的加班费，怎么同是国企却有不同的规定？另外国务院办公厅关于2013年部分节假日安排的通知国办发明电〔2012〕33号文规定劳动节：4月29日至5月1日放假调休，共3天。4月27日（星期六）、4月28日（星期日）上班。地铁集团却连放7天，合乎规定吗？
","一是地铁集团运营分公司因生产特点需要，轮班制人员采用综合计算工时工作制，根据国家相关法律规定，综合工时制以周、月、季、年等为周期综合计算工作时间，但其周期内平均工作时间应与法定标准工作时间（年度应上班总工时=8小时/工作日×全年250工作日=2000小时）基本相同。 二是地铁集团综合工时以季度为周期，轮班制人员季度内应上班总工时500小时（不含法定节假日），超出部分在周期内安排调休。如果员工根据排班表在法定节假日安排上班的，则按国家规定发放3倍加班工资；如果根据排班表在法定节假日安排休息的，则不计发加班工资。
",9.85878045867139e-14
25950,国有产权变动职工安置方案的审批程序,深圳市人民政府国有资产监督管理委员会,2013.01.14,2013.01.30,"??? 根据《深圳市属企业国有产权变动监管规定》，国有产权转让申报资料包括： ??? （1）产权转让申请报告； 　　（2）企业国有产权转让方案； 　　（3）产权单位对企业国有产权转让的有关决议文件； 　　（4）产权归属的证明文件（包括工商登记资料、出资证明书以及股东名册等）； 　　（5）标的企业最近年度财务审计报告、近期会计报告； 　　（6）市国资委派出的财务总监的审核意见； 　　（7）涉及标的企业控股权发生变动的，应当提交律师事务所出具的法律意见书； 　　（8）产权转让导致国有产权单位不再拥有控股地位的，应当附送职工代表大会审议通过并经批准的职工安置方案及其决议和批准文件等； 　　（9）批准机构要求的其他文件。 ??? 请问第8项：职工代表大会审议通过并经批准的职工安置方案及其决议和批准文件等中的批准文件是指什么？按照《企业国有产权转让管理暂行办法》第29条是指劳动保障部门的审核，深圳这边是否也适用？若适用，应由劳动保障部门的哪个部门审核呢？
","根据国家和深圳市的相关规定，国有产权转让过程中应当遵守国家法律、行政法规和政策的规定，保护国家和其他各方的合法权益。对于产权转让导致国有产权单位不再拥有控股地位的，审批资料要求必须包含职工代表大会审议通过并经批准的职工安置方案及其决议和批准文件，这是我委落实和保障职工合法权益的重要措施。在实际操作中，职工安置方案应当就所涉及到的职工利益的有关劳动关系、拖欠债务、社会保险接续等重大事项提出处置措施，方案经职代会审议通过后，由产权单位逐级审核审批后实施，安置方案的关键内容应在产权转让合同中明确体现，相关工作接受劳动、人事等有关部门的指导监督，确保有效落实。
",2.972422308289424e-11
19415,投诉公交242路车,深圳市人民政府国有资产监督管理委员会,2015.06.10,2015.06.25,"怎么回事？！昨天又是让坐242市民苦苦等待，最后在慢慢启动，这是上梅林首站啊，每次投诉却每次没解决问题有什么用？！打电话回复我只是流于形式，根本没解决问题，回复人甚至告诉我，242又被调走了3台，搞不清越投诉越好还是越投诉越差，现在习总书记和马兴瑞书记提倡“马上就办”为民口号，希望你们真正落到实处，好不好？！敷衍了事总有一天你们要遭报应和后悔的的，老百姓也会对你们失去信心的，“失信于民和忽悠老百姓的事最好不要做啊”，以上属实，昨天早上7：45到8:15早高峰的事情，我有拍照取证和证人，请贵委予以查实。谢谢！
		","吴先生： 您好，接到您的投诉后，我们立即转给巴士集团，并由该集团核实情况后与您联系。据了解，巴士集团工作人员已分别于6月16日和6月18日给您致电，对您的投诉情况进行了回复。感谢您对市属国企工作的支持。我们将督促巴士集团采取相应的管理措施，加强车辆营运管理，确保为市民提供安全、舒适和快捷的服务。谢谢！
		
		",1.3234040530107904e-09
18251,国资委旗下企业财务人员工资10年一分未涨是否合理,深圳市人民政府国有资产监督管理委员会,2015.08.11,2015.08.12,"深圳高尔夫球会9月30日到期，涉及到经济补偿金的问题，现我财务人员提到2002年-2011年期间10年中员工工资每月税前4500元，这10年深圳市物价逐年上涨，但我公司财务人员工资一分未涨（其他员工有根据深圳市普调工资的通告相应普调），现咨询国资委，这对我们财务人员是否公平合理，在诉求经济补偿金时提及补偿这10年的物价上涨的工资差额是否合理。
		","您好，有关劳动用工经济补偿问题建议您向市人力资源与社会保障局咨询，谢谢。
		
		",4.459276281565394e-09
21101,宝安区财政局委托第三批公车拍卖 3个月过不了户,深圳市人民政府国有资产监督管理委员会,2015.03.26,2015.03.27,"我于2014年12月22日参加宝安区第三批公务用车拍卖，中标34号车，并付清全款22万多元，至今不能过户。请领导过问一下。打27788461宝安财政局电话无人接听。拍卖行说也不知道何时能过户。作为委托方的宝安国资委该不该承担相应的责任？车辆过不了户为何拿出来拍卖？浪费百姓时间金钱，拖延至今其他人早已过户我过不了户？政府公车拍来都过不了户，政府公信力何在？
		","您好，您投诉的事项不属于我委职能范围，建议您向宝安区政府投诉，谢谢。
		
		",1.7611680891427284e-08
19316,入深户两年后必须迁出人才中心，否则户口冻结（只能将户口迁走，其他与户口有关的事项全办不了）,深圳市人民政府国有资产监督管理委员会,2015.06.08,2015.06.30,"从去年高新区分部办理入深户，困难重重，直到6月8号，刚到办理尾声，准备在派出所入户，现在又要签协议，内容大至为“两年后必须迁出人才中心，否则户口冻结（只能将户口迁走，其他与户口有关的事项全办不了）”，第一：有这个规定吗？第二：如果有这规定，也针对正在办理的人员吗？第三：两年后什么都办不了，那迁个深户有什么用，是要么买房子，要么迁出，二选一吗，在中国办点什么事不要户口本啊？
		","您好，收到咨询投诉后，我委立即向市人才交流服务中心了解有关情况。据反馈，您提及的入深户两年后必须迁出人才中心，否则户口冻结的问题主要是由于误会所致。人才交流中心工作人员已将入户业务具体情况向您作了解释并取得您的理解，对此感谢您对我们工作的支持。下一步，我委将督促人才交流中心在工作中进一步提高沟通和服务意识，最后再次感谢您对我委工作的信任。
		
		",1.936773219579635e-08
