编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
29334,是否能够答复一个合理的答复,深圳市城市管理局,2009.01.21,2009.02.04,"你好！ ???我想咨询一下，你们城管的权利到底有多大！? 我在08年12月底开了一家小餐厅，经营面积90多平方米。秉着一切尊照法律办事的原则，申请工商营业执照，卫生证和环保证。申请工商部门被告知，要先办理环保和卫生，我就按照你们政府部门的指令，按章办事。先办理环保证明才能够办理卫生证明，但是环保又要对我们餐厅的油烟测试，卫生局又要看我们营业时是否真正的做到他们所规定的卫生条件，那我们只有抓紧装修好，然后试营业，他们才能测试，才能检查我们卫生条件。我这个创业族以为你们政府本着以人为本的，依法办事的态度做事呢，等到你们政府部门按部就班的工作时间20个工作日，还不算节假日休息的时间，我才刚刚拿到环保批文***** ?就在这个时候你们街道办的工作人员和你们的城管人员就上门了，直接奔向收银台，要求餐馆的收银人员直接交出当天的营业所得金额，和所有的单据~ ? 然后被告知，我们属于无证经营，他们是依法办事对我的所得给与没收，然后在罚款~然后就是出示暂扣单据，和违法经营告知书，告诉我们拿着证件在一个工作日内，去他们的办公室将暂扣的营业金额拿回，试问，你们政府哪个部门可以在一个工作日内将我的全部证件批放给我，我们只能拿着环保批文去跟他们讲现在的证件正在办理，我们只能够试营业，才能够办理这些证件，我们也不想向你们所说的无证经营，但是你们政府部门的工作效率和工作方式只能够让我们这样做。 ?可你们的城管人员只是拿出一个行政执法的黄色小本子，指着上面的条例说，我们要依法办事，对你的店进行行政处罚，本来还要封你的店的，暂扣的营业金额属于违法所得，要全部没收，另外在缴纳3千元的罚款****** ??说道这里，相信你们看这封邮件的工作人员已经明白了，试问政府所定的法律是否都要满足你们的执法条例？那这中间的冲突环节又要去找哪个部门去处理呢？你们可以给我一个合理的解释吗？ ?1、你们城管工作人员的权利和街道办工作人员的权利到底有多大？ 2、物权法中有一条是“没收违法所得、非法财务”，我现在的餐馆是否是违法的，所得到的财务是否是非法的，我自己都已经不知道了，你们够否给我一个合理的解释，违法和非法的概念是什么？ 3、我现在是不是要将我的餐馆停止营业，然后等到你们政府部门来审查办证的时候，我在开张营业，等你们检查后我在停止营业，直到你们将所有证件发放时，我在开张营业呢？ 你们的为民服务就是这种不考虑你们政府部门的规章制度冲突吗，然后就将所有的责任全部由我们来承担，对吗？ ? ? ?
","无地址,未转办.请转相关业务处室.
",0.0
3950,继，继续投诉新洲二街垃圾站,深圳市城市管理局,2017.02.15,2017.02.15,"之前已投诉新洲二街垃圾站，已有回复（深城管2017年第63756号案件），但是问题依然没有解决。垃圾站压缩设备工作时发出的噪音严重困到到周围居民的生存问题。回复中说有现场核实，请问有早上5点多来过现场核实？现场听过这种噪音吗？如果能上传视频，我可以拍摄给你们投诉。本人将继续投诉以下几个问题： 1、找了相关部门的人开会，建议撤销垃圾站，责任人承诺先缩短工作时间，但并未信守承诺。新洲二街垃圾站为新洲股份有限公司和绿清物业公司责任单位。2月13日下午绿清公司老总与新洲股份有限公司简总同锦州花园管理处、业主代表在垃圾站开会，会上业住代表们表达了要求立即撤销此垃圾站，他们表示需要时间撤销，也知道此垃圾站是违建的，最后决定将垃圾站工作时间改为早上9点至11点，其他时间不工作。但是14号是早上8点开始工作一直持续到下午5点；15号是早上5点多开始到现在，不知几点能停止工作。长期缩短时间也是不显示问题，每天的生活垃圾这么多，缩短时间是无法完成垃圾转运的。只有撤销此垃圾站，迁往人少的地方才是根本解决问题的办法。垃圾车可以运送到合适地方转运。 2、该垃圾站属于违建。根据有关标准和规定，该类垃圾转运站与相邻建筑间要求为不小于50米。但实际该垃圾站与本人所在锦州花园小区只隔着一条单行道马路的距离，目测都小于15米。垃圾站就建在嘉州富苑楼下，周围还有很多小区，距离都不小于50米，难道不是属于违建？且垃圾站是正对锦州花园小区，噪音难以掩饰。且此垃圾站以前建在朗晴新洲附近，后来经朗晴新洲业住齐心赶走，这次投诉我们也齐心希望将垃圾站赶走。 3、噪音严重影响到我们的生存问题。家里有睡眠不好的老人，邻居有身体不好做了心脏支架手术的，还有尚在襁褓的婴儿，还有准备备孕的年轻人。如果长期这么下去，睡眠不好的人出了精神问题，身体虚弱的因为承受不了这个噪音问题而离世，婴幼儿长期处在噪音和环境极差的环境中生病、性格暴躁，备孕的年轻人因这个噪音无法有好的心情而不能受孕，或者受孕了也得不到休息而流产，种种这些，谁负责管理？一旦出现精神失常的人，做出意想不到的事，谁又能追究他的责任？现在是已经危及我们的生存问题，而不是生活问题了。我们是遵纪守法的公民，按章投诉，希望政府部门面对投诉也有所反应，有所作为。 4、垃圾工作人员的安全问题。业主代表们也与垃圾工作人员沟通过，工作人员也表示垃圾站不应该建在此，因为垃圾站建立在单行道边上，且单行道上一半画格为零时停放车辆，一半只能一辆车通过，且距垃圾站小于20米的范围内就有4个车辆进出口，工作人员每天在这样的工作环境来来往往，发生车碰事故时难以避免，显而易见的。难道真的要发生了人命才能有人来管理吗？ 5、夏天马上来临，环境卫生问题更加凸显。夏天垃圾站会发出恶臭，附近因为垃圾站的存在而蚊虫、老鼠多。也给小区管理处加大了工作量。居民都不敢开门窗，每天处于一个封闭的空面的生活，也会身心不健康。还有每天小孩都要经过此垃圾站去上学上幼儿园，大人要经过上班，老人要经过此接送小孩，买菜。这恶劣的环境严重困到我们的工作，生活。只有撤销垃圾站，周围居民才能恢复往日的平静生活。 希望政府部门领导尽快给我们一个圆满的解决方案，立即撤销新洲二街垃圾站，还我们正常的生活！
		","您好,福田区环卫科回复：我局立即组织垃圾站管理人员、垃圾站运营单位、垃圾收集单位、垃圾站归属区股份公司、投诉方小区代表多方进行现场协调,垃圾站工作时间按照要求调整到上午8点30分至12点，下午1点至3点30分，该垃圾站经市规土委批准，有合法的用地及报建手续。运营管理良好，卫生达标，不可搬离及拆除。我局将对生活垃圾清运站加强管理，对上述问题继续进行跟踪落实。共同遵守确保周边居民一个良好环境。如需咨询情况请拨打12319。谢谢您的支持！
		
		",0.0
5457,街道环卫工人态度恶劣且不打扫卫生,深圳市城市管理局,2016.12.08,2016.12.08,"地点：沙井寮盛路28号门口公共区域经过：此处卫生，门口公共区域我们每天8点前会清扫，马路公共区环卫工人要求我们自己清扫，且认为旁边垃圾筒内垃圾过多，是我们造成的，要求我们不要清倒垃圾，并与我们办公区清洁阿姨吵架，要求清洁阿姨清扫门口公共区域，态度恶劣。且最近几天，其都没有清扫相关区域。疑问：28号门口公共区域清扫责任是否属于环卫工人责任？马路公共区肯定是其责任范围内。解决：1、环卫工厂态度问题，责任问题 2、希望环卫工作在此区域加强监管 3、希望尽快解决问题
		","您好,沙井市政服务中心回复：我部门街道投诉后已安排环卫公司负责人到现场进行调解，并与投诉人协商达成一致，公共区域为我市政环卫公司清扫，并一直有专人清扫，垃圾桶归我市政环卫工人倒垃圾所用，投诉人垃圾倒内部垃圾桶，双方也各自教育好自己员工，并保证今后双方友好合作，类似事情不再发生。如需咨询情况请拨打12319。谢谢您的支持！
		
		",6.661338147750939e-16
18221,福田区南园路埔尾村47号保护伞烧烤档,深圳市城市管理局,2015.07.28,2015.08.13,"福田区南园路埔尾村47号乱摆卖烧烤,本人已经在这一年多次投诉南园街道办,现在这个烧烤档不是零晨12点出来经营,也是改了凌晨1点出来,现在每晚由零晨1点营业到4点,噪声,油烟严重影响广大市民休息,本人不知道是什么情况,为什么这样的现象街道一直都不能处理?还有经过多次投诉,现在变了凌晨1点出来营业,这个现象是不是执法部门跟他们谈好,要求凌晨1点之前不要出来,难道1点出来就不影响市民休息吗?是不是街道内部有人通知他们?是有利益存在吗?这是保护伞现象吗?难到街道执法就不能将这样的乱摆卖现象整治?我们广大市民是有纳税的,你们政府部门应该帮我们市民解决问题的.
		","南园街道执法队回复：我队接到投诉后，非常重视，对此地段进行了清理整治，并安排了队员在此守点。我队将进一步加强此处的巡查力度，安排人员守点等方式确保良好的市容环境。
如需咨询情况请拨打12319。谢谢您的支持。
",5.773159728050814e-15
33647,出租屋室内非建,深圳市城市管理局,2007.01.21,2007.01.25,"各位领导：我的邻居房东（下步庙南区70-1-602）将建筑面积70平方米，包括两个大阳台后合计96平方米的两房两厅的房子分隔成8个小房间再对外招租。具体是在一个大的阳台上建了个洗手间，厨房改作住房，将客厅间隔成两个房，将饭厅间隔成三个连窗户也没有而只靠房顶一点通风口通风的三个小房间，一套房子就只留下中间一条窄窄的通道。这样一举就住进了十几二十个人。我们的房子都是1989年完工的，房子的质量本来就不怎么样，他这样做对我们的房子质量肯定有影响。请问：1.将商品房出租作为集体宿舍，算不算是改变房屋用途？2.将原来结构两室两厅用水泥砖头分隔成8个房间对外出租，算不算改变房屋结构？3.城中村有专门的出租屋管理处，商品房出租的管理者还是小区管理处吗？如果他们不作为，应该由谁来监督他们呢？
		","各个街道办都有房屋租赁所，向他们反映这个问题相信可以给您满意的答复。谢谢。
		
		",3.8413716652030416e-14
28571,这条路究竟有没有人管,深圳市城市管理局,2009.05.14,2009.05.14,"平湖镇红朱岭建新路新和一巷靠近伟成厂的一条上山路，去年年末有一批人在路上铺碎石，当时以为那里将要铺水泥路，但后来就一直没有消息了。 ? 后来只要不下雨，就会有洒水车过来洒水。自从今年过完农历新年之后，就没车过来了！现在不下雨，这条路过往的车都拉起一阵阵灰尘，上班的人都不得不掩面路过！！ ? 请问这条路到底有没有人管的！？如果有，请尽快处理好这条“烂尾路”；如果没有，也请相关部门处理好！！最起码也要洒水车过来洒一下水吧！ ? 注：如果此投诉不是应该发到贵部门的，请帮忙转发！！ ?
","您好,您所反映的问题地址不详,请提供详细，建议您直接拨打城管热线12319转6进行投诉。谢谢
",2.5779378631796135e-13
28972,关于对小区物业管理公司的投诉,深圳市城市管理局,2009.03.30,2009.03.31,"您好！ ??? 我是深圳市盐田区和亨中心广场C座2206的业主，我这次想投诉的是关于小区物业管理公司的问题，我也不知道关于这个问题是否是您这个部门所管辖的范围，如是，还请您们尽快帮我们落实，如不是，烦请您告诉我应该找哪个部门，谢谢！ ??? 投诉1：我们小区2007年3月份入的伙，但到现在为止还没有成立业主委员会，我们很多业主多次要求管理处交出所以业主联系方式，但管理处不给，也不愿招集所有业主开业主大会及商讨成立业主委员会一事。没有业委会，管理处想怎么样都可以，小区卫生差，管理差，什么人都可以进出我们小区，我们业主有个什么事找管理处，他们要么就是要收钱，要么就是托着不帮我们处理，您说我们每个月交这么多管理费就白交了吗？难道我们业主就是这么被动，任他们牵着鼻子走，他们要钱我们就给钱，我们要他们处理问题，他们想怎么处理就怎么处理吗？ ??? 投诉2：我们买房的时候写得清清楚带空中花园，但到现在为止空中花园还没有好，3楼的空中花园到现在还不可以使用，您说我们业主应该怎么办？ ? ??? 还请您们尽快帮我们落实处理，谢谢！
","您好,对于投诉1的问题,建议您向居委会或者街道办询问.对于投诉2的问题,建议您向相关法律部门询问,或者走法律途径.谢谢您的来信.
",3.7903014060702844e-13
25139,龙华新区东环一路狮头岭村委对面晚上很多地摊,深圳市城市管理局,2013.11.19,2013.11.22,"龙华新区东环一路狮头岭村委大楼对面，港之都休闲中心、金燕家私门口人行道上，每天晚上都要很多摆地摊的。我们和邻居们投诉过很多次，案件号分别是833641（2013年11月13人投诉），836159（2013年11月14日）；847978（2013年11月16日）；801418（2013年11月2日）；799863（2013年11月1日）；763579（2013年10月20日）；734894（2013年10月10日）。以上案件要么就是到了龙华街道派遣员不处理，要么就是龙华街道综合执法队不处理，反正就是没有了下文，也打过12345投诉执法不力，可是地摊还是每天照摆不误，好像跟没投诉过一模一样。我想咨询一下，此处晚上是不是允许摆地摊的？还是没有管好？
		","您好！关于您反映东环一路狮头岭村委对面东环一路港之都休闲中心门口人行道乱摆卖猖狂，严重影响居民正常生活的问题，龙华新区城市管理局回复：11月22日，龙华执法队调派2名公务员、5名协管员前往投诉现场进行处理。根据调查、核实情况，确实存在上述违法行为。执法队已向乱摆卖当事人进行了批评教育和法律宣传，责令其立即停止此违法行为。下一步，执法队加强巡查力度，巩固整治成效，严厉查处城市“六乱”。 ??? 今后，我局将督促龙华执法队加大该区域的路面巡查整治力度，确保市容环境干净、整洁。
",8.040235144335384e-13
33453,关于罗湖笋岗村的垃圾处理费,深圳市城市管理局,2007.02.13,2007.04.10,"您好. 我住在罗湖笋岗村农民房内,深圳市公布二月份起征垃圾处理费.我记得煤体有公布特区内收费是13.5元,但我去交租给房东时,房东说收23.5元,其中另外收取10元,说是笋岗街道办要求收的垃圾清理费.请问这是否属于乱收费现象?遇到这种情况,现在我该怎么办?
		","您好，请您先咨询有关部门征费的依据。如果您对相关征费可以跟有关物价管理部门反映。感谢您支持我们的工作。
		
		",5.642597500354896e-12
33735,有关垃圾处理费,深圳市城市管理局,2006.12.21,2006.12.26,"垃圾处理费是否定于2007年1月1日起执行.有没有任何文件通知的情况下,镇城管及村委突然来商铺要求收取06年的卫生处理费是否合理,那实际文件规定是怎样的,不是应该在年初就发布的规定统一收取吗?而且店铺前面一直是我们自己在清除,那我们是不是也应该向有关部门收取卫生处理费呢?镇城管部门是否有权力核定收取任何费用?
		","垃圾处理费和卫生费不是一个概念。至于当地管理部门收取卫生费您可要求其出示相关文件和标准，如有其他疑问可以致电12319。谢谢。
		
		",1.138729111005432e-10
