编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
21493,身份证上的地址跟户口本的地址不同，但是姓名、性别、出生日期、身份证件号都是一致的，可以申请结婚登记吗？,深圳市民政局,2015.02.17,2015.02.28,"本人身份证上的地址是深圳的地址，由于户口目前在沈阳，因此，两个证件的地址是不同的，但是姓名、性别、出生日期、身份证件号都是一致的。 2月17日去民政局婚姻登记处登记结婚（男方的户口在深圳），由于身份证跟户口本的地址不同，民政局不同意我领证结婚。同时，我查了其他地方的结婚的要求，均是：双方户口簿和身份证上的姓名、性别、出生日期、身份证件号应当一致；不一致的，应当先到公安部门更正；证件丢失或超过有效期的，应当到公安部门补办证件。 都是不对地址一致做要求的。 请问深圳就这个问题是如何解释的？是不是对身份证与户口本上地址的一致性做强制要求？
		","您好，您来信咨询的问题，根据《信访条例》相关规定，已经转由福利处研处，请您耐心等待回复，咨询电话：25832730
		
		",0.0
28580,男方户口本上，身份证号没打印上,深圳市民政局,2009.05.13,2009.05.13,"您好！ 我想咨询下：1，今天拿到我朋友的户口本时，看一下才发现他的身份证号没打印上（同一户口本上其他人的身份证号都有打印在固定栏内的），不知到时办结婚登记时是否会有影响呢？要回老家派出所补打印吗？二代身份证已办好，有号码的。 ?????????? 2， 我去年入深户，当时派出所打印户口本和办身份证时将地址“滨河大道”写成“滨海大道”了。一个月后拿身份证时才发现，也让派出所的当场在电脑那修改了。但户口本和身份证没改，还是写“滨海大道”的。不知这样是否会有影响？要不要重新办身份证及将户口本的地址也改正过来？ ?请回复。谢谢
","你好，1、户口本上的姓名、身份证号、出生年月日一定要准确真实，如果没有身份证号，是不可以进行登记的，请到户口所在地的派出所修改后再进行登记。2、地址一栏是没影响的。
",0.0
32564,深圳的身份证在办理中，此期间可否办理婚姻登记？,深圳市民政局,2007.11.30,2007.12.04,"您好！ 有以下事情向您咨询，恳请回复，不甚感激！ 我是今年11月办的深圳户口，深圳的身份证正在办理中要过2个月才能拿到而现在派出所不给予办理临时身份证，户口已经迁过来了，但现在手中持有的身份证是以前户口所在地的身份证。这样就出现了户口本上的住址和现在手中的身份怔住址不一致的情况，其他姓名，出身年月，身份证号码都是一致的。请问，象我这样的情况可以在深圳办理婚姻登记吗如果可以办理，需不需要户口所在地派出所出具身份证正在办理的证明？
		","旧身份证如没过期，可以用旧的身份证办理结婚登记手续。
		
		",0.0
26395,未婚证办理,深圳市民政局,2012.02.17,2012.02.17,"需要紧急办理未婚证明。我是龙岗葵涌户籍，由于不小心将身份证遗失，现在身份证还没办好，咨询南山西丽派出所答复是不能补办临时身份证。但我现在还有一张2007年在厦门办的二代身份证，15日拿着这张身份证和户籍卡去龙岗婚姻登记处，答复是不能开具。现在身份证要下个月才能办好，临时身份证又不能办理，我该怎样在最快的时间内开好未婚证明。
","??? 已电话答复信访人，深圳市居民申请出具《无婚姻登记记录证明》需要户口本、身份证（原件及复印件），申请材料缺失无法申请办理。龙岗区民政局婚姻登记处电话：13651429392。
",2.220446049250313e-16
32480,关于结婚必备材料,深圳市民政局,2007.12.10,2007.12.11,"网上说：办理结婚登记的内地居民应当出具下列证件和证明材料： 1、本人的户口簿、身份证（原件及A4规格复印件。身份证与户口簿上的姓名、性别、出生日期、身份证件号必须相符；不相符的，当事人应先到有关部门予于更正。）；2、本人无配偶以及与对方当事人没有直系血亲和三代以内旁系血亲关系的签字声明（声明书在婚姻登记机关领取，也可在网上下载。）；3、三张2寸双方近期免冠半身彩色合影照片。请问：户口本一定要吗？我和女友都是集体户口，借户口头的手续相当麻烦，能否只用身份证？谢谢！
		","你好，结婚登记一定要带双方的户口本和身份证的，如果是集体户口，户口卡上盖有户口专用章的，只需带户口卡；如果没有盖户口专用章的，需带户口卡首页的复印件．
		
		",2.220446049250313e-16
8715,关于社会组织评估等级问题咨询,深圳市民政局,2016.08.23,2016.08.29,"您好, 关于社会组织评估等级问题咨询，在文件中有看到：“已获得评估等级4A级的社会组织，申报5A级评估，实行随报随评机制。在评估有效期内，可根据自身建设进展情况，随时向评估机构申请等级评估，经审核符合参评条件后，启动正常评估程序，最终确定评估等级。”请问如果获得的评估等级是1A-3A，是否要等到评估等级有效期满前两年，可以申请重新评估还是一样实行随报随评机制？感谢！
		","您好，您来信咨询的问题，根据《信访条例》相关规定，已经转由社管局研处，请您耐心等待回复，咨询电话：25832743
		
		",2.220446049250313e-16
32195,关于婚姻登记,深圳市民政局,2007.12.29,2008.01.02,"深圳市民政局:你们好，我是一名刚办理完成招工入户的人员，已正式入户深圳，但因办理身份证需要35个工作日，所以我还没有拿到正式的深圳身份证，我因急着办理结婚，不知我没有正式的身份证，能不能办理结婚证！！（已拿到常住人口登记卡，及居民身份证领取凭证）盼回复！！！
		","你好，不可以凭回执办理。可用旧的身份证办理，如果旧的身份证上除地址以外别的信息和新的身份证一样，而且没有过期，就可以用旧的身份证办理。
		
		",2.220446049250313e-14
26385,深圳异地商会登记暂行办法疑问,深圳市民政局,2012.02.18,2012.02.21,"??? 《深圳市社会团体登记管理条例》第七条? 异地商会根据章程设立分支（代表）机构的，应当向登记管理机关申请注册登记。异地商会不得设立地域性分支机构。 ???我的咨询内容是： ? ???? ??? 1、根据本条规定，异地商会是可以设立分支机构的，请问：分支机构指的是什么？如《深圳市抚州商会》可以设立广昌分会即《深圳市抚州商会广昌分会》吗？ ??? 2、第七条又规定：异地商会不得设立地域性分支机构。请问：什么是地域性分支机构？如设立《深圳市抚州商会广昌分会》，广昌分会算不算地域性分支机构？ ??? 3、如果广昌分会算地域性分支机构，不准成立，但第七条第一款又规定异地商会可以设立分支机构，这不是前后矛盾吗？ ??? 以上烦请解释。 ??? 谢谢！ ???
","??? 已电话与当事人沟通，建议其直接咨询民间组织管理局。咨询电话：25832734，25832735。
",5.433431482515516e-13
32658,"刚调户口入深圳未拿到身份证(正办理中),可以办结婚证吗?",深圳市民政局,2007.11.19,2007.11.20,"您好!我是外地户口,上月底刚办好招工调户工业(户口入福田公司集体户口中),身体证要两个月后才可拿到.看到网上说明办结婚证需要 ""身份证、户口本（原件、复印件）""而我现在没有身份证及户口本(户口本也只是一页),请问我可以现在办理吗?还是一定要等到身份证出来后才可去办结婚登记? 如现在办理需带什么资料(身份证申请办理回执及这个只有一页的户口本+三张二寸合照就可以吗?) 谢谢!
		","您好，不可以拿身份证办理回执代替身份证进行结婚登记的。如果您的旧身份证没有过期，姓名和身份证号码跟新的身份证一样，可以用旧的身份证进行登记，或到公安部门办理一张临时身份证再办理结婚登记。
		
		",7.045475314271243e-13
33417,身份证号码和结婚证上的号码不一致,深圳市民政局,2007.04.18,2007.04.25,"我妻子今年符合核准类的员工招调计划，准备转户口来深圳，这就需要我提供相关的证明和证件。我上学之后原户籍没有注销掉，因而我就有了两个身份证号码和两个户籍。后来我大学毕业去了部队，转业以后因我的户口还没有及时由部队迁入地方，我们就用老家的户口本和身份证号码登记结婚，后来在地方办理了户籍登记以后，我的身份证号码和结婚证上的号码就不一致了，我想咨询现在她要调户口，我的身份证上的号码又和结婚证上的不一致，应该如何办理？谢谢。
		","如需要变更结婚证上的身份证号码,可以直接到原登记机关进行变更。如果您户口现在在深圳，可以在您现在的户口所在区民政局办理变更，需本人带上原登记机关的婚姻登记证明，身份证和户口本。可打电话咨询：25832981
		
		",1.6573409311604337e-12
