编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
33794,我经常收到“深圳市税务代理服务中心”的电子邮件，请问是否属实？是否可信？,深圳市财政委员会,2006.12.13,2006.12.13,"我经常收到“深圳市税务代理服务中心”的电子邮件，以下是他们的广告，请问是否属实？是否可信？ 市税务代理服务中心是经深圳市财政局工商注册登记成立的税务代理公 ,公司拥有多年专业的税务代理经验 (全国各大中城市均有分公司) 公司本着互惠互利的原则合理对外代开发票.代开范围:(商品销售、广告、“电脑版” 运输发票、其它服务、租赁、建筑安装、餐饮定额发票等) 税率2-1%左右.贵公司在做帐或进销存方面如需用到的话，我司可提供全方面的服务。可根据所做数量额度的大小来衡量优惠的点数。欢迎来电来邮!郑重承诺!所用票据均可上网查询验证后付款！ 东莞代开发票 茂名代开发票 佛山代开发票 福建代开发票 湖北代开发票 湖南代开发票 广西代开发票 南宁代开发票 四川代开发票 珠海代开发票 北京代开发票 上海代开发票 天津代开发票 重庆代开发票 江苏代开发票 安徽代开发票 河北代开发票 辽宁代开发票 山东代开发票 浙江代开发票 河北代开发票 山西代开发票厦门代开发票 广州代开发票 吉林代开发票 杭州代开发票 厦门代开发票等． 深圳市税务代理服务中心联系地址:深圳市罗湖区深南东路2105号联系电话：13025437022 联　系人：李经理 E- MAIL ：SZ_lishen@163.com http://mp.emp.cn/214018
		","此内容不属我局业务，请向税务部门咨询，转税务部门查处。
		
		",0.0
29152,咪表泊车卡怎么了？,深圳市财政委员会,2008.12.20,2009.03.04,"您好： ??? 我想咨询的是关于深圳市区原来使用的咪表泊车卡如何处理的问题。深圳市从去年十月份起中止了市内咪表停车的收费，但本人刚好购买了一张面值200元的泊车卡，是高戍达公司的。在刚停用不久曾打电话（卡面印制的号码）问过该公司，得到的回答是还未有处理方案，并请我们放心，一定会又让人满意的处理方案的。就这样等了足足一年多，至今仍未果。前几天本人通过政府网站向交通局咨询，得到的答复是不属他们负责，让我向交警局咨询，后来打电话去问，得到的答复还是让我找高戍达公司。该卡上印制的三个仅有第一个可打通，但总是没人接听，其他两个号码已被告知停用。这三个号码分别为：83417339、83196555、83066700，因为看到卡面还印有“深圳市财政局”的字样，所以今天也顺便向你们咨询一下，希望能有回音。 ??? 因为此事也牵涉到千千万万的车主们，估计还持有未用完的卡的人相当多，所以这事情非同小可，希望政府能重视。我也将此事向《南方都市报》反映了...... ??? ???
","? 您好！感谢您对政府关于咪表泊车卡余额退还工作的关注和理解。为便于您进一步了解相关情况，现将有关事项告知如下： 一、为完善深圳市停车咪表收费的管理，我市于2007年9月30日暂时停止了停车咪表收费；并于2007年9月30日起连续几天在深圳特区报、深圳商报、网络、广播等媒体上公告了暂停咪表收费一事，公告全文为：“为进一步完善深圳市城市道路临时停车占道费（停车咪表收费）的管理，从2007年10月1日至新的城市道路临时停车咪表收费公告发布前，市民在现有咪表停车位停车暂停收费。有关泊车卡的处置事宜另行公告。请市民妥善保存好泊车卡，并注意现有咪表停车位路段路面标线的变化”。 二、市民泊车卡中的余额将全额退还，具体的退还方案需要相关方面的配合，相关工作一直在研究制订当中。政府高度重视泊车卡余额退还问题，为此事召开过数次工作会议听取意见。泊车卡余额退还方案一旦确定，将及时通过各种媒体向社会公告泊车卡余额退还时间、地点和联系方式等，请市民妥善保管好自己的泊车卡，届时即可办理余额退还事宜。 三、现有咪表停车位是否可停车，请市民注意观察路面标线及附近的道路交通提示。 此复。
",0.0
7340,有关分布式光伏补贴下发的咨询,深圳市财政委员会,2016.10.11,2016.10.14,"尊敬的深财委领导：
    您好！
    我公司在2015年年底根据国家补贴政策按照标准完成了分布式光伏建设项目并申请了相关分布式光伏电站的发电补贴，然而至今未下发。咨询电力局后得知，该项补贴的下发目前卡在深圳财委的批复上，时间已超过4个月。
   据电力局回复，目前深圳所有的分布式光伏项目都卡在这一步而没有办法拿到补贴，我们拿到财委的批复后才能够继续纳入国家补贴的办理流程，本年度必须要办理完纳入国家补贴名单的任务。
    分布式能源产业是全国大力推行的新政策，对当地招商引资、能源改革、环保优化，都有着明显的作用和积极的意义。但是光伏成本高居不下，工程需要补贴才能够正常发展。
    因此在此我恳请各位领导，能否确认该消息或加速批复进程？
		","根据（财办建【2016】9号通知，各地电网公司须于2月29日前，应将经本级财政、价格、能源主管部门审核同意的分布式光伏发电项目报财政部、发改委、国家能源局。经了解，来电咨询的相关分布式光伏发电项目，深圳市供电局没有按国家通知的期限，完成征求相关部门审核意见。市民唐德海表示满意回复。
",0.0
7354,特殊原因竞价逾期缴款,深圳市财政委员会,2016.10.03,2016.10.14,"本人多次竞价,好不容易于9月26日竞价确认为买受益人,但本人9月26日下午-10月2日在泰国,无法接收到竞价缴费通知及前往银行缴费,回来方才发现已逾期缴费,又逢国庆长假,咨询过12328,86660555,最终要我联系市财政委员,致电83928355未接通.现急盼答复该如何补缴费用,非本人意愿逾期,纯属特殊原因,还请给予支持处理,急急急盼回复!!!感谢!!!
		","电编号4972976市民咨询的是小汽车增量指标逾期缴款的相关问题，经向市交通运输委了解，根据《深圳市小汽车增量指标竞价指引》的规定，竞价结束后3各工作日内未按规定缴款视为放弃指标，保证金不予退还，需重新参加竞价。因电话无法联系到咨询人，已通过电子邮件进行回复解答。
",6.661338147750939e-16
25456,关于网上购物被骗,深圳市财政委员会,2013.09.03,2013.09.10,"我于2013年4月底在网上购物，被深圳的诈骗团伙骗购了一部假冒苹果手机（价值2360元）。今天我又接到一个深圳的电话（电话号码：0755-32803420）称警方破获了这个诈骗团伙，我被骗的钱已经划至深圳市财政局，让我打电话（号码为：0755-32811627）联系退款事宜。请帮忙确认是否确有退款一事。如果没有退款一事的话，这又是一个骗局！
		","? 我委接到20130903-5403-2208684号咨询投诉后，即展开调查。咨询人周志富，反映被人以买苹果手机被诈骗2360元，后嫌疑人称该案件已破，所骗钱款交至深圳财政委，要求事主拨打0755-32811627联系退款事项。事主故向我财委咨询上述电话是否我财委电话。经查，该电话均不是我财委电话，涉嫌诈骗。2013年9月4日，我已通过电话和咨询人周志富取得联系，向其讲明，上述电话不是我财委电话，并做好了解释工作。专此回复。
",1.2922996006636822e-13
21077,关于2014年度营改增30%财政扶持的申请事宜,深圳市财政委员会,2015.03.26,2015.03.31,"你好，请问下2014年度营改增后面30%的补贴部分什么时间可以去税务提交资料呢？前几天去税务提交资料，税务局不受理，说没有接到相关的通知，2013年度的当时也是这个时间提交的，是不是现在取消了30%的补贴呢？请回复？
		","已与当事人尹小姐电话联系，告知：关于营改增年度清算事宜届时会以市财政委、国税局、地税局名义联合发布通知，具体由国税机关受理。
",8.377742943821431e-13
5722,海外高层次人才补贴发放失败反馈问题,深圳市财政委员会,2016.11.25,2016.12.05,"您好，我今年申请的海外高层次人才计划补贴正常为9月发放，同批次公示的人才于9月30号收到款。由于我再申请之后银行卡丢失，需要更改银行卡信息。联系深圳人才园服务电话说是要等财委发放失败的反馈。现在离发放过去已经将近2月，目前状态还是“上报财委”。我想知道，财委大概多久会有反馈银行发放失败信息，然后才更改新的银行卡信息。按理，银行发放失败的信息应该早就反馈到发放账户了，财务能不能帮注意一下，尽快反馈发放失败信息，以便我们早点领到钱。
		","经与深圳市人事人才公共服务中心联系，该中心答复将在近期补发咨询人的人才奖励补贴。建议咨询人与深圳市人事人才公共服务中心进行联系。
",1.6087131626818518e-12
7939,关于《基本建设项目建设成本管理规定》财建设［2016］504号文件,深圳市财政委员会,2016.09.19,2016.09.22,"尊敬的办事员，
下午好。
如题关于财建［2016］504号文件，有以下几点咨询：
1.请问是否还有其他文件诠释关于项目建设费用如何落实的问题，有关的具体流程能否提供指引说明；
2.关于第五条提及，项目建设管理费，包含不在原单位发工资的工作人员工资及相关费用，请问这部分费用，医院作为建设单位，如何申请，能否提供相关指引说明；
3.关于第六条提及，施工现场管理人员津贴不得超过项目建设管理费的5%，有否具体的明细标准参照执行，烦请提供。
以前问题，主要围绕该文件的落实细则，如能提供，不胜感激。
		","已与来电人沟通，并告知相关意见：1.资金需求由发改委下达投资计划解决。2.建管费可以开支工程项目临聘人员工资。3.施工现场津贴发放须经我市人保工资管理部门审批，同意后才能申请安排资金列支。单位表示相关疑问已解决。
",7.132960888611706e-12
21909,关于2014年登记,深圳市财政委员会,2015.01.05,2015.01.26,"事情是这样子的，在14年的12月9号的时候，我拿了资料给别人帮忙做登记，一次性登记了10个人，然后他们告诉我，只要15天左右就可以查询到登记信息了，但是到目前为止只能查询到2个人的登记信息，其他人的只能查询到以前的年度信息，这是为什么，我打电话过去咨询的时候，他们说财政局的信息还没有更新完毕！！这个怎么办？？求解决方法
		","已致电咨询人刘先生，其他会计人员继续教育信息已经可查。
		
		",1.4765966227514582e-11
20961,关于非税收入缴款事宜,深圳市财政委员会,2015.03.28,2015.04.08,"本人在3月28日进行成人学士学位英语报考，按要求是在3月29日17:00截止缴费。我在3月28日14:45进行网上缴费，且缴费成功。但报考网站仍显示未缴费。据了解我是广州的银行卡，属于异地付款，要在2、3天才到款。请问我是否缴费成功？是到款后，才算缴费成功吗？时间紧迫，请尽快答复，谢谢~~
		","已电话回复来电编号2835150：通过网上转账方式成功缴费，一般情况下3个工作日款项可到我委财政账户，如需进一步了解缴款情况，可咨询我委非税收入系统技术人员，联系电话：0755-83928355。咨询人表示满意并感谢。
",1.372755242812218e-10
