　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　肖申克的救赎　　　　　　　	   9.6    	  800105  	希望让人自由。　　　
　　　　　　这个杀手不太冷　　　　　　　	   9.4    	  768052  	怪蜀黍和小萝莉不得不说的故事。
　　　　　　　　霸王别姬　　　　　　　　	   9.5    	  564787  	风华绝代。　　　　　
　　　　　　　　阿甘正传　　　　　　　　	   9.4    	  661122  	一部美国近现代史。　
　　　　　　　　美丽人生　　　　　　　　	   9.5    	  381855  	最美的谎言。　　　　
　　　　　　　　千与千寻　　　　　　　　	   9.2    	  612948  	最好的宫崎骏，最好的久石让。 
　　　　　　　辛德勒的名单　　　　　　　	   9.4    	  354022  	拯救一个人，就是拯救整个世界。
　　　　　　　泰坦尼克号　　　　　　　　	   9.2    	  607890  	失去的才是永恒的。 
　　　　　　　　盗梦空间　　　　　　　　	   9.2    	  716534  	诺兰给了我们一场无法盗取的梦。
　　　　　　　机器人总动员　　　　　　　	   9.3    	  470620  	小瓦力，大人生。　　
　　　　　　　海上钢琴师　　　　　　　　	   9.2    	  563864  	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
　　　　　　三傻大闹宝莱坞　　　　　　　	   9.1    	  621338  	英俊版憨豆，高情商版谢耳朵。
　　　　　　忠犬八公的故事　　　　　　　	   9.2    	  415068  	永远都不能忘记你所爱的人。
　　　　　　　放牛班的春天　　　　　　　	   9.2    	  420816  	天籁一般的童声，是最接近上帝的存在。 
　　　　　大话西游之大圣娶亲　　　　　　	   9.1    	  428577  	一生所爱。　　　　　
　　　　　　　　　教父　　　　　　　　　	   9.2    	  321332  	千万不要记恨你的对手，这样会让你失去理智。
　　　　　　　　　龙猫　　　　　　　　　	   9.1    	  391055  	人人心中都有个龙猫，童年就永远不会消失。
　　　　　　　　乱世佳人　　　　　　　　	   9.2    	  254077  	Tomorrow is another day.
　　　　　　　楚门的世界　　　　　　　　	   9.0    	  414088  	如果再也不能见到你，祝你早安，午安，晚安。
　　　　　　　天堂电影院　　　　　　　　	   9.1    	  291411  	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
　　　　　　　当幸福来敲门　　　　　　　	   8.9    	  505105  	平民励志片。 　　　
　　　　　　　　触不可及　　　　　　　　	   9.1    	  340671  	满满温情的高雅喜剧。
　　　　　　　搏击俱乐部　　　　　　　　	   9.0    	  383691  	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
