210,陪产假,深圳市司法局,2017.05.02,2017.05.03,"公司规定没过试用期不让休陪产假，请问我要通过什么途径来维护我的权利
		","你好，建议你拨打我局法律咨询电话咨询：0755-83053830.
		
		"
588,关于申请实习人事档案问题,深圳市司法局,2017.04.14,2017.04.24,"领导，您好，本人专科和本科都是自考毕业的，人事档案户口所在地人事局不予接受，办不了存档证明，请问该如何解决，谢谢
		","你好，你所反映的问题不属我局职能范围，建议拨打12345热线电话咨询。
		
		"
595,外省户籍是否可以在深圳参加司法考试？,深圳市司法局,2017.04.12,2017.04.24,"外省人员在深圳参加司法考试需要什么条件、材料？在取得律师执业资格证前，需要注意哪些事项。
		","你好，详情请拨打我局司考办电话咨询：0755-83053807.
		
		"
600,外地律师到深圳律所执业,深圳市司法局,2017.04.11,2017.04.24,"您好，我是一名外地律师，想到深圳律所执业，请问有什么限制条件，要达到什么条件才能来深圳执业。
		","你好，详情请拨打我局律公处业务咨询电话咨询：0755-88127587.
		
		"
610,外省律师重新申请律师执业,深圳市司法局,2017.04.14,2017.04.24,"律师在其他省份执业后，因就读研究生而注销执业，在研究生毕业后，能否在深圳重新申请执业,还需要重新实习一年吗？
		","你好，详情请拨打我局律公处业务咨询电话咨询：0755-88127587.
		
		"
642,法律职业资格证书转出问题,深圳市司法局,2017.04.21,2017.04.24,"   您好，我于2015年在深圳市司法局领取了法律职业资格证书，现因在河南省郑州市律所工作，需要将其转回郑州市，请问在深圳市这边需要办理什么手续？另外，郑州市司法局回复说必须要在证书领取地完成备案后才能转入郑州市，但据说深圳市已经取消备案制度，我这个备案程序怎么办呢？
		","你好，详情请拨打我局律公处业务咨询电话咨询：0755-88127587.
"
1310,如何申请公职律师,深圳市司法局,2017.04.05,2017.04.07,"我是深圳市龙岗区区属行政单位一名公务员，于2014年通过国家司法考试，现一直期望申请成为一名公职律师，不知市局对公职律师申请方面有哪些规定，今年有没有政策或文件出台落实中共中央办公厅 国务院办公厅 印发《关于推行法律顾问制度和公职律师公司律师制度的意见》。能否提供一下操作指引。谢谢！
		","你好，建议你拨打我局律师咨询电话咨询，联系电话：88127587.
		
		"
1570,工厂搬迁解除劳动合同,深圳市司法局,2017.03.27,2017.04.01,"工厂向外国发展，一批一批的解散员工，并且是突然期与我们解除劳动合同。请问出现这种情况，我们应该如何维权?签无限合同厂方理应如何对员工赔偿经济损失？
		","你好，建议你到辖区街道办或社区反映。或拨打我局法律咨询电话咨询，电话号码：0755-83053830。
"
1582,工厂搬迁解除劳动合同,深圳市司法局,2017.03.27,2017.04.01,"工厂向外国发展，一批一批的解散员工，并且是突然期与我们解除劳动合同。请问出现这种情况，我们应该如何维权?签无限合同厂方理应如何对员工赔偿经济损失？
		","你好，建议你到辖区街道办或社区反映。或拨打我局法律咨询电话咨询，电话号码：0755-83053830。
"
1597,找工作，进入培训公司，被贷上1笔款,深圳市司法局,2017.03.22,2017.04.01,"你好，我去年10月份找工作，然后进入一家培训公司培训，起初这个培训公司在人才市场招聘时说的是变学边工作，待我进去第三天，被叫去说是先学习，待工作了在付款。
接着让我下载一个百度钱包，验证身份信息后，对方说这是由百度钱包先支付的，第7个月才开始还款，培训是3个月，包吃包住，包分配！
以上是大概内容，我想咨询，百度钱包教育分期贷款是否需要有本金入账才正确？我开通的时候没有贷款本金到账，也没有收到委托书之类的，一开通就背上16800的贷款了，利息是本金的1%，加起来共2w多点。
与培训公司签订了个合同，合同的内容只字未提贷款之事，合同落尾处只有该公司的盖章、公司名、我的签名、日期。并没有第三方百度钱包的盖章等，请问这合同在法律上生效吗？
该公司说的给我找到工作，但是他们只是给我投简历，是自己去找工作的；
该公司培训并没有教育资质，请问这培训是合理的吗？
该公司当初承诺说培训合格后会有一个合格证书，最后我并没有收到相关证书；
以上是我需要咨询的问题，谢谢解答。
		","你好，建议你拨打我局法律咨询电话：0755-83053830。
		
		"
2078,法律职业资格证书,深圳市司法局,2017.03.17,2017.03.22,"法律职业资格证书需要办理年度备案吗？
		","根据《广东省人民政府2012年行政审批制度改革事项目录（第一批）》（粤府令第169号）取消的行政审批事项第55项决定，2012年7月17日起，我省停止法律职业资格证书年度备案和变更备案，广东省国家司法考试网取消网上备案栏目，我市不再受理备案申请。
		
		"
2082,外省已实习期满合格律师，是否可申请在深圳执业,深圳市司法局,2017.03.19,2017.03.22,"您好，我是外省律所律师助理，已实习期满一年，考核合格，请问可以申请在深圳执业吗？
		","你好，建议你直接拨打我局电话咨询：0755-88127587和0755-83053979.
		
		"
