词语,计数
"
",113
装修,16
培训,15
仓库,12
网吧,12
面积,11
派出所,11
消防安全,11
备案,11
工厂,11
情况,11
防火,10
重新,10
要求,10
平米,10
营业执照,10
时间,9
申报,9
材料,9
规范,8
准备,8
安全,8
系统,8
审核,8
整改,8
安装,8
设计,8
生产,8
考试,7
检查,7
业主,7
必须,7
这种,7
电话,7
报名,7
吊顶,7
里面,7
信息,6
隐患,6
消防栓,6
小区,6
影响,6
建设,6
目前,6
一家,6
宝安,6
存在,6
房间,5
平湖,5
改动,5
上面,5
放置,5
平方米,5
大概,5
主要,5
气体,5
消防通道,5
营业,5
了解,5
管理,5
电气,5
一楼,5
灭火,5
获取,5
一间,5
流程,5
消防局,5
批文,4
出租屋,4
处理,4
通道,4
地面,4
喷淋,4
商铺,4
邻居,4
只能,4
隔墙,4
违反,4
写字楼,4
内部,4
内容,4
顶楼,4
位于,4
以上,4
高度,4
今年,4
通知,4
购买,4
走廊,4
竣工,4
意见书,4
灭火器,4
灯具,4
消防车,4
建筑,4
改造,4
电线,4
平方,4
火灾,4
帮忙,4
希望,4
网络,4
能否,4
泄压口,4
安全隐患,4
解决,4
油箱,4
龙岗区,4
一期,4
上岗证,4
上岗,4
所有,3
看到,3
指示牌,3
知道,3
福田,3
报备,3
空间,3
第一次,3
公共,3
全部,3
扩建,3
约定,3
监督,3
我要,3
统一,3
当时,3
网站,3
合格,3
建设工程,3
花园,3
建筑面积,3
应该,3
具体,3
敷设,3
提供,3
应急灯,3
检测,3
架子,3
正常,3
此事,3
每个,3
办公室,3
机构,3
办公,3
有没有,3
消防系统,3
厂房,3
原件,3
燃气,3
物业,3
出现,3
原有,3
出口,3
上门,3
改建,3
参加,3
一栋,3
计划,3
线路,3
设备,3
距离,3
车间,3
属于,3
过来,3
居民,3
尽快,3
对方,3
商城,3
部分,3
设置,3
对外,3
审批,3
人员,3
不足,3
隔断,3
图纸,3
餐馆,3
地方,3
位置,3
采用,3
标志,3
证书,3
费用,3
住宅楼,3
工程师,3
松岗,2
放在,2
不要,2
不会,2
整体,2
之前,2
存放,2
文件,2
新区,2
新建,2
大队,2
垫料,2
方式,2
方面,2
是不是,2
店铺,2
月份,2
安排,2
有个,2
有无,2
广场,2
多次,2
多久,2
朋友,2
未作,2
外开,2
处罚,2
增加,2
建筑设计,2
墙体,2
曾经,2
工作人员,2
完成,2
找到,2
招聘,2
拆除,2
局长,2
层楼,2
得到,2
下来,2
不够,2
或入,2
必要,2
意见,2
成品,2
打来,2
查看,2
巡查,2
很大,2
尊敬,2
挡住,2
当地,2
接到,2
接受,2
提交,2
工商,2
操作,2
开通,2
密封胶,2
收到,2
不是,2
收取,2
改为,2
开业,2
宝安区,2
完毕,2
消防大队,2
柴油,2
进出,2
近期,2
近日,2
运营,2
达到,2
超高层,2
超市,2
资质,2
贵局,2
询问,2
证明,2
设计院,2
许可证,2
表格,2
补办,2
街道,2
苍蝇,2
至今,2
自用,2
自动,2
一半,2
一定,2
还要,2
违规,2
缴纳,2
通知书,2
麻烦,2
高危,2
餐饮公司,2
领导,2
非法经营,2
非法,2
非常感谢,2
非常,2
障碍物,2
限期,2
阻燃,2
阶段,2
防盗门,2
防火设计,2
防护区,2
问下,2
门外,2
门口,2
铁皮,2
铁丝网,2
重大,2
网上,2
编制,2
楼有,2
环境,2
物业公司,2
爆炸,2
热水器,2
烟感,2
清楚,2
涉及,2
消防队,2
消防设施,2
消防设备,2
丢失,2
消防员,2
消费,2
注意,2
注册,2
法规,2
法律法规,2
沙井,2
上市,2
比较,2
每年,2
正式,2
独立,2
现租,2
给予,2
一次,2
经营,2
经常,2
线槽,2
纺织,2
一层楼,2
类产品,2
管理处,2
站厅,2
立方米,2
租用,2
确定,2
石膏板,2
着火,2
相应,2
直接,2
一张,2
监督管理,2
监控,2
疏散,2
用些,2
生活,2
场所,2
执行,2
原本,2
可不可以,2
出租,2
前后门,2
南山区,2
二次,2
名称,2
凭证,2
及时,2
低于,2
几平,2
住宅,2
住宅小区,2
中心,2
事项,2
原来,2
加工,2
使用权,2
回来,2
原因,2
占用,2
允许,2
个体,2
号房,2
今天,2
四百,2
国家,2
号码,2
以前,2
口岸,2
依据,2
分局,2
员工,2
到底,2
发电机,2
之间,2
初步设计,2
保护,2
地铁,2
周边,2
取得,2
听说,2
紧急状况,1
一座,1
管入,1
公告,1
公安,1
索要,1
立方,1
入侵,1
级别,1
纸制品,1
红头文件,1
符合,1
