词语,计数
户口,3918
"
",2726
派出所,948
入户,778
身份证,745
小孩,677
证明,646
集体,625
迁入,616
随迁,512
户籍,492
房产,415
情况,414
居住证,409
迁移,307
提供,288
公安局,283
深户,272
出生,270
挂靠,265
能否,263
今年,259
政策,258
结婚,255
户口本,255
时间,252
落户,251
孩子,251
要求,248
目前,238
所在地,235
妻子,231
知道,230
父母,225
通行证,222
夫妻,221
这种,217
港澳,216
材料,204
南山,203
才能,191
老公,188
宝安,182
集体户,182
房子,181
居住,178
老婆,177
人才,170
子女,169
迁出,167
查询,165
应该,164
受理,163
准备,163
香港,160
当时,157
个人,153
毕业,146
人员,146
领导,144
南山区,141
可否,137
父亲,136
外地,135
提交,134
希望,134
无法,134
母亲,133
计划生育,132
福田,132
具体,130
网上,129
是不是,127
符合,126
证件,126
月份,125
回执,125
签注,123
内地,123
房产证,120
福田区,119
出具,119
不知,116
投靠,116
调入,115
号码,114
朋友,113
必须,112
不是,111
一定,111
编号,110
老家,109
直接,107
市场,106
宝安区,106
补办,105
去年,104
一家,103
属于,102
信息,102
之前,102
原件,101
一年,101
罗湖区,100
地址,100
女儿,99
龙岗,99
居民,98
罗湖,98
以上,97
护照,94
指标,94
原因,91
重新,91
两年,91
电话,90
购买,89
一起,88
丈夫,87
原来,87
过期,86
审批,85
当地,85
配偶,83
地方,83
三年,82
解决,82
儿子,82
户主,82
第二代,82
生育,81
毕业生,81
准迁证,80
方便,80
拿到,80
办法,80
处理,80
下来,80
以后,80
工作人员,80
我于,79
爱人,79
代管,79
婴儿,78
流程,78
尽快,78
分居,78
老人,77
原籍,76
有没有,76
两个,75
亲戚,75
复印件,74
立户,74
购房,73
申报,73
女方,73
能够,73
业务,71
上班,71
程序,71
结婚证,71
尊敬,71
关系,69
湖南,69
医院,69
方式,68
分局,68
中心,68
通知,68
看到,68
麻烦,67
名字,67
家庭,67
听说,67
开具,66
有效期,66
给予,65
事情,65
龙岗区,64
多久,64
新生儿,64
至今,64
解答,63
关外,63
发现,63
以前,63
丢失,62
只能,62
临时,62
所在,61
如下,61
得到,61
可不可以,61
文件,60
后来,60
上海,60
一方,60
一个月,60
深圳市公安局,59
广东省,59
递交,59
户口簿,59
生活,59
还要,59
公安分局,59
服务,59
名下,58
以下,58
出生证,58
多次,57
首页,57
领取,57
了解,57
政府,57
计生,57
注销,57
双方,56
上学,56
办事,56
长期,56
离开,56
银行,55
所有,55
街道,55
二代,55
买房,54
不到,54
办好,54
湖北,54
失业,54
更改,53
管理,53
告诉,53
准生证,53
户口卡,53
同志,53
离职,52
非常,52
市内,52
业主,52
一名,51
本市,51
非常感谢,51
先生,51
员工,51
我该,51
盼复,50
