部门,情感均值
深圳市住房和建设局,0.091528678
(已撤销)深圳市公安局消防监督管理局,0.092830749
深圳市无线电管理局,0.104150051
市劳动和社会保障局,0.135628427
深圳市人居环境委员会,0.139032692
市国土资源和房产管理局,0.142764875
深圳市社会保险基金管理局,0.147324794
深圳市城市管理局,0.156527568
深圳市公安局,0.168185984
深圳市市场和质量监督管理委员会,0.174421423
深圳市人民政府外事办公室,0.175424869
深圳市公安局交通警察局,0.206713137
深圳市发展和改革委员会,0.216912997
深圳市民政局,0.231749556
深圳市卫生和计划生育委员会,0.233746076
深圳市经济贸易和信息化委员会,0.241930919
市科技工贸和信息化委员会,0.255356927
深圳市人力资源和社会保障局,0.261620596
深圳市人民政府国有资产监督管理委员会,0.262832057
深圳市水务局,0.268207491
深圳市规划和国土资源委员会,0.271098304
深圳市人民政府口岸办公室,0.341947818
深圳市人民政府法制办公室,0.372468421
深圳市档案局,0.375485718
深圳市人民政府金融发展服务办公室,0.409654584
深圳市司法局,0.433681963
深圳市交通运输委员会,0.498180002
深圳市统计局,0.513282532
深圳市财政委员会,0.530453242
深圳市教育局,0.577728013
