词语,计数
"
",26720
户口,7393
租房,3550
小孩,2683
时间,2321
证明,2219
情况,2183
户籍,2117
网上,2036
深户,1996
今年,1947
提交,1842
变更,1810
信息,1755
安居房,1750
提供,1700
人才,1650
轮候,1647
目前,1589
身份证,1579
查询,1554
要求,1546
政策,1537
参加,1508
知道,1485
孩子,1441
审核,1440
能否,1417
材料,1381
入户,1317
个人,1315
领导,1262
月份,1256
考试,1236
是不是,1231
教育,1219
继续,1216
应该,1187
申请人,1158
派出所,1153
小学,1150
人员,1137
这种,1134
准备,1092
才能,1082
希望,1075
流程,1054
注册,1047
居住证,1046
之前,1038
具体,1036
影响,1004
备案,988
购买,985
租赁,983
政府,982
会计,958
毕业,950
迁入,935
不是,933
集体,932
报名,902
补贴,898
合同,878
学位,878
缴纳,859
无法,855
资格证,853
处理,853
文件,834
房产,814
员工,813
专业,797
一家,791
网站,786
直接,785
一年,784
通知,779
幼儿园,767
房子,766
属于,765
取得,764
申报,754
符合,751
教师,746
当时,737
以上,733
家庭,732
父母,726
随迁,725
结婚,712
必须,705
重新,699
去年,685
有没有,685
从业,684
毕业生,683
系统,682
看到,681
生育,675
教育局,675
原因,673
共同,671
回执,667
费用,665
审批,656
医疗保险,656
地址,653
管理,652
居民,651
显示,646
领取,640
缴费,638
报考,634
享受,614
会计证,614
出生,612
居住,611
香港,609
机构,607
外地,603
商品房,602
拿到,600
小区,600
福田区,596
标准,595
医保,589
南山区,587
可否,582
两个,577
一定,576
养老保险,573
证书,568
电话,562
了解,562
解决,561
受理,561
福田,560
证件,557
上班,555
资格,553
安居,551
南山,550
宝安,548
所在地,547
不知,545
工作人员,541
计划生育,538
中心,537
多久,536
经营,536
国家,535
内地,534
医院,533
学生,531
至今,527
社会,522
以后,520
办法,520
迁移,519
广东省,518
调入,517
尊敬,515
以前,512
预约,510
社保局,507
宝安区,505
保险,503
老婆,500
有限公司,498
年限,498
服务,497
子女,494
老家,493
户口本,490
尽快,487
一名,486
地方,484
营业执照,479
龙岗,478
增加,477
填写,477
夫妻,473
龙岗区,473
贵局,471
认定,471
操作,471
原件,469
只能,468
转入,466
老公,459
麻烦,458
编号,455
给予,455
解答,454
落户,450
生活,446
业务,446
排名,445
参保,444
公共,443
期间,442
上学,441
得到,441
妻子,439
建局,439
原来,438
培训,437
工资,437
退休,435
许可证,434
社保卡,432
学历,429
市场,428
不到,427
注销,426
之后,425
报销,416
方式,414
挂靠,410
业主,405
发现,405
号码,403
不会,401
最近,401
程序,401
就读,397
计划,395
配偶,393
本市,393
龙华,393
状态,391
窗口,389
出具,389
房源,386
还要,385
以下,385
关系,384
几个,384
公布,382
完成,381
花园,380
身份,377
我于,376
罗湖区,375
老师,375
很多,374
中级,374
家长,374
一次,374
能够,372
正常,371
本科,371
所有,369
进入,369
街道,365
罗湖,364
出来,363
公积金,361
公安局,360
发放,360
朋友,359
保障,355
结婚证,355
人事局,354
母亲,353
房产证,353
医疗,352
今天,352
递交,352
广州,350
投资,349
更改,347
失业,347
积分,345
三年,344
听说,343
大概,343
银行,342
成功,342
收到,341
调干,340
内容,339
计算,339
两年,338
确认,338
少儿,334
购房,334
帮忙,332
盼复,331
高中,331
高考,331
非常感谢,331
初级,330
非常,328
离职,326
办事,326
计生,326
接收,326
社会保险,326
生产,326
新区,325
下来,325
限制,323
职称,321
补办,321
条例,321
社区,320
里面,319
财政局,317
股东,316
女儿,316
复印件,316
从事,314
现场,312
明年,311
配租,310
产假,309
入学,309
一起,309
就业,307
当地,307
正在,306
综合,305
转移,304
公示,303
获得,302
打印,302
引进,302
认租,301
名称,300
股权,299
收费,298
安排,298
房屋,298
经济,296
有效,296
双方,295
父亲,294
我要,294
可能,294
集体户,294
年度,292
部分,289
技术,289
大学,288
大专,288
入住,287
读书,286
安全,285
通行证,285
取消,284
超过,283
建设,281
方便,281
环境,281
记录,280
开具,278
学习,278
异地,278
应届,278
补交,277
选择,277
认证,277
干部,275
基本,275
说明,273
广东,273
港澳,273
问下,272
湖南,271
初中,270
包括,270
是非,269
到期,269
到底,268
实际,268
名字,266
不要,266
住院,266
修改,266
不用,263
过去,263
日期,263
中国,262
进度,259
一个月,259
更新,258
未婚,258
方面,258
待遇,258
公务员,256
出台,256
统一,255
执行,255
找到,255
组织,254
提示,252
可不可以,252
中考,251
半年,251
保障性,249
详细,248
连续,248
市民,248
如下,248
合格,245
后来,245
物业,244
迁出,242
儿子,242
导致,241
环保,241
置换,241
我家,241
左右,240
人口,239
合法,238
多次,237
实施,237
指标,237
基金,237
期待,235
存在,235
中学,234
委托,234
选房,233
成绩,233
告诉,232
施工,232
学费,232
附近,231
资质,231
单身,230
盖章,230
老人,230
中级职称,229
北京,228
认购,226
满足,225
具有,225
三个,224
联系,224
接受,224
几年,224
名单,222
打算,222
这是,221
离开,221
分配,220
发布,220
成立,220
全部,219
委员会,219
名义,219
年龄,218
真的,218
立户,218
范围,217
事情,216
全国,216
明确,215
研究生,214
比较,214
所在,213
消息,213
名下,212
每年,211
发展,211
家里,211
建议,210
多谢,209
不同,209
产品,209
离婚,209
过期,208
打电话,207
城市,207
达到,207
考虑,206
普通,206
主要,206
批准,206
更换,206
提前,204
职工,204
人事,203
烦请,203
女方,202
我该,202
食品,201
正式,201
现有,201
有效期,200
法人,200
相应,200
回答,199
累计,198
帮助,198
有无,198
二胎,198
毕业证,198
一份,197
学籍,197
每月,197
排队,197
现已,197
爱人,197
资格证书,196
噪音,196
经营范围,196
周岁,196
安装,195
多长时间,195
查不到,195
规划,194
账户,193
合理,192
年检,192
表格,192
长期,191
家园,191
出现,190
教师资格,190
事业单位,190
养老金,190
租住,189
确定,189
协议,189
就要,188
湖北,188
外省,188
丢失,187
排位,187
负责人,187
上面,187
东莞,187
一方,185
持有,185
上海,184
事项,183
罚款,182
护照,182
辞职,181
公章,181
再次,181
法律,181
儿童,181
报告,180
公办,180
申请表,179
本科毕业,179
养老,178
月底,178
平台,178
活动,177
男方,177
过程,176
评审,174
每个,174
产权,174
现想,173
同意,173
事宜,173
签证,173
工厂,173
密码,173
形式,173
最后,172
交纳,172
你们好,172
公告,172
想要,171
年底,171
造成,170
登录,170
已有,170
分公司,170
机关,170
硕士,169
面积,169
招生,169
民政局,169
意见,169
即可,168
管理局,168
物业管理,168
龙悦,168
工程师,166
下半年,166
地点,166
缴交,166
交了,165
下载,165
公开,165
同事,165
住房补贴,164
具备,164
及时,164
方案,164
转让,164
高级,163
我想,162
资金,162
提出,161
http,160
期限,160
马上,160
全日制,159
晚上,159
一年级,159
街道办,159
职员,158
签订,158
申办,158
劳动,158
排放,157
理解,157
先生,157
光明,156
丈夫,156
过来,155
签注,155
销售,155
cn,154
允许,154
结婚登记,154
清楚,154
分局,154
分别,154
报到证,153
设备,153
行政,153
应当,153
公证,153
退保,153
金融,153
三房,152
贷款,152
大厦,152
发生,152
遗失,152
实行,152
转为,152
近期,151
首次,151
市级,151
支付,151
代办,151
转学,151
原籍,151
办好,151
姓名,151
方法,151
一点,150
机会,150
买房,150
身份证号,149
几天,149
定向,148
检测,148
临时,148
回老家,148
回来,147
难道,147
投靠,146
日常,146
科技,146
工作日,146
多年,145
录取,145
根本,144
负责,143
登陆,143
超生,142
截止,141
金额,141
工商,141
财政,140
一致,140
市政府,139
职业,139
续租,139
日前,139
本科学历,139
第二代,139
我市,138
英语,138
五年,138
建筑,138
人民,138
布吉,138
恳请,138
申请材料,138
查看,137
推出,137
调出,137
类型,137
餐厅,137
考取,137
许可,137
予以,136
符合条件,136
续签,136
口岸,136
询问,136
电子,136
即将,136
后续,136
准生证,136
教育学,135
大厅,135
打工,135
违法,135
惠州,134
区别,134
特区,134
国内,134
补助,133
电脑,132
公立,132
成为,132
本地,132
网络,132
依据,132
决定,132
怀孕,132
法规,131
检查,131
对方,131
心理学,131
每次,131
特别,130
余额,130
拥有,130
关外,130
性质,130
学期,129
初级职称,129
个体,129
人才交流,129
首页,129
宝宝,129
能力,129
核准,129
劳动合同,129
重点,128
补充,128
收取,128
请教,128
指导,128
等待,127
我能,126
后面,126
比例,126
同志,126
回家,126
会计师,125
行业,125
门诊,125
资助,125
津贴,125
主管部门,124
网址,124
自动,124
经常,124
学分,124
学士学位,124
免费,124
片区,124
产生,124
户口簿,124
怎么回事,123
在职,123
装修,123
集团,123
亲戚,123
地区,123
退休年龄,123
急盼,123
网页,123
这次,122
义务教育,122
认为,122
仍然,122
关注,122
有人,122
转到,122
短信,121
位于,120
您们好,120
暂时,119
单独,119
已婚,119
制度,119
工龄,119
人数,119
特殊,118
凭证,118
绑定,118
小一,118
改革,118
面向,117
四川,117
院校,117
针对,117
一项,117
招聘,116
咨询电话,116
不行,116
转正,116
数字证书,116
是从,116
西乡,116
交费,116
服务中心,116
第一,115
清单,115
住户,115
妈妈,115
一次性,115
排序,115
开发商,115
改为,115
合作,114
监督,114
房东,114
工商局,114
指南,114
错过,114
有个,114
调动,113
剩余,113
住宅,113
接到,113
涉及,113
客户,113
新生儿,113
回到,112
最新,112
别人,112
公立学校,112
批文,111
完全,111
途径,111
上半年,111
得知,111
万分,111
www,111
分居,111
一位,111
廉租房,111
结束,110
很大,110
验证,110
福利,110
放在,110
合并,110
账号,109
用人单位,109
入册,109
资格考试,109
前往,109
公交,109
代理,109
工伤,109
进去,108
技术资格,108
表示,108
户主,107
武汉,107
实在,107
担心,107
调查,107
适用房,107
计算机,107
行为,107
垃圾,107
不再,106
不想,106
邮箱,106
调转,106
小孩子,106
普通话,106
发票,106
区级,106
交易,106
意思,106
编制,105
婴儿,105
政府部门,105
正确,105
退休金,105
第一次,105
市内,105
一条,105
一张,105
作业,104
国外,104
困难,104
周边,104
十分,104
疑问,103
谢谢您,103
区域,103
大家,103
换证,103
开展,103
婚姻登记,102
老百姓,102
医疗器械,102
反映,102
错误,102
办公,101
发证,101
gov,101
所属,101
招工,101
鉴定,101
有限责任,101
等到,101
转回,101
自行,101
权利,101
解释,101
营业,101
自考,101
户籍地,100
蛇口,100
考生,100
输入,100
明白,100
小时,100
本来,99
法定,99
包含,99
需求,99
基数,99
报道,99
好像,99
江西,99
管理处,99
上述,98
阶段,98
医保卡,98
人力资源,98
外国语,98
处于,98
属实,97
机动车,97
不予,97
保留,97
地铁,97
观澜,97
质量,97
三口,97
落实,97
放假,97
离异,97
在线,97
准迁证,97
代码,97
教学,97
觉得,96
建设局,96
调令,96
线路,96
退出,96
变成,96
自有,96
加盖,96
固定,96
关内,96
邀请,95
com,95
同一,95
退回,95
支持,95
龙瑞,95
龙海,95
成长,94
汽车,94
常住,94
人居,94
股份,93
价格,93
停车场,93
户口卡,93
照片,93
日起,93
目录,93
扣款,93
调工,92
中有,92
居委会,92
说法,92
助理,92
劳务工,92
公平,92
新闻,92
补缴,92
珠海,92
深圳大学,92
优惠政策,91
配套,91
暂行办法,91
女朋友,91
未能,91
点击,91
拒绝,91
帐户,91
看病,90
工人,90
定级,90
招调工,90
两学,90
学院,90
一所,90
下午,90
万元,90
出口,90
佳园,89
照顾,89
大学毕业,89
签字,89
办事处,89
变化,89
中间,89
一级,89
感谢您,89
邀请函,89
查到,89
开放,89
回去,89
违反,89
健康,88
合格证,88
维修,88
重视,88
尚未,88
之间,88
设计,88
面试,88
二期,88
是否是,88
场所,88
深圳市政府,88
轮侯,88
提到,88
审查,88
改变,87
已于,87
真正,87
人士,87
忘记,87
学区,87
此事,87
大道,87
银行卡,87
会计职称,87
深圳经济特区,87
前海,87
办公室,87
平湖,87
社康,86
月初,86
整个,86
手机,86
商务,86
代管,86
就近,86
台湾,86
遇到,86
暂住证,85
刚刚,85
境外,85
放弃,85
治疗,85
大学生,85
民办学校,85
几次,85
居住地,85
过户,85
开学,85
开通,85
辖区,84
纸质,84
需不需要,84
顺利,84
招调,84
问问,84
测试,84
申购,84
同样,83
完毕,83
抚养费,83
开发,83
两房,83
内资,83
休息,83
类似,83
适用,83
已满,83
责任,83
招标,82
外国人,82
有何,82
商铺,82
个体户,82
出生证,82
不够,82
工业,82
纳税,82
绿标,82
旅游,81
收入,81
课程,81
大量,81
科目,81
外商投资,81
停交,81
前面,81
二代,81
颁发,81
不得,81
提取,81
同一个,81
东西,81
措施,81
农村户口,80
添加,80
残疾人,80
农村,80
承担,80
一房一厅,80
审计,80
进展,80
竣工,80
贸易,80
一栏,80
套房,80
来到,80
不好,80
延期,80
注册资本,80
独生子女,79
指定,79
梅林,79
高新,79
预计,79
年级,79
理由,79
雇员,79
昨天,79
外资企业,79
登记表,79
制定,79
生源,79
标志,79
油烟,78
新增,78
用于,78
初次,78
工业区,78
爸爸,78
奖励,78
中专,78
上报,78
会计工作,78
沙井,77
国际,77
搬迁,77
申领,77
十年,77
参与,77
两次,77
家人,77
高新技术,77
引进人才,77
民办,77
一天,76
代表,76
采购,76
登记证,76
岗位,76
在家,76
合伙,76
一步,76
试讲,76
二孩,76
土地,75
出国,75
污染,75
松岗,75
一种,75
工商户,75
请求,75
通知书,75
步骤,75
餐饮,75
省外,74
停止,74
委托书,74
无房,74
律师,74
通告,74
变动,74
卫生,74
携带,74
若干,74
大约,73
独立,73
在册,73
用户,73
借读费,73
这方面,73
百忙之中,73
签发,73
设施,73
有点,73
并未,73
归档,73
改造,73
美国,73
来说,73
不足,73
当年,73
未满,72
办证,72
重复,72
外来,72
格式,72
二年级,72
一批,72
开办,72
承租,72
出示,72
您们,72
获取,72
越来越,71
加工,71
晚育,71
怎样才能,71
中海,71
深圳市公安局,71
本科生,71
对外,71
总是,71
停车,71
突然,71
页面,71
会计人员,71
重要,71
道路,70
如今,70
大型,70
报废,70
联系电话,70
对此,70
迁回,70
评估,70
优先,70
加上,70
进口,70
二手房,70
第一代,70
幼儿,69
依法,69
监管,69
研究,69
设置,69
房地产,69
内部,69
执业,69
官网,69
体检,69
中小学,69
无人,69
协会,69
太太,69
长沙,69
名额,68
期盼,68
市局,68
户型,68
安置,68
下面,68
多月,68
請問,68
出生证明,68
二级,68
平米,68
合格证书,68
指引,68
执法,68
婚姻,68
富士,68
一段时间,68
办理手续,68
基础,67
法院,67
家庭成员,67
招考,67
最低,67
创业,67
当前,67
规范,67
强制,67
下发,67
公安分局,67
交房,67
身边,67
迁户,67
年前,67
发出,67
领军,67
上次,67
不合理,66
有限,66
投标,66
各区,66
假期,66
愿意,66
合一,66
亲戚家,66
参考,66
保管,66
职位,66
接下来,66
托管,66
意味着,66
带来,66
位置,66
龙华区,65
最好,65
录入,65
高级职称,65
要交,65
