词语,计数
"
",884
户口,571
结婚证,226
结婚,191
证明,189
身份证,163
户籍,139
结婚登记,135
民政局,133
集体,111
户口本,94
未婚,88
提供,81
婚姻登记,76
准备,76
能否,74
情况,73
女朋友,72
材料,67
外地,66
证件,60
深户,58
双方,54
派出所,50
预约,50
离婚,49
知道,49
网上,46
男朋友,45
今年,41
女方,41
领导,40
居民,39
男方,39
时间,39
社会,39
要求,38
流程,38
所在地,37
首页,37
老家,37
领取,36
信息,35
这种,35
地址,35
复印件,35
是不是,35
不知,33
成立,33
开具,33
不是,32
居住证,32
应该,32
注册,31
原件,31
福田,31
湖南,31
具体,30
政策,29
收养,29
退伍,29
香港,29
小孩,28
查询,28
才能,27
一定,27
一名,27
属于,27
出具,27
可否,27
福田区,27
可不可以,27
广东,26
补办,26
户口簿,26
父母,26
协会,26
组织,26
希望,26
罗湖区,25
目前,25
当时,24
南山区,24
四川,24
团体,24
女友,24
单身,23
机构,23
本地,23
内地,23
尊敬,23
程序,23
免费,23
地方,22
政府,22
老公,22
电话,22
居住,22
人员,22
孩子,22
南山,21
民政部门,21
个人,21
入户,21
男友,21
户口卡,20
提交,20
必须,20
民办非,20
年检,20
解答,19
麻烦,19
网站,19
委托,19
了解,19
生活,19
拿到,19
转业,19
宝安,18
迁入,18
对方,18
宝安区,18
广东省,18
号码,18
夫妻,18
上班,18
投注站,18
以上,18
福利彩票,18
变更,18
异地,18
老婆,18
之前,18
一致,18
关系,17
准生证,17
老人,17
再婚,17
部队,17
安置,17
集体户,17
符合,17
是非,17
两个,17
基金,17
无法,17
中国,16
婚姻,16
湖北,16
妻子,16
婚姻状况,16
单页,16
男女双方,16
有没有,16
享受,16
听说,16
龙岗,15
工作人员,15
社区,15
当地,15
父亲,15
配偶,15
看到,15
母亲,15
正在,14
落户,14
活动,14
直接,14
给予,14
打算,14
街道,14
事宜,14
龙岗区,14
服务,14
朋友,14
士官,14
登记手续,14
费用,13
管理,13
评估,13
低保,13
离婚证,13
人才,13
月份,13
证书,13
重新,13
广州,13
填写,13
回家,12
捐赠,12
丢失,12
商会,12
一起,12
退伍军人,12
出生,12
军人,12
一家,12
公章,12
原因,12
公益,12
爱人,12
生育,12
你们好,12
审批,12
非常感谢,12
多谢,12
子女,12
以后,12
持有,12
社会活动,12
家里,11
还要,11
常住,11
多年,11
年限,11
离异,11
安排,11
丈夫,11
参加,11
大概,11
一年,11
北京,11
机关,11
去年,11
最近,11
一方,11
原来,11
更换,10
联系,10
多久,10
家庭,10
方式,10
本市,10
当事人,10
健康,10
外省,10
问下,10
找到,10
遗失,10
贵局,10
应当,10
临时,10
罗湖,10
身份证号,10
我该,10
即可,10
辦理,10
携带,10
代办,10
医院,10
文件,10
发现,10
女儿,10
期待,9
失业,9
获得,9
大鹏,9
合法,9
至今,9
毕业,9
盼复,9
婚检,9
别人,9
以前,9
分会,9
市场,9
能够,9
近期,9
江西,9
工资,9
关爱,9
地点,9
姓名,9
新区,9
影响,9
待遇,9
得到,9
迁移,9
家属,9
房产,9
下来,9
名称,9
劳务工,9
方面,9
年龄,9
地区,9
国家,9
名字,9
现想,9
乘车,9
计划,9
提前,9
想要,9
血亲,9
广西,9
两年,9
出来,9
分支机构,9
带上,8
每月,8
农村户口,8
帮忙,8
照片,8
民政,8
已婚,8
打工,8
盖章,8
伤残,8
大学毕业,8
非常,8
发放,8
现有,8
随迁,8
对象,8
外地人,8
照顾,8
入伍,8
清楚,8
海葬,8
声明,8
购买,8
法定,8
发展,8
事情,8
如下,8
经济,8
梅州,8
困难,8
很多,8
两人,8
服役,8
有效期,8
暂住证,8
显示,8
办事,8
办好,8
办法,8
加拿大,8
行业协会,8
开办,8
不同,8
三代,8
周六,8
补助,8
救助,8
员工,8
不用,8
转移,8
期间,8
手上,8
老年人,8
回老家,8
年底,8
武汉,7
业务主管,7
保险,7
com,7
标准,7
俱乐部,7
加盖,7
死亡,7
补助金,7
来自,7
残疾人,7
下载,7
蛇口,7
先生,7
身份,7
补贴,7
限制,7
补领,7
正常,7
通知,7
后来,7
完成,7
医疗,7
干部,7
福利院,7
同一个,7
我于,7
我俩,7
我要,7
挂靠,7
请教,7
律师,7
举行,7
当天,7
乘坐,7
出示,7
打印,7
一份,7
中心,7
中指,7
原籍,7
回答,7
技术,7
湖南人,7
当场,7
就业,7
处理,7
市民,7
更改,7
去世,6
大型,6
收到,6
同意,6
同志,6
直系,6
安徽,6
城市,6
房子,6
合影,6
真的,6
只带,6
刚刚,6
可能,6
以内,6
护照,6
戶口,6
沈阳,6
修改,6
备案,6
小区,6
条例,6
就行了,6
儿子,6
特别,6
前往,6
暂住,6
基金会,6
基本,6
公证,6
公安局,6
务工人员,6
旁系血亲,6
申领,6
公民,6
国内,6
河南,6
家人,6
方便,6
未婚妻,6
江苏,6
社会保险,6
一个月,6
The,6
租赁,6
职业,6
退休,6
陕西,6
丧偶,6
退役,6
等级,6
超过,6
一本,6
事项,6
今年年底,6
