编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
33747,"违法建筑无牌无照经营黑餐厅,龙岗区政府暗藏隐患。",市国土资源和房产管理局,2006.11.21,2006.12.22,"位于布吉龙珠花园B区地下停车场改装一违法餐厅无牌无照已经经营一个多月了， 生活在龙珠花园的居民投诉一个多月了(深圳市国土资源和房地产管理局，龙珠花园问题工作组)，也没有相关部门管管和取缔此处的违法建筑餐厅并且无牌无照经营。此餐厅是龙珠花园B区地下停车场，该花园的物业和社区居委会违规操作将地下停车场改做由物业控制的无牌无照经营的黑餐厅。该黑餐厅经营一个多月了，餐厅垃圾在花园内满地横流，晚上经营到凌晨4点多，经常在此处打架斗殴，划酒船，干扰居民正常生活。在2006年11月8日晚上9点30分左右，该餐厅又一次集众打架斗殴，将一名人民日报记者打倒在地， 该记者在该餐厅吃完饭， 向餐厅索取发票，餐厅告诉说没有发票并态度恶劣，蛮横， 人民日报记者与餐厅辩理并亮出了自己的身份时， 却糟到了该餐厅的老板及员工拳打脚踢，将记者打倒在地， 头破血流， 最后记者终于打了110报案，警察来了才停止了餐厅人员对记者的继续攻击。此处的违法建筑无牌无照经营黑餐厅严重干扰了居民生活并给居民带来人身安全隐患，这些问题的出现都与基层政府单位和现行的龙珠花园新港物业管理公司有关，有关新港物业管理混乱，欺压打业主，乱收费，违法违规操作经营，在花园内抢建违法建筑已向政府主管部门反应和投诉多次，没有政府主管部门认真负责的管到底，新港物业继续从事他的违法活动。 请相关政府部门管管并取缔违法建筑无牌无照经营黑餐厅和新港物业。
		","关于无牌无照经营黑餐厅问题请向工商部门反映，违规改造问题请向查违办反映，新港物业管理混乱问题请向龙岗区住宅区反映。感谢您对我市国土和房产管理工作的关注。
		
		",0.0
31753,关于申请2007年公共租赁房相交问题的困扰,市国土资源和房产管理局,2008.01.16,2008.03.06,"国土资源房产管理局负责人: 你们好!本人很渴望今年申请到公共租赁住房,但是在填写表格需要提交的资料时遇到一些困扰急需咨询解决:1.社会保险证明书:我们在打印社会保险缴纳清单盖章上出现了问题,我妻子(单位缴费)在布吉社保局打印完单后要求盖公章时,办事员不同意盖,她说要所属单位出示介绍信证明书才可以盖章.而我(个人缴费)在龙岗社保局打印清单及盖章就一路绿灯.我们想不通:为什么布吉社保局一定要看到单位介绍信才能盖章吗?而龙岗社保局就不要介绍信呢?其二:社会保险证明为什么要我们本人提供,其实这些资料在电脑上输入社保号就能查到,何必多此一举?2.我在本网站咨询服务窗口2007年12月26日曾经咨询一次:咨询回执编号:20071226260196但至今没得到回复.就像布吉社会保险局这样的国家事业单位都这么难以置信不肯盖章,我们回去求助已经离职几个月甚至一年的外资公司出我的收入证明也就更难于登天了.我现在真得不知怎么办?谢谢你们给予回复.
		","您好，开具社会保险证明的具体有关事项归属社保局负责，而申请家庭须提供社保证明是为了便于审核您家庭的收入，而要求单位出具的收入证明可以用您的工资清单代替。
		
		",0.0
33746,"违法建筑无牌无照经营黑餐厅,龙岗区政府暗藏隐患。",市国土资源和房产管理局,2006.11.21,2006.12.22,"位于布吉龙珠花园B区地下停车场改装一违法餐厅无牌无照已经经营一个多月了， 生活在龙珠花园的居民投诉一个多月了(深圳市国土资源和房地产管理局，龙珠花园问题工作组)，也没有相关部门管管和取缔此处的违法建筑餐厅并且无牌无照经营。此餐厅是龙珠花园B区地下停车场，该花园的物业和社区居委会违规操作将地下停车场改做由物业控制的无牌无照经营的黑餐厅。该黑餐厅经营一个多月了，餐厅垃圾在花园内满地横流，晚上经营到凌晨4点多，经常在此处打架斗殴，划酒船，干扰居民正常生活。在2006年11月8日晚上9点30分左右，该餐厅又一次集众打架斗殴，将一名人民日报记者打倒在地， 该记者在该餐厅吃完饭， 向餐厅索取发票，餐厅告诉说没有发票并态度恶劣，蛮横， 人民日报记者与餐厅辩理并亮出了自己的身份时， 却糟到了该餐厅的老板及员工拳打脚踢，将记者打倒在地， 头破血流， 最后记者终于打了110报案，警察来了才停止了餐厅人员对记者的继续攻击。此处的违法建筑无牌无照经营黑餐厅严重干扰了居民生活并给居民带来人身安全隐患，这些问题的出现都与基层政府单位和现行的龙珠花园新港物业管理公司有关，有关新港物业管理混乱，欺压打业主，乱收费，违法违规操作经营，在花园内抢建违法建筑已向政府主管部门反应和投诉多次，没有政府主管部门认真负责的管到底，新港物业继续从事他的违法活动。 请相关政府部门管管并取缔违法建筑无牌无照经营黑餐厅和新港物业。
		","关于无牌无照经营黑餐厅问题请向工商部门反映，违规改造问题请向查违办反映，新港物业管理混乱问题请向龙岗区住宅区反映。感谢您对我市国土和房产管理工作的关注。
		
		",0.0
29701,关于微利房办理房证事宜,市国土资源和房产管理局,2008.10.14,2008.11.04,"本人原是国防科工委广东企业局的一名职工，1995年由本单位购得南山区松坪村住宅区一套三房一厅的房子（购房合同号：31330700），并按相关条件分配予本人，并签订了购房合同支付相关房款。由于工作的变动，本人现想出售此房产，请问是否可以申请办理房产证并进行交易，如与购房者签订购房合同并公证，是否可以一次性将房产证办理至购房者名下。另：需向什么部门申请，需提供哪些相关资料。请告之，谢谢！！！
		","单位将此松坪村住宅分配给你，办理了房改手续吗？按规定程序如下：先到福田区莲花二村市住宅售房中心办理房改批复后办理绿本房地产证，再安居房换证（红本）后，你才能将此房产出售。具体详细情况请打电话83207144咨询。
		
		",2.220446049250313e-16
30883,关于珠江旭景家园,市国土资源和房产管理局,2008.05.22,2008.05.27,"信访主题： 关于旭景佳园 信访内容： 最近在坂田的珠江旭景佳园买了套房子，开发商指定业主固定电话只能用铁通的，上网只能用""E家宽""，此行为是否属于垄断，这种无理行为作为业主的我们可以通过什么途径解决问题，难道我们买了房连选择权都丧失了？这种对网络使用以及电话/电视的垄断,在合同中并未注明,在追问下售楼处才承认说网线电话线等已布好,不能改,不能自己拉线,会影响外观等等借口。线路接好要换网络营运商的话,一样可以!前几天据了解旭景佳园开发商还在7、8、9栋建烟囱，这个属于违章建筑吧！ 答复时间： 2008-05-22 答复内容： 一、关于来函反映的电话及电信网络的问题，建议来函人直接向政府电信主管部门反映。 二、关于来函反映旭景家园开发商在7、8、9栋建烟囱属“违法建筑”的问题，建议由分局信访室转规划、行政执法主管部门处理。 上述答复内容中的“政府电信主管部门”具体名称是什么部门
		","请向市长专线电话办咨询。
		
		",2.220446049250313e-16
31321,是否对深圳市辰新物管公司三级资质证书作了注销没有？,市国土资源和房产管理局,2008.04.22,2008.05.06,"深圳市国土资源及房产管理局: 深圳市辰新物管公司在仙桐御景小区前期物管合同期满(2005年12月31曰)己达二年多，并在2005年资质年审不合格。但，却一直拒不退出，霸佔着小区，強行管理服务。至今不移交資料，不给业委会经费，拒绝财务审计，等等。且管理质量很差，如今小区不时发生失窃，草木枯死，一片凋伶，业主们怨声载道，強烈要求把辰新物管趕出去。 根据2002年12月重新发布的<<深圳市物业管理资质管理規定>>第四点第4項規定:""年审不合格的单位，可以在收到书面通知后三个月内重新年审一次，仍不合格的，终止持证期限，给予降级或注销资质证书的处理""。那么，请问: 1.辰新物管公司2005年资质年审不合格，他有无在規定时间内申请重审，重审的情况怎么样？ 2.辰新物管资质不合格，形同无资质，竞然在仙桐御景小区強占管理二年多，且一直在違規，我们曾多次強烈要求注销其資质，是否作了注销其资质证书的处理？ 3.如未作注销，那为什么？ 特此咨询 仙桐御景家园业委会 陈尔明 2008.04.22.
		","根据你的问题答复如下：1.《深圳市物业管理资质管理规定》已经于2005年1月24日废止（深国房【2005】33号），资质管理执行建设部的《物业管理企业资质管理办法》。2.我局对2005年辰心物业公司的资质年审结果是“需整改”而不是不合格，后根据辰新公司补报的材料，我局给予“年审合格”。3.在年审过程中对于辰新物业公司的其他违法违规问题，我局做了相应处罚。4.根据相关法律法规，辰新物业公司不具备注销其资质的条件。
		
		",4.440892098500626e-16
32237,房地产转移登记,市国土资源和房产管理局,2007.11.30,2007.12.25,"您好！感谢您在百忙中回复我的问题。请问：我有一处房产要转移登记，有房产证，房产交易金额可否低于房产证金额或以房产证原价交易？如不行是否要找相关机构进行房产交易金额的估价，现金交易是否需银行监管，如对方不能一次性交齐房款，首次需交几成房款，余款是否要和银行签定房屋按揭合同？谢谢！
		","您好！《房地产证》上的登记价以《深圳市房地产买卖合同》中双方约定的价格为准。资金监管和首付事宜请向相关银行咨询。感谢您的来访！
		
		",6.661338147750939e-15
30543,有关购房合同,市国土资源和房产管理局,2008.07.02,2008.07.08,"你好： 我想咨询以下几个问题 1、开发商在宣传资料上注明的是赠送面积，而实际购房合同上是要计算面积。该如何处理。 2、深圳市住宅物业管理服务收费指导标准中注明10层以下为多层、10层以上为高层。在当一个小区，既有多层，又有高层，收费是否可以全部按照高层收费。 3、三级物业管理资质的收费按2.8元/平方米是否合理？ 4、低于5万平米的，物管用房不得低于100平米，而合同上只有80平米，是否合法？ 如果以上存在不合理的情况，为什么预售合同可以通过政府部门审核备案？
		","您好，您反映的关于《深圳市房地产买卖合同》经济纠纷一事，我局认为，买卖合同双方都必须遵循市场经济的法治精神，严格履行自己的义务，如出现经济纠纷，应依据双方签订的《深圳市房地产买卖合同》，由买卖双方协商解决。如协商不成，建议向仲裁部门申请仲裁或通过向人民法院提起民事诉讼的途径解决。
		
		",4.8627768478581856e-14
32699,諮詢金僑花園,市国土资源和房产管理局,2007.10.24,2007.11.12,"　我的一朋友也屬於下文中所述說的情況，他是99年買的金僑花園的房子，一直沒拿到房產證，但現必需把房子轉手買掉，請問這樣的情況能轉嗎？需要如果辦理才是有效的轉賣了。謝謝　　朱先生告诉记者，他购买的是金侨花园的一套房子，1999年6月22日交款，7月1日交付使用，但至今未有房产证，到国土局查档显示，该房子的房产证尚未办理。据悉，该楼盘1993年12月8日已验收合格交付使用。由于购买新房的部分业主没有付清房款，1997年11月，开发商深圳市宝东地产开发公司和深圳金鹏（集团）股份有限公司根据相关法规向拖欠楼款的188户业主收回房产。收回房子后，开发商又将房子再次卖出，朱先生购买的就是这188户房子之一。朱先生说，该小区除了这188户，其他的业主大部分已经领到房产证。
		","您好！关于您所反映的问题，现答复如下：根据《深圳经济特区房地产转让条例》及相关文件规定，您所购买的金侨花园房产在付清全部房款之后，可携带房地产买卖合同、付清房款凭证、票据及其他相关资料到龙华产权登记点（办公地点在龙华国土所办公大楼内）申请办理产权登记，在领取红本《房地产证》后方可买卖。
		
		",6.257216966787382e-13
31559,关于申请保障房问题,市国土资源和房产管理局,2008.03.04,2008.03.21,"问题：1、本人是在2007年1月8日迁入深圳，老公是在2005年3月21日迁入深圳。双方迁入时间是否符合申请保障房的规定？2、亲戚义本人名义购买房产而且房产证还挂着本人名义直至现在。2、①房产证是否要改掉本人名义，才能有资格申请保障房？②还是等居委会上门调查证明房产不属本人财产？免得亲戚因本人申请保障房而花费过户费。谢谢回复！
		","您好，1.您户籍迁入时间不符合本次保障性住房要求户籍时间；2.只要是申请人和共同申请人名下的房产都将认定为申请家庭的房产。如果是给亲戚挂名，你家庭希望申请经济适用住房，就尽快改名，本次要求至少2003年前转让的才能申请。
		
		",1.9730883593638282e-12
