编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
33739,质问深圳市卫生系统人事制度改革,深圳市人力资源和社会保障局,2006.11.24,2006.12.25,"今年8月29日，深圳市人事局出台公布了《深圳市卫生系统医疗事业单位人事制度改革实施方案》。其中有以下几条：1．现在编干部全部办理职员聘用（聘任）手续，由事业单位法定代表人与其签订职员聘用合同。没有适合的职员职位时，也应签订职员聘用合同，有关工资福利待遇，按职员管理办法有关解职待聘规定执行。2．现在编工人身份人员受聘到专业技术岗位或管理岗位满5年的，在本单位职员职数许可范围内，可直接办理职员聘用（聘任）手续，不愿聘用为职员的签订雇员合同；职员职数不足的，应采取竞聘的方式聘用为职员；如竞聘不上职员职位的，则签订雇员合同或进入后勤服务企业。其他在编工勤人员全部签订雇员合同或进入后勤服务企业。3．2004年8月1日之前在编在岗的工勤人员，签订雇员雇用合同，具体管理制度按“老人老办法”的原则处理。 该《方案》有以下的几点偏颇处： ??? 1．现在全国到处都强调打破干部和工人的界线，而深圳市人事局出台公布的这份《方案》，就是要强调干部是上帝，而工人是下人。只要是干部的就有免死金牌，全部办理职员聘用，不管有无适合职位，而工人则要满5年和应采取竞聘的方式聘用为职员，其他在编工人员全部签订雇员合同。难道说干部真是天生上等人，为什么不采取全员竞聘，择优聘用为职员。 ??? 2．法不涉及即往，本《方案》是今年8月29日出台，而2004年8月1日之前在编在岗的工人，签订雇员合同后，其具体管理制度按“老人老办法”的原则处理。为什么不将时间定在2006年8月29日该《方案》出台的时间。我记得前几个月深圳幼师改革方案定“老人老办法”的时间是深圳幼师改革方案出台日期。这是否要考虑一下公平的问题。
","你的信件全是乱码。
		
		",0.0
28159,专业技术职务聘任,深圳市人力资源和社会保障局,2009.06.24,2009.07.03,"您好，我想咨询有关专业技术职务聘任的问题：我于2002年大学本科毕业后（计算机应用专业）通过人事局调入到我市某市属自筹事业单位对口专业工作，直接入该单位自筹事业编制，毕业后一直在该单位工作，已有7周年以上，于2003年“初次认定助理工程师”并获得聘任，于2006年12月参加国家组织的计算机软件资格考试获得“信息系统项目管理师”证书，该证书上注明为“技术资格：高级”，接着又通过了职称外语等级考试（综合类A级），以上证书均为深圳考试中心报名参考，证书也已发到本人手上。 我现在需要咨询的是：1、我所取得的“信息系统项目管理师”证书，在我市特别是在贵局办理专业技术职务聘任手续的时候，是否可以当作高级职称资格证书来用，并受聘高级专业技术职务（注：我已具备相应的职称外语条件），如果不行的话还缺什么条件？如果行的话，那这个证书可以受聘正高级还是副高级还是不分正副的高级专业技术职务？如果是不分正副的话，那他套用的级别和待遇是相当于正高级还是副高级？[相关文件可参考人事部2003年发的39号文]2、我所在的单位是市属自筹事业单位，聘用高级专业技术职务是否要到贵局办理手续？要的话，大概要办哪些手续，如果不用的话，又大概需要到哪些部门办理哪些手续？3、请注意：我在这家市属自筹事业单位的工作年限已有7周年以上，期间仅受聘了助理工程师专业技术职务，在2006年获得“信息系统项目管理师”证书之前，中间没有获取任何中级职称证书，也没有受聘任何中级专业技术职务，在这种情况下，我是否可以直接受聘高级专业技术职务？如果不行的话，还需要什么条件？ 我的问题比较多，还请多多谅解和耐心回复，衷心感谢并等候您的回复。 另：可否麻烦您将回复发到我的邮箱wzhh999@sz.gov.cn，同时不要将所咨询的问题公开？
","1、根据有关规定，目前只有全额和差额拨款性质的事业单位在聘任时需人事部门核准，自筹性质的事业单位聘任专业技术人员由其单位自主聘任。2、“信息系统项目管理师”证书不属于专业技术人员的高级职称资格证书。
",0.0
27034,如何办理，到哪里办理？,深圳市人力资源和社会保障局,2011.01.25,2011.01.28,"你好！ ? ???昨天看到一个消息，如下：?? 2010年第23期（总第703期） 您现在的位置：   var s = '<a href=""../../../"">首页</a>?>?<a href=""../../"">2010年政府公报</a>?>?<a href=""../"">2010年第23期（总第703期）</a>';; var dept = ""政府公报""; var arr = s.split('</a>'); var sb = '<a href=""/"">首页</a>?>?'; if(arr.length>2){ s = s.replace(""首页"",dept); } document.write(sb+s);  首页?>?政府公报?>?2010年政府公报?>?2010年第23期（总第703期） 中共深圳市委深圳市人民政府关于实施人才安居工程的决定 文号：深发〔2010〕5号 。。。。。。。 ?  ? ????  ?（四）中初级人才。国内外全日制高校毕业生，取得学士以上学位，其中博士在35周岁以下，硕士在30周岁以下，学士在25周岁以下，凡在深圳未拥有任何形式自有住房的，凭所签订的工作合同、缴纳社会保险证明等，可申请租住公共租赁住房或领取租房补贴。租房补贴的标准是：博士为1000元/月，硕士为500元/月，学士为200元/月。连续享受租住公共租赁住房或领取租房补贴期限最长不超过3年。  。。。。。 我想咨询一下，这个需要到那个部门去申请呢？具体地址是哪里？ ? ? ????? 谢谢！ 
","你好。我局主要负责人才安居工程的人才认定工作，涉及有关补贴申请及发放等具体事宜，请向住房保障部门咨询。
",0.0
5389,入户审批效率,深圳市人力资源和社会保障局,2016.12.07,2016.12.09,"请问目前代理机构中心区分部提交给人社局的入户审批资料还有多少待审批，所谓的受理之日15个工作日内解决，根本就是不管收到资料多久从开始审批当日算起，这样看来办理时间岂不是根本没有上限。代理机构办事人员说资料早已提交，是人社局审核太慢了。12333打了也是无人管。烦请各位领导帮忙核实查清楚还未审核数量以及目前进度，谢谢
		","你好，根据人才引进办事指南，人才引进业务由人力资源保障部门自受理申请之日起15个工作日内对书面申报材料进行审批，并作出是否同意的决定。如在审批过程中存在需要进一步核查的事项，审批时限可适当延长，但最长不超过30个工作日。
鉴于你是通过代理机构办理人才引进业务，具体受理日期请与相关代理机构确认。如有疑问，请拨打12333咨询。
",0.0
26618,深圳市员工工资支付与扣减,深圳市人力资源和社会保障局,2011.10.08,2011.10.24,"我想咨询一下几个问题： ??? 1.我们是计时工作制的，每周正常上班5天每天8小时，其它时间算加班，如果我请假2天不仅这2天的基本工作没有，还要另外在加班在时间里面扣除16个小时，如果平时加班时间不足16个小时，就拿周末加班时间来补足。经常有同事就因为请假结果工作就几百元。还经常拿周末加班与正常工作日来调休。这样扣加班费合法吗？ ??? 2.大运会开闭幕式当天工资是不是应该按法定节假日标准来支付？ ??? 3.2011年10月1日 - 3日是法定节假日，那么4日- 7日上班工资应该怎样支付呢？8日 - 9日（周六、周日）工资又该怎样算呢？是算正常上班还是双倍工资呢？
","你好。 ? 根据劳动法相关规定，用人单位安排员工在休息日加班，事后安排同等时间补休的，可以不支付加班工资；用人单位安排员工在法定休假节日工作的，应当按照不低于员工本人正常工作时间工资的百分之三百支付加班工资，不能以安排补休来代替支付加班工资。 ? 根据《深圳市员工工资支付条例》第十九条规定，实行综合计算工时工作制的员工，在综合计算工时周期内，员工实际工作时间达到正常工作时间后，用人单位安排员工工作的，视为延长工作时间，按照不低于员工本人正常工作时间工资的百分之一百五十支付员工加班工资。 ??? 用人单位安排实行综合计算工时工作制的员工在法定休假节日工作的，按照不低于员工本人正常工作时间工资的百分之三百支付员工加班工资。 ??? 第二十条 用人单位安排实行不定时工作制的员工在法定休假节日工作的，按照不低于员工本人正常工作时间工资的百分之三百支付员工加班工资。 ??? 第二十一条 员工在法定休假节日期间休假的，用人单位应当支付工资。 ??? 实行小时、日工资制和计件工资制的员工在法定休假节日期间休假的，用人单位应当按照不低于员工本人正常工作时间工资的标准，支付其法定休假节日期间的工资。 根据《深圳市员工工资支付条例》第三十四条规定，用人单位可以从员工工资中扣减下列费用： ??? （一）员工赔偿因本人原因造成用人单位经济损失的费用 ??? （二）用人单位按照依法制定的规章制度对员工进行的违纪经济处罚； ??? （三）经员工本人同意的其他费用。 ??? 用人单位每月扣减前款第（一）、（二）项费用后的员工工资余额不得低于最低工资。 ? 关于大会运放假及调休的问题，政府有关部门已发文作出规定，如因放假及工资发放问题引发争议的，建议向当地人力资源部门反映或申请仲裁。 ? 根据《深圳市员工工资支付条例》第十八条的规定，用人单位有下列情形之一的，应当按照下列标准支付员工加班工资： ??? （一）安排员工在正常工作时间以外工作的，按照不低于员工本人正常工作时间工资的百分之一百五十支付； ??? （二）安排员工在休息日工作，又不能安排补休的，按照不低于员工本人正常工作时间工资的百分之二百支付； ??? （三）安排员工在法定休假节日工作的，按照不低于员工本人正常工作时间工资的百分之三百支付。 ?  附：各部门联系电话及地址： 市人力资源保障局??? 电话：12333???? 地址：深南中路1025号新城大厦东座 市社保局??????????? 电话：12333???? 地址：福田区彩田南路2038号社会保险大厦 罗湖区人力资源局??? 电话：25438399?地址：沿河北路2019号 福田区人力资源局??? 电话：82918291?地址：福民路福田新区委大门右侧 南山区人力资源局??? 电话：26665374?地址：深南大道南山劳动大厦 盐田区人力资源局??? 电话：25228211?地址：深盐路盐田新区委大楼4楼 宝安区人力资源局??? 电话：29990000?地址：宝安新城22区新安三路65号劳动办公大楼 龙岗区人力资源局??? 电话：28917170?地址：龙岗区中心城龙翔大道27号 光明新区社会建设局?电话：88211835?地址：光明新区碧翠路1号（龙大高速光明出口对面） 坪山新区社会建设局?电话：84622204　地址：坪山新区深汕路坪山段583号坪山新区管委会大楼 如有疑问，请拨打人力资源保障服务热线12333咨询。
",0.0
26538,调干咨询,深圳市人力资源和社会保障局,2011.11.17,2011.11.18,"? 由于我们公司是外商分支机构，公司无法设立集体户口。于是我是以调干方式通过第三方中介机构（深圳深劳人力资源公司）申请入深户，从准备资料到拿到调令，从8月初到10月底，花费了3个月的时间，11月初拿到了10月20几号批到的调令。? 但是，中介机构通知说必须找亲友挂靠，原因是9月1号起有新的户籍政策，需要我在挂靠单位至少交满3个月的社保，但是我的社保一直是在我工作单位缴的，并且中介机构也因为不确定我的调令是否能审批下来没有通知我社保的事情，然后叫我去罗湖公安分局咨询。???  ??? 后来我去罗湖公安分局咨询，人口科咨询的人员告诉我按照挂靠中介机构的方式去准备资料，我当时特意提醒说我的社保不在入户公司，工作人员说我只要去准备齐资料就行。然后我回公司开了《无法设立集体户证明》，《房产信息查询》，与中介机构的《人事代理协议》，以及回原户籍地开《户籍证明》（因为我原来户口是在陕西省西安市的集体户口无法提供户口本）。于11月15日去罗湖公安分局户籍科排号办理，早上7点50分到达公安局后拿到了110号，然后又在上午到咨询台请工作人员重新帮我提前审查下材料，工作人员帮我检查无问题后还帮我整理好了资料等待窗口办理。? 到下午4点钟在人口科的6号窗口递交了我的材料，但是办事人员查了我资料后告诉我社保没有在入户公司缴纳，无法办理准迁证。? 后面我没有办法又去找中介公司，他们说现在也来不及转社保，叫我找亲友挂。 我找了2天，没有亲戚在深圳，而有深户的同事朋友也不确定挂靠后有什么不利的地方，所以至今未能找到可以接收我的户主。? 如果今年办不成，我的一切关系将退回原籍，明年以个人名义重新申请，所有的资料和证明都需要重新办理，由于户籍地在西安离深圳很远，需要花费大量时间和路费去办理。? 请问我是否可以继续挂靠调令上所显示的公司(深劳人力资源有限公司)?或者我可以改挂在深圳人才交流中心? ????????????????????????????????????????????????????????????? 
","你好。 相关问题请参阅http://www.szhrss.gov.cn/bsdt/grbs/rlzyyj/bszn/201111/t20111114_1767442.htm。 具体情况请向公安部门及中介机构咨询。 招调人员迁入人力资源中介机构集体户须知（试行） 一、申请条件 　　与我市人力资源中介服务机构的人事代理关系合法有效，以个人申报方式入户的人员无迁入家庭户(含挂靠) 条件的，或以单位申报方式入户无迁入家庭户（含挂靠）和用人单位集体户条件的，可迁入代理入户的人力资源中介服务机构集体户。 　　二、需提供的证明材料 　　1、按照招调人员入户须知提供入户材料； 　　2、人事代理合同复印件并交验原件（单位委托代理的，提供加盖代理机构或用人单位印章的有效人事代理协议复印件不验原件，指标卡未体现用人单位的，需提供加盖用人单位公章的申请名单或社保单）； 　　3、市（区）房屋登记中心出具的证明申请人及配偶无房的房屋产权信息查询单； 　　4、用人单位出具的加盖公章的无法开立集体户的书面说明（单位申报人员提供）。 　　三、办理程序 　　申请人持以上材料到拟入户地公安分局户籍窗口提出申请，民警审核无异议的现场办理。 　　深圳市公安局人口管理处2011年11月印制 ?
",0.0
26485,拖欠工资,深圳市人力资源和社会保障局,2011.12.12,2011.12.14,"? 我于2011年10月15日-11月15日在深圳市智库互联科技开发有限公司工作，面试的时候经理跟我说每个月是2000元的工资，外加提成，15日-31日的工资的确是按照2000元的标准发放的，于次月的13日我拿到1000元的工资，第二个月我因为没有业绩因此底薪降至1500（降工资没有经员工同意），我于11月15日离职，现在我拿到的工资仅有180元，也没有为我买保险和签订劳动合同。问公司的财务，她说因为我没有业绩所以要扣我的差旅费和车费。因此我只得180元，被扣了570元，我想问一下这样合法吗？如果不合法怎么申请劳动仲裁呢？我没有合同也没有工资单，只有公司给我印的名片。我是今年深圳信息学院的应届毕业生，刚踏出社会什么都不懂，希望有人能够帮到我。
","你好。 根据《中华人民共和国劳动合同法》第十条规定，建立劳动关系，应当订立书面劳动合同。??? 已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。 根据《深圳市员工工资支付条例》第三十四条规定，用人单位可以从员工工资中扣减下列费用： ??? （一）员工赔偿因本人原因造成用人单位经济损失的费用 ??? （二）用人单位按照依法制定的规章制度对员工进行的违纪经济处罚； ??? （三）经员工本人同意的其他费用。 ??? 用人单位每月扣减前款第（一）、（二）项费用后的员工工资余额不得低于最低工资。 ? 如用人单位违反劳动法有关规定的，请直接向当地人力资源保障部门反映。 附：各部门联系电话及地址： 市人力资源保障局??? 电话：12333???? 地址：深南中路1025号新城大厦东座 市社保局??????????? 电话：12333???? 地址：福田区彩田南路2038号社会保险大厦 罗湖区人力资源局??? 电话：25438399?地址：沿河北路2019号 福田区人力资源局??? 电话：82918291?地址：福民路福田新区委大门右侧 南山区人力资源局??? 电话：26665374?地址：深南大道南山劳动大厦 盐田区人力资源局??? 电话：25228211?地址：深盐路盐田新区委大楼4楼 宝安区人力资源局??? 电话：29990000?地址：宝安新城22区新安三路65号劳动办公大楼 龙岗区人力资源局??? 电话：28917170?地址：龙岗区中心城龙翔大道27号 光明新区社会建设局?电话：88211835?地址：光明新区碧翠路1号（龙大高速光明出口对面） 坪山新区社会建设局?电话：84622204　地址：坪山新区深汕路坪山段583号坪山新区管委会大楼 ? ? 关于申请劳动争议仲裁相关问题，请参阅http://www.szhrss.gov.cn/bsdt/grbs/ldwq/有关指引。 ? 如有疑问，请拨打人力资源保障服务热线12333咨询。 ? ?  ? ? ?  根据市政府办公厅对“政府在线”网上咨询投诉专栏的分工要求，有关社会保险方面的问题，请直接向市社会保险基金管理局提出。为保障您的问题能得到及时处理，请您登录http://www.sz.gov.cn/cn/hdjl/zxts/wyzxts/选择“市社会保险基金管理局”页面提交信息，或拨打人力资源保障服务热线12333反映。
",0.0
29184,市外引进人才专业技术资格流动审核,深圳市人力资源和社会保障局,2009.02.16,2009.02.26,"人事局的同志： ? ??? 您好！ ? ??? 在这里我想咨询有关市外引进人才专业技术资格流动审核的问题。 ? ??? 我的情况是这样的：我于06年9月取得黑龙江省齐齐哈尔市颁发的助理工程师资格证书，我07年8月调干，户口迁入深圳，当时并没有在公司办理市外引进人才专业技术资格流动审核。我于07年12月31日辞职，一直待业在家，我想咨询一下，现在在我没有工作的情况下，应该如何办理专业技术资格的审核？我想报考有助理工程师要求的雇员（福田区本次招考的专业技术类雇员），不知道是否可以报考？我的证书是齐齐哈尔市人事局颁发的，不知道是否可以在考取之后由福田区的用人单位办理专业技术资格的流动审核？ ? ??? 盼回复，谢谢！ ? ? ? ?????????????????????????????????????????????????? 2009-02-16
","省外取得的专业技术资格审核分为调入前审核和调入后审核，至于你符不符合报考福田区雇员，你要咨询福田区有关部门。
",0.0
5924,关于取消调令入户的办理时间,深圳市人力资源和社会保障局,2016.11.29,2016.11.30,"1. 基本情况说明：本人2011年应届毕业生拿到入户深圳的调令，但是由于各种原因未办理入户，在2016年计划办理积分入户，系统提示有历史调令。经过咨询得知需要取消之前的调令才可以办理积分入户。 2. 过程说明：9-29号前往深圳市人才园现场办理取消调令的程序，现场准备好所需材料，答复20个工作日可以办理完毕（大概一个月）；在10-31时发现调令还未取消，本人又前往现场咨询，答复说需要一个月多一点时间。但是截至11-29，调令仍然未取消，已经过去两个月。 3. 由于调令取消只能去现场咨询，但是以目前的情况来看，效率很低。而我每次去都是无功而返，希望咨询一下目前的进度以及办理时效。
		","你好，相关问题已转我局有关部门处理并回复。感谢你的来信。
",0.0
6277,到底我要怎么重置或者取消以及解锁金融社保卡密码？,深圳市人力资源和社会保障局,2016.11.19,2016.11.21,"因为我老版的深圳社保卡突然有一次莫名其妙要输入密码了，我也不记得是否设置过使用密码了，但之后就一直去医院看病使用时提示需要密码，有一次因为不能使用社保卡的原因打12333进错语音提示给挂失掉了老版的社保卡，之后又补办了张新卡，结果发现仍不能使用，不久遇到公司发公告说要换成新版的金融社保卡，就又办理了张金融社保卡，社保局去查询个人信息都是正常的，卡片已经激活，缴费以及余额无异常，去医院看病仍要输入社保卡密码，社保窗口告知无法重置或者取消掉密码，打12333客服告知说要在招行自助终端上取消密码，但实际去了招行营业厅以及询问招行客服，都被告知银行的自助终端也取消不了社保卡密码，那么我在不知道密码的情况下，应该到哪里去取消或者重置密码？
		","你好，相关问题已转我局有关部门处理并回复。感谢你的来信。
",2.220446049250313e-16
