编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
18131,正常居住多年却无法办理新版居住证,深圳市公安局,2015.08.11,2015.08.14,"尊敬的领导：您好！我1997年来深圳工作，,每年按时办理半年期的暂住证，2004年开始一直住在公司宿舍。并于2008年申领了深圳市第一代居住证,是有效期10年的正常使用功能的居住证!本人又在2012年换领新的第一代居住证（原15位的身份证号变更为18位的身份证号）。今年6月1号深圳市实行新的居住证政策,公司为我准备办理新证业务时,却告诉我由于公司住宿舍的人员，一直没有深圳市的居住登记信息，所以办不到新版的居住证（以前房管所只负责出租屋的登记，不负责公司宿舍人员的登记），要办理就要现在重新登记,等12个月以后才能申请办理新版居住证!本人到派出所查看本人的第一代居住证，显示于2015年2月过期，旧证无法使用，本人真是欲哭无泪。事实上，我自2001年开始购买养老保险至今已有175个月，在深圳居住也有18个年头了，因一家老小都住在公司宿舍，没有办理居住登记，小孩也在深圳上学!如果现在我办不了新版居住证,明年3月份小孩要申请小学学位,没有居住证,也就无法申请学位!据我所知,像我这种情况的人深圳有很多,还请市局领导多关心一下我们这个群体!帮我们具体解决一下这个问题!非常着急!盼复!谢谢!
		","2015年08月14日已电话回复。如有疑问请在工作日拨打户政咨询电话：84465000。
",0.0
19727,关于打印居住证回执单,深圳市公安局,2015.06.08,2015.06.12,"急，请问，我5月31号在观澜派出所办理了居住证，没有给我打印回执，只有一个手写的条，现在我着急需要回执办理深圳市从业资格证，6月6号去观澜派出所户籍科叫他们给我打印一份办理居住证回执单，可是他们说不能打印，我纳闷了，我资料齐全，为什么不能给我打印回执单，因为我的居住证要6月29号才能拿到，如果我拿不到回执单，那么我在这一个月内将什么事都办理不了。现在我非常着急，请问:派出所应不应该给我打印一份回执单呢？
		","2015年06月12日，已转居住证办处理。
你好，经我局龙华分局核查，由于6月1日要实行《深圳经济特区居住证条例》，5月31日派出所出现了群众大量排队办证的现象，为了满足群众办证需求，观澜派出所临时抽调人员借用派出所其他办公室为群众分批办证于派出所临时启用的办公室部分电脑无打印机，打不出回执，所以手写回执方便日后取证。对于手写回执的部分办证群众，派出所工作人员都会先向群众做好解释告知工作。后当事人6月6日来派出所要求打印回执，工作人员向其耐心解释：由于旧的办证系统已经关闭，无法再补打回执。目前，当事人已与6月13日在我分局观澜派出所领证。
",0.0
30700,身份证办理,深圳市公安局,2008.04.22,2008.06.18,"本人因身份证丢失,需补办身份证,去到辖区派出所得知需要35个工作日才可以拿到新身份证,大概就是需要2个月的时间,询问是否有快证?派出所答复没有,询问是否有临时身份证可以办理?派出所说除了高考学生其他不可以办理.我查了当局网页并没有此说明,而且我一个朋友在过年后也是因身份证丢失已经办理了临时身份证(不在同一辖区),请问,临时身份证到底是什么条件可以办理?因本人近期会出差到外地.
		","已电话回复群众。
		
		",0.0
6417,本人在外地，集体户口，办理结婚登记需要户口本首页加盖派出所户籍章,深圳市公安局,2016.11.12,2016.11.14,"本人户口在宝安区沙井新桥派出所，为集体户口，现在在辽宁省沈阳市居住，由于本人需要办理婚姻登记和房屋公积金贷款手续，经婚姻登记处和公积金管理中心咨询后，需提供本人户口本首页加盖户口所在地公章才能办理，由于距离太远，我打电话到派出所咨询，给我的回复是不可能给我出这个手续，理由是我本人有自己的户口本和身份证就可以证明我的身份了，但是办理婚姻登记和贷款需要这个手续才能予以办理，请问这个手续我应该怎么才能得到？我户口首页的复印件已经让在深圳的朋友复印好了，只差盖章。
		","2016年11月9日已电话回复当事人。如需了解具体情况请登录深圳市公安局门户网站：http://www.szga.gov.cn/ZWGK/YWGZ/HJGL/index.htm或拨打深圳市公安局户政业务咨询电话：84465000。我局已开通户政业务网上预约服务，办理业务请登陆http://hzyy.szga.gov.cn/或拨打114进行预约后办理。
?
",0.0
27286,空挂户可否换领身份证？,深圳市公安局,2010.07.19,2010.08.25,"我已经有第二代身份证了，现在就快过期，想换领 请问 1.空挂户可否换领身份证 ? 2.可否在就近的派出所换领 ? 我已经查询过相关资料 得知： 换领身份证：    申请条件:      ?  具有深圳户籍的公民年满16周岁的，按照《中华人民共和国居民身份证法》的规定应当申领居民身份证；未满16周岁的自愿申领居民身份证。    申请材料:      ? （一）申请人在本市相馆摄像并取得《数码照相回执》（换领、补领的可自愿选择提供）（二）提交居民户口簿    申请方式:      ? 首次申领在户口所在地派出所申请，第二次办理二代证可在本市任何一派出所申请办理。    办结时限:      ? 受理申请之日起60日内到申请办证派出所领取。    收费标准:      ? 申领、换领第二代居民身份证收费工本费每证20元，丢失、补领或损坏换领每证收取40元。对城乡低保户、领取国家定期抚恤补助金的优抚对象免收工本费，对因自然灾害、事故、疾病等原因造成生活困难的居民减半收取工本费。
","只要有深圳户口就可以办理身份证
",0.0
31890,二代身份证补办进度查询十分困难！,深圳市公安局,2007.12.25,2008.02.04,"11月下旬我带同事（名字：徐进华）去公安局华富派出所为他办证处补办身份证，今天12月25日快一个月了，我想查询下进度如何？因为他急需身份证办理银行帐号及其他事情，没身份证十分不便。所以我打电话帮他查询，先打了福田公安局，告诉我华富的电话；打了华富，给了我办证处电话；打办证处电话3次，从来无人接（1月25日下午4点15）！！！回执上有说手机查询进度发短信***，可是没说发到哪里？？？电话也打不通，是打通了没人接；所以只能在这里求助，希望能够告诉下进度，他很急用，谢谢！如果方便的话，请告诉他，叫徐进华，电话：13602658673，或者这里回复，我会来看的，谢谢！
		","经电话联系，徐进华证件已拿到。
		
		",0.0
20295,出售二手房后在深圳无房户口如何处理？是否有明文规定？可以随便注销户口吗？,深圳市公安局,2015.05.13,2015.05.14,"本人两年前出让了个人房产，户口挂在该房，但签订合同时没有提及户口问题，也不知道该如何处理，直到最近购房人电话说要我马上迁移户口，说派出所规定必须迁出后他们才能入户，但本人并不知情相关规定，派出所也没有给出明文规定说明此事，但电话勒令7天必须迁移，说可以迁往亲戚和朋友家，并且态度恶劣，还扬言如果超过时间要注销户口、冻结户口，有意造成我办事麻烦。请问深圳有相关规定吗？规定具体内容在哪里可以查到？我这样的情况到底应该追究谁的责任，该如何办理。
		","2015年05月14日已电话回复。
你好，经我局人口处核实，依据《深圳市公安局户籍管理综合类规范》相关规定，出售本人房产后，应及时将户口迁移至本人新房产或单位集体户或挂靠亲友家庭户上，信访人应积极配合派出所户籍民警工作。依据相关规定，如信访人的户口没迁走，新业主将无法在该住址上立户，新业主应主动与前业主沟通办理，如沟通无效，新业主可向派出所民警提出申请，由派出所通知前业主将户口迁出，7个工作日内未配合迁出的，由派出所直接办理。
",0.0
31723,户口迁移,深圳市公安局,2008.01.02,2008.03.07,"我曾在今年6月份前后买到一套二手房，现准备将户口迁进去（我现在是本市户口，在人才市场的），但是原业主的户口还在里面，他不愿意配合迁走。我第一次去公安局办理的时候工作人员通知他了，然后说是15个工作日之后就可以强行迁出去了，叫我再过来办理。15个工作日之后我再去，原业主的户口还是没迁走，工作人员再次通知他，他还是很不配合，在电话里敷衍。工作人员说即使强行迁走，也要原业主来签字。但是既然是强行了，怎么还会叫他来签字呢？原业主肯定不配合这个工作，不会来签字的，那我们是不是就永远都不能把户口迁进我们的房子里呢？ 现在公安局的工作人员叫我去管理处开个我居住的证明，再叫片区民警签字，到时候再过去看。我不知道到时候会不会又不能办理了，到底这方面法律上是怎么规定的？有没有一个明确的办法？尤其是强行迁出还需要本人签字这一点，真是让人很难理解，他既然签字了，怎么还算强行呢？既然要强行，他当然不愿意签字了。 麻烦你们尽快给我回复一下，谢谢！
		","已办理迁户手续。
		
		",0.0
31166,关于夫妻投靠、户口随迁的问题,深圳市公安局,2008.03.16,2008.05.13,"我户口是外地的，和妻子已经结婚两年了，符合夫妻投靠条件，我在原来户口所在地开失业证明时，找到我原来单位（原单位为国有大型企业，有居委会）居委会开证明，居委会只开具“姓名，身份证号码，哪一年到本单位上班，哪一年几月从本单位辞职”等内容，没有写有失业等字样，请问这样的失业证明行不行，如果不行，请咨询：1、失业证明应该有什么单位开具，居委会行不行？派出所行不行？2、失业证明应该怎么写，要有哪些内容，最好能有规范的版本可以参考。谢谢另外，代同事问一下，她老公也有深圳户口，但她一直在深圳一家私人企业打工（不在同一个区，也一直分开居住），并且在深圳买有社保，这种情况算不算分居，可不可以随迁，符不符合投靠的条件
		","已答复。
		
		",0.0
27734,深圳龙华是否可以办临时身份证? 急!,深圳市公安局,2009.09.14,2009.09.30,"??? 我是深圳龙华富士康员工, 为公司集体户口,挂靠油松派出所,昨日不慎遗失身份证,而我一套房子急于过户(卖房),听说补办身份证要2个月,根本等不及! 不知是否可以办理临时身份证?临时身份证是否可以办理过户? ? ? 咨询油松派出所他们说不能办临时身份证,为什么?? ? ? ??如果这样是否可以办""快证"",自己拿派出所证明到区公安局办身份证? ? ?? 请尽快回复,谢谢!!!
","派出所是不可以办临时证！如需办理临时证要在派出所填表后到公安分局人口科办理。三个工作日办结
",0.0
