编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
30007,关于办理卫生许可证收费问题,深圳市卫生和计划生育委员会,2008.09.08,2008.09.16,"本人在西乡一家公司做行政工作,在办理公司食堂卫生许可证时,开始交了餐具检测费、工作人员办理健康证费、还被罚款500元共近2000元了，现在告诉我卫生许可证可以办理了，但拿证时还要交什么卫生评价费800元，末梢水检测费100多元，还有其他一些不知名的收费。但卫生监督所又无法提供物部门批准的收费依据，不知道以上这些收费项目是不是经过物价部门的批准，收费标准又是多少。根据有关卫生法律、法规规定，办理卫生许可证是不收费的。希望有一个明确的答复。企业办理相关证件，交费也要交个明白。
		","你所咨询的问题我局已责成深圳市卫生监督所依法调查并予答复。
		
		",0.0
18118,关于新办卫生许可证 及 复核卫生许可证的咨询,深圳市卫生和计划生育委员会,2015.08.14,2015.08.17,"你好，我想咨询一下，在网上新办卫生许可证，看到需要提供“建设项目竣工验收认可书”，这一项是怎么取得的？是必须提供还是？另，无论复核还是新办卫生许可证，均需要提交“由具备相应资质的技术专业机构出具的公共场所卫生检测报告(含评价)”，此项应该怎么办理？以前办理卫生许可证的时候，只需要到窗口申请以后，相关部门即会查验，并安排工作人员上门（包括评价部门），然后再补交所需材料。今天已到现场取号办理，但答复是必须提交这些东西以后才能办理（与之前的办理方式不同了）。望告知解决方法，谢谢。
		","你可致电0755-82003272我委办证窗口咨询公共卫生类相关事宜，谢谢你的来信。
",1.0040412945500066e-11
9623,深圳一胎，产假多少天，产假工资怎么计算？,深圳市卫生和计划生育委员会,2016.07.18,2016.07.18,"您好，我是深圳一家私营公司的员工，想确切的咨询一下深圳的一胎产假是多少天？（是98+30天吗其中的98天才有产假工资？）另外产假工资的计算是按照平时拿的工资总和计算的吗？因为工资条上分了什么基本工资和福利补助....还是每个月只有2030啊深圳最低基本的工资？？谢谢回答
		","2016年1月1日后生育的，计生方面的假期为符合法律、法规规定生育子女的夫妻，女方享受30日的奖励假，男方享受15日的陪产假。符合现《深圳经济特区人口计划生育条例》晚育条件生育的，还有15日晚育假。在规定假期内照发工资，不影响福利待遇和全勤评奖。假期包括周末及法定节假日。若不执行可向劳动部门提出或直接向法院提出申诉维权。
		
		",6.297851129488663e-11
7474,2016年深圳市产假最新安排,深圳市卫生和计划生育委员会,2016.10.10,2016.10.10,"广东省发文9月26日起，产假调整为178天。请问深圳市会按照省里的通知执行吗？深圳市产假9月26日之后是否按照最少178天来执行？是否还会保留15天的晚育假？
		","2016年1月1日后生育的，计生方面的假期为符合法律、法规规定生育子女的夫妻，符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。符合现《深圳经济特区人口计划生育条例》晚育条件生育的，还有15日晚育假。2016年9月29日后依法生育，以及在此前依法生育且法定生育假期尚未休完的，均可按新条例规定享受80日的奖励假。难产的可再增加30日产假，生育多胞胎的每多生育一个子女增加15日产假。在规定假期内照发工资，不影响福利待遇和全勤评奖。假期从开始之日算起至结束之日，包括周末及法定节假日。若不执行可向劳动部门提出或直接向法院提出申诉维权。
		
		",2.1373112391032123e-08
9534,之前投诉信息回复无法查询回复,深圳市卫生和计划生育委员会,2016.07.21,2016.07.21,"本人之前投诉信息编号20160628-4012-3730426，当时有工作人员打电话回复，我当时向工作人员提出要把回复信息公开，但是一直到今天我都无法在网上查询到我所投诉信息的回复内容，请帮我查询一下，谢谢
		","你好，我委工作人员已于7月21日电话联系，并按依你申请公开相关内容。
		
		",2.47131595187966e-08
8349,违章扩建,深圳市卫生和计划生育委员会,2016.09.10,2016.09.12,"我要投诉的地方是南光村桂花苑枫叶酒店与骄之林之间的湖北餐厅，本来那里是上我们家里的楼梯间，被占用了100多平方，现在装修后又往外面延升了好几米，每天都有城管队员去那里巡逻，但没有一个人去处理，我想知道现在这年头还敢有人搭建，会没有人处理吗？已发送多个投诉窗口，望给予回复，我找不到投诉对应人，只好群发，希望领导认真对待
		","你好，查违非我委职能，建议你向有关部门投诉举报，感谢你的来信，祝生活愉快！
		
		",1.0833981645141932e-07
15071,坪山卫生科袒护坪山人民医院医生欺骗患者误诊给患者留下后遗症,深圳市卫生和计划生育委员会,2015.12.14,2015.12.15,"我舌根上火起了个泡泡去坪山人民医院，口腔科医生刘故乡只是肉眼看下就说是舌乳头瘤，并恐吓我是恶性，没人让患者签字也没说明手术风险就给患者做了手术切下，化验结果只是正常舌根腺泡组织并不是肿瘤，术后舌根因手术疤痕不舒服留下后遗症，多次找医生，医务科。医生和医院态度野蛮粗暴还要打人，多次投诉，坪山卫生科包庇袒护医院，不去医院调查就说医生没错，患者要求鉴定，只因不是医学会，坪山卫生科就不管了要我到法院。如此庸医刘故乡为了钱给患者造成巨大痛苦竟然没有人管得了这位庸医，希望有关领导能去医院调刘故乡，还患者一个公道，别在让他害人了
		","你好，按照《广东省医疗纠纷预防及处理办法》你与坪山人民医院的纠纷需通过医疗损害鉴定予以明确责任，我市卫生计生系为了方便群众，开通了委托市医学会进行医疗损害鉴定，若您觉得市医学会不符合你的意愿，医患双方可自行委托有资质的第三方鉴定机构鉴定或直接通过法律途径维权，谢谢你的来信，祝你早日康复。
",2.6488858817508287e-07
7417,办不下来计划生育证明,深圳市卫生和计划生育委员会,2016.10.10,2016.10.11,"居委会因计生条例细则没有公布，一直不给办理计划生育证明，现怀孕9个多月，10月底的预产期，但公司办理产假手续需提供 计划生育证明才可以，请问我这个情况要怎么办才好？有没有相关部门可以处理或是开具休产假的证明？
		","
广东省人民代表大会常务委员会关于修改〈广东省人口与计划生育条例〉的决定》已由广东省第十二届人民代表大会常务委员会第二十八次会议于2016年9月29日通过，关于再生育的规定已经明确。2016年1月1日以来，已经怀孕或生育第三个孩子的夫妻，可以自行对比新条例的相关规定。如果符合再生育条件，可以补办审批手续，补办后按政策内生育对待。广东省关于再生育审批手续细则正在制定中，下发后我委会尽快组织实施，您可直接到户籍所在街道办理孕检、分娩所需的《深圳市计划生育证明》。
",3.143410669537161e-07
25534,关于积分入户计划生育证明办理,深圳市卫生和计划生育委员会,2013.08.12,2013.08.21,"我老公最近申请积分入户，但去街道开具计划生育证明，被告知需要出具我户籍所在地的流动人口婚约证明，可通知家里人代办都不行，非要自己本人亲自回去，我想问下，我都申请了办理10年的居住证，当时在办理时都提交过这些资料，为什么去现在不能在现住居委办理计划生育证明呢
		","你好！你咨询的问题我委工作人员已通过电话向你作了解答，如仍有疑问，请继续与我们联系。谢谢你的来信，祝身体健康，你生活愉快！
",6.261127077911155e-07
7494,深圳什么时候实行178天的产假,深圳市卫生和计划生育委员会,2016.10.09,2016.10.09,"您好，看了新闻，上面说2016年9月29号之后开始休产假的以及9月29号产假未休完的都能享受至少178天的产假，但是现在公司表示深圳市政策的还没有出台，请问具体什么时间正式出台呢，要是出台后，符合新政策的已经回来上班的话能不能补休呢
		","2016年1月1日后生育的，计生方面的假期为符合法律、法规规定生育子女的夫妻，符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。符合现《深圳经济特区人口计划生育条例》晚育条件生育的，还有15日晚育假。2016年9月29日后依法生育，以及在此前依法生育且法定生育假期尚未休完的，均可按新条例规定享受80日的奖励假。难产的可再增加30日产假，生育多胞胎的每多生育一个子女增加15日产假。在规定假期内照发工资，不影响福利待遇和全勤评奖。假期从开始之日算起至结束之日，包括周末及法定节假日。若不执行可向劳动部门提出或直接向法院提出申诉维权。
		
		",1.0620796691007683e-06
