编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
23396,为何万科金域缇香一期3.6元/平的物业管理费可以通过审批？,深圳市发展和改革委员会,2014.09.23,2014.10.13,"尊敬的领导： 你好！ 我是坪山新区万科金域缇香一期的业主，自万科金域缇香一期2013年年底交房开始，我们小区的配套设施与物业服务水平根本没有达到3.6元/平的标准，业主多次与物业沟通协商，要求万科物业提供广大业主相关审批文件，均无视业主要求，未能得到正面答复。做为消费者，我们有权知道我们所购买的小区提供服务的标准及相关配套内设施是否与审批时提供的资料一致。在与物业的协商中，我们多次问及其是否依照《深圳市物业收费服务标准》相关规定制定价格，该物业主管屈经理在公开场合及多方见证下做以下答复---万科不依照该标准制定价格！ 坪山新区万科金域缇香3.6/平物业收费标准远远超深圳市物业收费标准，且在前期部分业主在坪山新区政府网站投诉万科物业不作为时，坪山政府的答复中提及该3.6元/平的标准是有在政府备案且通过备案。对此，广大金域缇香业主质疑3.6元/平的物业费是如何通过审批的？？？审批者做为专业人士，对深圳物业收费标准以及万科金域缇香的配套设施是否符合该收费标准比任何业主都更知情，而在此前提下，为何万科金域缇香还审批通过且在政府备案了明显远超该小区配套设施与服务水准的高价物业收费方案？ 在此，作为万科金域缇香的业主殷切希望并恳求得到政府相关领导的重视与答复，谢谢！ 祝工作顺利！ 万科金域缇香业主
		","根据我市现行物业管理相关规定，住宅前期物业收费实行政府指导价，需在物业管理协议及售房合同中明确收费标准与服务内容，并以备案形式告知辖区主管部门，不需另行审批。鉴于该小区多名业主反映此问题，建议住建部门和市场监管部门介入调查和协调解决。
		
		",6.483702463810914e-14
29532,ch春运火车票,深圳市发展和改革委员会,2008.11.29,2008.12.08,"通过广铁集体团的电话订票系统可以把大量的火车票先扣起来?随便编个第一代假身份证号码就行?黄牛通常会用一，两百个假号码把某趟热门车次的票扣光?扣光?只花点电话费就行了?电话订票系统根本分不出第一代15数身份证的真假?随便改下地区码或者生日码就型?只能分清2代身份证?票全被黄牛用假证件号扣光了然后高价卖出?
","?市民： ??? 你好！来信收悉。按照市政府的职能分工，我局是国民经济的宏观调控部门，请向市国资委或广铁集团反映你的投诉。此复。
",2.291500322826323e-13
4949,开元国际物业管理有限公司深圳分公司乱收管理费咨询,深圳市发展和改革委员会,2016.12.19,2016.12.20,"小区1号楼为还建房，故经业主与开元国际物业管理有限公司商榷后，停车费、物业费均收取小区其他楼栋相关标准费用的一半。本人现购买该栋还建房（即为二手业主），开元国际物业管理有限公司强行要求收取正常标准，取消之前的收费标准，并无相关物价局等机构的文件支持，不知是否存在乱收费现象？期待答复。
		","该事项不属于政府价格管理范畴，由双方协商确定。建议市民向街道办或社区了解和反映情况。
		
		",1.5623058402525203e-12
31758,招调工农转非审批,深圳市发展和改革委员会,2007.11.24,2008.03.06,"我个人的招调事项办理状态在劳动保障网上查到的结果为""办理通过"",而且,调令号也下来了,(调令号:ZF001143,调令下达时间为11.19),11.24日我去福田区委拿招工通知书时,窗口的办事人员说还要等发改局的农转非批准,请问,发改局批准期限一般是多长时间,这个时间跟我办理招调工的办理截止期限(11.27)有没有冲突啊?谢谢!
		","该件已通过电话解答。
		
		",1.8761321385341034e-09
4440,深圳邮局EMS 乱收费,深圳市发展和改革委员会,2017.01.23,2017.01.24,"我经常通过中国邮政EMS邮寄文件到香港，但是各地的邮局收费存在巨大差异，有些要收60多，有些收80多，但是我经了解，现在都是统一收费20元。邮政支局存在未价格公示、以及价格欺诈的情况，请依法查处、答复。
		","价格执法检查不属于我委职责。建议向市场监管部门咨询。
",2.0996313576659986e-09
7833,物业管理费定价需要通过政府部门审核吗,深圳市发展和改革委员会,2016.09.26,2016.09.27,"    我想咨询一下物业公司的商用办公楼的物业管理费定价需要通过政府审核吗，还是仅通过公司内部定价，做到“明码标价”即可，对于物业费定价过高的情况可以进行投诉吗?
		","商业物业服务收费实行市场调节价，由双方协商确定。
		
		",2.411381316846928e-09
30768,咨询户口迁移问题,深圳市发展和改革委员会,2008.06.04,2008.06.11,"处理人员： 您好！我是深圳户籍市民，户籍在南山区（集体户口），2008年1月份在南山区买了一套商品住房（二手房），原户主搬到龙岗区自购商品房。 原户主户口在南山，他在办理将户口从南山区迁入龙岗区手续过程中被派出所工作人员告知目前深圳尚无法办理关内到关外的户口迁移手续，而我咨询南头派出所又被告知原业主不迁出户口我是不能办迁入手续的，这样造成我在南山区买了房子但户口不能迁入南山区，原户主在龙岗区买了房子户口也不能迁入龙岗区，对我和原户主小孩入户口以及以后上学造成极大不便。 请问这种情况下，如何才能将我的户口迁入我房产归属派出所（南头派出所），谢谢！
		","王先生： 你好！ 你所反映的问题属于市公安局职能范畴事项，建议向该局咨询。此复
		
		",2.4891659844428204e-09
30985,深圳户口何时实行一体化管理,深圳市发展和改革委员会,2008.04.22,2008.05.20,"深圳市发改局： 目前，深圳市正在加快关内关外一体化的发展，但是，深圳户口何时才能真正实行特区内外一体化管理呢？ 如果是宝安龙岗两区的居民要把户口迁到特区内，程序和手续相当烦琐，并不能像关内迁移的那么方便，就算在特区内有房产证还是要走那么复杂的道路，比市外调入的还困难啊！像我的户口是宝安的，但房子在特区内，一直都没有把户口迁入特区内，这样的话等于是房子与户口分离，非常不利于户口管理。目前还有大部分家庭都在特区外购房居住，但他们并没有把户口迁出特区外，这样能说是实行居住制度吗？ 请别把宝安龙岗两区的居中总是关在关外之中，这一不与时俱进的户口证策与制度应改革了吧！ 在2006年底，贵局应市人大代表的建议：答复要加快深圳市户口一体化管理，并在2007年开始实行深圳户口关内外一体化管理，放松关外居民迁入关内的证策，只要有房产证等就可以迁移户口。可是到目前为止已接近2008年5月了,还不见贵局的批文，请问什么时候能正式实施，并跟进此事。谢谢！
		","刘勇同志： 你好！ 我局已将实施特区内外户籍一体化管理的政策请示报市政府，市政府办公厅正对此事开展协调和调研工作，争取通过市政府会议审议批准。待政策正式出台后，你所提出的问题就能够解决了。感谢你对我们工作的关心和支持！ 此复 二○○八年五月九日
		
		",1.5263981190116738e-08
20239,停车收费办法 ,深圳市发展和改革委员会,2015.05.07,2015.05.18,"1、现在《深圳市机动车停放服务收费管理办法》是于2008年颁布的，有效期为五年，至今年以满五年，但未有新的办法颁布，原收费管理办法是否依旧有效？ 2、我所居住的小区（住宅类）没有执行每天小时最高10元的标准，连续24小时内多次进场，每次都单独收费，是否违规？且小区管理处对收费“月”的解释是从月初到月末，也不符合文件规定？请问如何处理 
		","原深圳市物价局《关于发布<深圳市机动车停放服务收费管理办法>的通知》（深价规〔2008〕1号，简称《通知》）自2008年7月起已实施五年，目前我市结合实际情况正在推动开展相关修订工作。为保持全市机动车停放服务收费管理政策的连续性和合法性，经研究，决定将深价规〔2008〕1号文的有效期延至新的机动车停放服务收费管理办法实施之日为止。期间，如遇国家和省出台相关政策，从其规定。多次进入小区的按一天最高收费标准收费；按月计费的按30天计算。
",4.672211106893087e-08
32547,深圳户口何时实行一体化管理,深圳市发展和改革委员会,2007.11.23,2007.12.05,"深圳市发改局： 目前，深圳市正在加快关内关外一体化的发展，但是，深圳户口何时才能真正实行特区内外一体化管理呢？ 如果是宝安龙岗两区的居民要把户口迁到特区内，程序和手续相当烦琐，并不能像关内迁移的那么方便，就算在特区内有房产证还是要走那么复杂的道路，比市外调入的还困难啊！像我的户口是宝安的，但房子在特区内，一直都没有把户口迁入特区内，这样的话等于是房子与户口分离，非常不利于户口管理。目前还有大部分家庭都在特区外购房居住，但他们并没有把户口迁出特区外，这样能说是实行居住制度吗？ 请别把宝安龙岗两区的居中总是关在关外之中，这一不与时俱进的户口证策与制度应改革了吧！ 在2006年底，贵局应市人大代表的建议：答复要加快深圳市户口一体化管理，并在2007年开始实行深圳户口关内外一体化管理，放松关外居民迁入关内的证策，只要有房产证等就可以迁移户口。可是到目前为止已接近2007年底，马上就要步入2008年，还不见贵局的批文，请问什么时候能正式实施，并跟进此事。谢谢！
		","来信人： 你好！目前，市政府正在抓紧研究特区内外户籍一体化管理问题，有关评估论证工作正在进行中。待政策正式出台后，您的问题就可以得到解决了。谢谢您关注并发来邮件。 此复 深圳市发展和改革局
		
		",4.773420292369934e-08
