编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
2951,关于学位申请的租赁信息或租赁合同,深圳市教育局,2017.03.06,2017.03.07,"领导好：光明新区由于历史遗留问题厂房宿舍及厂房没有房产证，现住在厂里根本就办不到租赁合同，但是户管登记确实有记录是住在光明新**村，现在要申请学位，房东也没有办法，于是就逼着租客在外面找高价办理假的合同（证是真的，住的确实假的）2000-5000不等，这申请学位为什么不能按户管登记的信息来区分呢，还要什么租赁合同呢，要征税这方式，不应当是如此呀？ 另外有同事是光明新区**村的集体户，在外面租的房子房东也没有交税，办不了租赁合同，也是花钱搞假，为什么户口所在地申请学位还要提供合同呢，建议申请不在户口所在本的学校才要提供租赁合同或是户管登记的信息为准验证，政府部门是一家，你们政府部门的信息是共享的，这到申请学位了才想到要房东交租金收入的税，实在不当是这么处理事情的呀？望改进，谢谢。
		","您好！??? 非常感谢您对深圳教育的关注。我们会将您的意见及建议转相关部门阅研。??? 市教育局信访咨询服务中心：82661331。谢谢！
",0.0
6534,关于申请公立小学房屋租赁凭证问题咨询,深圳市教育局,2016.11.08,2016.11.09,"我家孩子明年就该申请小学一年级了，我们是2014年9月17日办理的房屋租赁凭证，一直居住着，到期日为2017年9月17日，我看到深宝教[2015]144号提供租房类证明材料的落款日期必须在2016年9月30日前，其中提供住宅类《房屋租赁凭证》的，租赁有效期限的终止时间必须至少能够覆盖到2017年12月31日，像我们这种2017年9月到期的租赁凭证应该怎么处理？现在提前去办是会把旧证收走的，那我们的日期就不能在2016年9月30日之前了，而且现在办证也没那么快，本月9月初就申请了，租赁所的人迟迟不上门来查验，导致过了9月30日还没办到新证，我担心再过两个月办到时候旧证收走了，新证没办到，直接影响到申请公立小学的资格，怎么办？盼回复，谢谢！
		","您好！??? 建议您就住房证明材料办理事宜直接向房屋租赁管理部门反映咨询。??? 我市义务教育就近入学需核验住房证明材料，租房家庭的适龄儿童申请学位时，需提供由市房屋租赁管理部门出具的《房屋租赁凭证》。　　无法提供《房屋租赁凭证》的租房家庭，可提供由市房屋租赁管理部门出具的《房屋租赁信息》，该信息不作为当事房屋进入租赁市场、允许租赁交易的法律凭证。市房屋租赁管理部门另行制订出具《房屋租赁信息》的操作指引。??? 我市每年义务教育阶段招生工作安排在3月-6月，招生工作由辖区教育部门具体负责。??? 如有疑问，您可直接向区教育局进行咨询。市教育局信访咨询服务中心：82661331。谢谢。
",0.0
1537,希望取消 申请学位和中考 需要房屋租赁合同要求,深圳市教育局,2017.04.04,2017.04.05,"为什么现在申请学位.中考.还要房屋租赁合同，像我在深圳工作10几年，又没有钱买房子，都是租房，为了申请小学学位，中考.要找房东办租赁合同，房东跟本就不理，不肯给证件办理租赁合同...然而投诉无门！看申请学位说明租赁合同是为了证明是否住在哪里。那么现在新版居住证。是由居住登记时间和社保才能办理的。那么居住证不是可以证明本人居住地址吗？既然有居住证那么就可以证明本人居住的地址了。再一个社区经常都有上门登记居住信息.不也可以证明本人居住信息。有居住证。再让家长到社区开一张居住证明.不就可以了吗？何必还要租赁合同。找房东办租赁合同，房东跟本就不理，连证件也不提供.老百姓很是无奈.然而投诉无门！我代表所有为了小孩申请学位.中考。因为租赁合同而无可奈何的家长们恳请教育局取消租赁合同这一条件。希望政府多考虑下最底层的群众。我们的小孩也是祖国的未来.
		","您好！??? 非常感谢您对深圳教育的关注。我们会将您的意见及建议转相关部门阅研。??? 市教育局信访咨询服务中心：82661331。谢谢！
",0.0
4093,民办非学历教育机构退费咨询,深圳市教育局,2017.02.10,2017.02.10,"2017年1月17号，我在深圳韦博英语培训机构报了名，但是由于近期工作变动无法开始学习。合同上写了五天内退学要交500元手续费，一个月内退学要交6800元费用，我交了现金3500元和贷款31300元，一次性共交了34800元两年的学费，教费后发现该教育机构合同上的条款存在格式条款和违反了广东省民办非学历机构的规定，构成了跨年收取学费，至今我还没有到学区去开课学习，请问我可以依照广东省民办非学历机构的规定退回我缴纳的学费嘛。我是否要承担合同规定的一个月内退款要交6800元手续费？
		","
您好!??? 民办成人教育机构、民办职业技能培训机构的退费事项按照《广东省民办非学历教育机构退费管理办法》（粤教职[2003]100号）执行。
??? 如还有疑问，可咨询市教育局信访咨询服务中心：82661331。谢谢！
",0.0
3554,学位申请,深圳市教育局,2017.02.22,2017.02.23,"学位申请难，且失公平。很多房东不配合办租赁合同或租赁信息。教育局又说学位申请要提供51中的《证明合法居住》。教育局就推给房屋租赁管理部门。但房屋租赁管理部门，又说不可以强制房东配合办租赁合同或租赁信息。多年来，执法真空导致买卖合同是常事，不少家长也在网上申讨这种费力且不一定能办得到的事，积怨很深。再说办理居住证，公安局都审核了居住合法，有稳定工作，一年以上。为什么教育局宁可采信小部门来证明合法住居。把公信力极高且容易办理的公安局的结论放置一边。
		","
您好！
??? 2017年义务教育招生政策我局正在积极制定，具体政策以实际出台的为准。建议您随时通过深圳市教育局或区教育局网站关注相关信息。??? 我市每年义务教育阶段招生工作安排在3月-6月，招生工作由辖区教育部门具体负责。如有疑问，您可直接向区教育局进行咨询。??? 市教育局信访咨询服务中心：82661331。谢谢。
",2.220446049250313e-16
4564,教育机构谋取暴利，违规办学，要求退费一直拖欠,深圳市教育局,2017.01.11,2017.01.13,"恳请政府部门重视，该机构甚至多家类似培训机构存在社会上欺骗的行为机构名字：深圳市学子汇文化发展有限公司 注册号：440301105143805 法人：顾亚明 联系电话：18675502777 办公地址：深圳市龙华和平东路尚美中心大厦1005 1、退费难，机构负责人扬言不怕找媒体、相关执法部门曝光 2、存在不退，不及时退费行为，违反退费管理办法：根据《广东省民办非学历教育机构退费管理办法》：教育机构认为可给予退费的，应在2个工作日内区别不同情况核定退费金额，加盖印章后退费给学生；学生或代理人签字后有效。由代理人领取退费的,其代理人应有合法凭证。现在寻求找教育部门告知受理部门的联系方式，协助本人处理该退费问题。于2016年8月30日填写受理单已过4个多月至今未退费。
		","您好!??? 根据深圳市人民政府《关于将查处非法教育培训机构职责纳入城市管理综合执法范围的决定》（深府[2010]170号）文件：为加强对我市教育培训市场的监管，促进教育培训市场健康规范发展，根据国家法律、法规的有关规定，结合我市实际，决定对应当经过教育行政主管部门批准而未经批准、擅自举办教育培训机构的行为进行查处，并将查处非法教育培训机构职责纳入城市管理综合执法范围，具体组织实施工作按照深圳市人民政府《关于全面推进街道综合执法工作的决定》（深府[2006]268号）执行。??? 按照目前相关规定，无证办学的机构建议您直接向城管执法大队反映。??? 如还有疑问，可致电市教育局信访咨询服务中心：82661331。谢谢！
",4.440892098500626e-16
29645,幼儿园每学期收5个月的费用是否合理呢?,深圳市教育局,2008.10.28,2008.11.14,"您好! 请问,幼儿园每学期收5个月的费用是否合理呢？有些地方只收4.5个月的费用，我也觉得收4.5个月的费用比较合理一些。 下面来举个今年08年的例子: 第一：上半学期，学校收了5个月费用，开学时间是2月18日，但上到7月10号就开始提前放假了，如果按照5个月计算的话，应该上到7月18号放假才足5个月。这里幼儿就有6天时间不在幼儿园里。也就是不在5个月的范围内。另外，劳动节放假：1天，端五节放假：1天。这样加起来的话，上半学期有8天时间幼儿是不在园里的。但这8天幼儿园已经收费了。这8天（不含周六、周日） 第二：下半学期，一开学时，幼儿园已经收了5个月的费用，开学日是9月1日，正常来讲，应该上到2月1日放假才足5个月，但以往幼儿园都会提前在春节前一个星期放假，对于今年来讲的话，阳历的09-01-23日已经在农历二十八，按照幼儿园的老规划，应该最晚也是阳历09-01-19开始放寒假，这样的话，幼儿又会有10天时间是不在幼儿园里的。另外，国庆节放假：3天，元旦放假：1天，这样加起来的话，幼儿就有14天（不含周未）时间是不在幼儿园里的，但这14天幼儿园是已经收费了。 以上我不是反对幼儿园老时放假，那是国家规定的，必须得放，可是，目前还没听说，国家规放假日也要收取学费。但主要的重点是：幼儿园每次开学都是收5个月的费用的，但每年暑假，寒假幼儿园都会提前放假，也就是说：每学期还没上足5个月，幼儿园就已经放假了，这样计算起来，一个幼儿就会多交几百块，一个幼儿园二百多人的话，那么多家长累计起来的话就要多交好几万元。对于我们打工的来讲,那是很大一笔资金。 我最后的意思是咨询一下：幼儿园是不是每学期只收4.5个月的费用比较合理呢,这样的话,对于幼儿园春节放假是没有任何影响的，对于每位家长来讲也可以减轻一点负担。重点是：每学期幼儿园都收了5个月的费用，但实际上幼儿园却没上足5个月的时间。在网上查询了一下，有些省地区也是收4.5个月的费用. 以上盼回复，非常感谢！
		","您好！按照规定，幼儿园的费用按月收取。如是公办幼儿园以月中时间为界计算，即在当月15号前放寒、暑假及15号后开学的收取半个月的保教费，如在当月15号前开学及15号后放寒、暑假收取全月保教费；按照深价联字【2002】32号文件规定，民办幼儿园、托儿所的幼儿当月入园超过5天收取全月保教费。 （多次电话联系无人接听，如还有疑问，欢迎来电82001533咨询。谢谢！）
		
		",1.3322676295501878e-15
20265,多层多户单房产证出租屋学位资格如何计算,深圳市教育局,2015.05.15,2015.05.15,"您好，我想咨询一下，我现在租的房子有好几层，每层有几套房的自建出租屋，我只租了其中一套，但整栋楼只有一个房产证。我想问的是，学位资格是一个房产证只能申请一个学位，还是同一个房产证下，不同的套间是否都同时附合申请学位资格呢？（同一房产证下有几层，几套出租套房，不同一套房，6年内都未申请过学位，现在同一年同时申请学位，是否都附合申请条件呢？）
		","
您好！??? 根据《福田区2015年小学一年级新生报名指南》福田区住址住房证明材料：现居住地街道办事处房屋租赁管理所登记备案的住宅用途《深圳市房地产租赁合同》和《房屋租赁凭证》（必须为整套房屋且有效期为一年以上），实行学位房锁定的学校，要求租赁凭证登记备案日期为2014年9月30日前，其他学校租赁凭证登记备案日期在网上报名开始前（即2015年3月31日前）即可。??? 我市义务教育阶段的招生工作由辖区教育部门具体负责，建议就此事宜直接向福田区教育局教育科咨询。义务教育招生工作咨询电话：82918379；信访咨询电话：82918360。谢谢！
",7.993605777301127e-15
20192,住在合租农民房的小孩可否享受学位补贴？,深圳市教育局,2015.05.20,2015.05.20,"我小孩现就读深圳市福田区一所民办小学。现在在申请学位补贴是遇到困难。我们是合租房，已在此居住已超过五年。租赁所备案的合同是与我们同住的另一家的名字。在学位补贴申请系统中“房产”一项只好选择了其他。街道办已开具了居住证明，但就读学校时学校说我们这种不属于特殊房产，没法受理。没有收我们上交的居住证明。现在系统审核结果是需要提交纸质证明资料。但学校又认为资料不合格。这种情形就不能申请学位补贴了吗？我们也确实是一直居住于此的啊！急盼回复。
		","您好！??????? 学位补贴工作在市教育行政部门的统筹指导下进行，由各区政府（新区管委会）具体组织实施。建议按照“属地管理”和“分级办学，分级管理”原则，将此问题直接咨询福田区教育局。福田区教育局信访咨询电话：82918360。谢谢！
",9.992007221626409e-15
21032,关于罗湖区小一学位申请事宜,深圳市教育局,2015.04.02,2015.04.02,"您好，想咨询一下，小学学位网上预报名时需要填写住房信息时，因房产证原购房发证时间为2004年3月13日，在2006年12月29日原购房者个人身份证号码变更，而变更了房产证上的个人信息，致使原房产证号码及发证日期发生变更，如按新证时间填写会导致学区积分减少100分，这样实际是不合理的，鉴于这种个人信息变更情况并非重新购买，在填写住房信息时是否可以根据实际情况按原购房发证时间和原房产证号码填写，从而不影响积分呢。
		","

您好！??????? 根据义务教育“属地管理，以区为主”的原则，建议就此事宜直接向罗湖区教育局教育科咨询、反映。义务教育招生工作咨询电话：25666324；信访咨询电话：25666332。谢谢！
",2.3314683517128287e-14
330,申报深圳龙华区小一学位但房屋编码无法录入的紧急求助,深圳市教育局,2017.04.25,2017.04.28,"1、本人：曹朋祥，身份证号码：441481198207290092，为小女：曹鑫滢，身份证号码：441481201010060028，申请小一学位； 2、本人持有有效房屋租赁合同证明书：龙华IE001372（备），但房屋编号：4403060100035600127000040，合同地址：深圳市龙华新区观澜大和社区田寮新村46号706； 3、本人在龙华区2017年小一学位网上预申请系统（非大学区）按房屋编号录入无结果，本人按地址搜索无此地址，本人持合同到观湖房屋租赁管理所验证有效，房屋编码有效，工作人员说明教育局小一学位申报系统无更新接一致所导致，本人拨打龙华基础教育处0755-23336218均无拨通，实无法在申报系统录入房屋租赁信息； 4、特此向教育局工作人员求助解决，谢谢！
		","您好！??? 建议按照“属地管理” 和“分级办学，分级管理”原则，将此问题直接向辖区教育局咨询。龙华新区公共事业局信访咨询投诉电话：23336277。??? 市教育局信访咨询服务中心：82661331。谢谢！
",2.398081733190338e-14
21159,租赁时间,深圳市教育局,2015.03.23,2015.03.24,"1、我小孩是深圳罗湖户籍，在罗湖区租房。根据今年罗湖区招生指南住房证明材料中，深户的除了要有租赁合同外，还要开无房证明。但是在学位申请分类及积分表中仅作为加分条件。请问这个无房证明是硬性条件，一定要的吗？因为我在龙岗区有房，我们开不了无房证明。如果开不了是不是就在罗湖申请不了学位。但是对于非深户的有没有此项要求。请问这个条件是不是只作为加分条件？ 2、请问深户的租赁合同要求的时间是什么时候到什么时候。指南中“关于住房材料的说明”里是这样写的，计算租房起始时间以《房屋租赁凭证》签署（备案）日期为准，截止时间为3月31日。谢谢
		","

您好！??????? 根据《罗湖区2015年小学一年级学位申请指南》深圳户籍儿童：??????? （1）户籍证明材料：儿童出生证、全家户口本。??????? （2）住址证明材料：适龄儿童父母（或监护人）在学校招生地段内的有效《房产证》，或《购房合同》及付款凭证（自建房及其他自有住房但无相关合法产权证明的应出具相关合理证明，详见“关于住房材料的说明之2”）；租房居住的提供现居住地街道办事处房屋租赁管理所出具的《房屋租赁凭证》和市房屋产权登记中心出具的无房证明并实际居住（住本单位职工宿舍无正规租赁手续的应出具相关合理证明，详见“关于住房材料的说明之4”）。??????? （3）学位申请表：《罗湖区2015年秋季小学一年级学位申请表》（验证时到申请学校领取）。?????? ?深圳户籍租房居住，能提供儿童父母无房证明（由市房屋产权登记中心出具）的加10分。该项材料属于加分项目。
?????? ?关于住房材料的说明：计算租房起始时间以《房屋租赁凭证》签署（备案）日期为准，截止时间为3月31日。同一地段前后连续租赁合同可合并计算租住时间，租住时间原则上应跨越2015年9月30日。在同一套出租房内有多户居住者，地段学校只接受其中一户的学位申请。
??????? 我市义务教育阶段的招生工作由辖区教育部门具体负责，建议就此事宜直接向罗湖区教育局教育科咨询。义务教育招生工作咨询电话：25666324；信访咨询电话：25666332。谢谢！附：《罗湖区2015年小学一年级学位申请指南》网址：http://lhjjk.luohuedu.net/wzgl/tabid/72/ctl/ArticleShow/mid/437/ArticleID/225/Default.aspx供参考。
",3.574918139293004e-14
9557,关于幼儿园退保教费问题,深圳市教育局,2016.07.18,2016.07.20,"我们幼儿园收费从2016.3月，4月，5月，6月，-2016年7月，共收了保教费及伙食费7500元，然后我们从6月24号因为孩子生病就提前请假没去幼儿园，整个7月份也没去幼儿园，正常退费是要退一个整月7月的保教费及伙食费1500元，而且当时收费的时候有人最后一个月7月份不上就只缴了6000块，现在申请去校方退费，校方说你们教育局规定不退整月，只退一个月的30%，我想请问下有这项规定吗？这个规定是什么时候开始执行的，同期有好位家长都遇到这种情况，迫切希望得到你们的答复，感谢尽快答复，谢谢。
		","您好！　　目前，按照广东省物价局、广东省教育厅、广东省财政厅关于《幼儿园收费管理暂行办法》的实施细则（粤价〔2012〕47号）文件规定，采取按学期收取的，每个学期按5个月计算。幼儿因请假、转学、退学、插班等原因学期内累计在园时间不满10天（含10天，以工作日计算，下同）的，幼儿园按保教费缴费额的80%退还；超过10天但未满30天的，按保教费缴费额的50%退还；超过30天但不满50天的，按保教费缴费额的30%退还，超过50天的，不退还所缴保教费。??? 伙食费（含营养餐点）。幼儿园收取的伙食费只能用于支付与幼儿膳食有关的食物费用，不得用于支付其他间接费用。幼儿园应于次月15日前向家长公布伙食费收支情况，学期末（转、退园幼儿在离园时）将结余部分全部退还幼儿家长。??? 如有疑问 ，建议按照“属地管理”和“分级办学，分级管理”原则，将此问题直接向所在辖区教育部门咨询反映。市教育局信访咨询服务中心：82661331。谢谢！
",9.037215420448774e-14
6366,深圳成长补贴核验合格，却无法领到,深圳市教育局,2016.11.11,2016.11.16,"今年的成长补贴由于我没有将儿童信息拉选为深户，现在显示核验结果【合格】，而无法享受2016年度的成长补贴，我已经打过技术服务部电话33018116和33018106，但是他们不帮修改，让我找教育局。幼儿园老师也说没有办法，提醒过让我检查（问题是我第一次填就检查过，并没有发现这个错误，网上也没有报错，也没有因为填的是非深户提示我要计生信息。我检查过这里，感觉自己填的是对的，是深户），拿不到！这太不科学了，因为就算是非深户也是可以享受成长补贴的，而且11月14日之前非深户还可以去计生办手动提交申请更改的流程，而深户就因为选项错选成非深户就直接被否决无法领到成长补贴，连递交书面申请的资格都没有。这种设置是不科学的，我表示不满，虽然对于一些人1500元算不了什么，但是做为老百姓很在意，我会继续申诉这个不合理现象。而且不知道这笔钱有没有被别人领用！父母都是深户！儿童身份号也是4403开头的，公安局验证资料也是合格的，所有就符合条件，却只是深圳户籍选错成非深户，无法领取，教育局的这个《深圳市学前教育管理系统》是给深圳人实惠和补助的，不是一点无关紧要的差错让市民添堵的，特此投诉！我会一直投诉下去，以便于政府让网上办事更加人性化！办实事！
		","您好！??? 来件收悉，建议可就此事宜直接向市教育局学前教育办公室咨询。学前教育办公室办公电话：88121564.??? 市教育局信访咨询服务中心：82661331。谢谢！
",1.545430450278218e-13
2797,幼升小学（关于租房合同、租赁信息，居住证，房屋编码的事宜）,深圳市教育局,2017.03.08,2017.03.08,"您好！关于现在申请小学学位，我小孩现在落户在福田区，但我们住在南山，需要租房合同或是租赁信息，但是现在房东都不愿去办，我们租住在南山（城中村），都有住了3年以上了，因为都是需要房东的房屋或身份证件才能办理，房东不愿配合，也没办法，就只能搬家？但有一个问题，我都有办理了居住证（新版的）都能查到我居住的实际情况，流动人口管理网上也进行申报了，社区工作站也有人过来登记了，就为啥不能凭这么多信息办理这个租赁信息表呢？ 办理居住证不是都有房屋编码吗？ 这个房屋编码难道不是权威，真实的房屋信息吗？
		","
您好！??? 建议您就住房证明材料办理事宜直接向房屋租赁管理部门反映咨询。??? 我市义务教育就近入学需核验住房证明材料，租房家庭的适龄儿童申请学位时，需提供由市房屋租赁管理部门出具的《房屋租赁凭证》。　　无法提供《房屋租赁凭证》的租房家庭，可提供由市房屋租赁管理部门出具的《房屋租赁信息》，该信息不作为当事房屋进入租赁市场、允许租赁交易的法律凭证。市房屋租赁管理部门另行制订出具《房屋租赁信息》的操作指引。??? 我市每年义务教育阶段招生工作安排在3月-6月，招生工作由辖区教育部门具体负责。??? 如有疑问，您可直接向区教育局进行咨询。?????????? 市教育局信访咨询服务中心：82661331。谢谢。
",2.8688162956314045e-13
