受理意见,咨询主题,咨询人,咨询内容,咨询日期,处理单位,处理状态
None,平沙镇的摩托车何时能再次申请上牌,张*****,平沙镇的摩托车何时能再次申请上牌？去年9月31日有大批摩托车已申请上牌，由于当时户口在外地所以没有赶上政策。今年打算将户口转入珠海，有意向申请摩托车牌！,2017-06-05 09:13:08,市公安局,处理中
None,目前珠海剖腹产产假天数,胡*****,目前珠海市剖腹产产假天数是多少，网上版本太多，希望能知道官方的时间规定,2017-06-05 08:32:44,市人力资源和社会保障局,办结
None,网上提取公积金问题,林*****,因租房网上申请提取公积金，申请时间距离上次提取不满1年，申请后收到短信通知未通过审批，状态显示处理中，目前距离上次提取已经满1年了，再次申请提示重复申报,2017-06-03 11:30:42,市住房公积金管理中心,处理中
None,技能培训补贴,叶*****,我于2015年参加会展策划师培训，取得高级证书，当时申请了补贴，今年想转行学习西式面点师，准备参加初级考试，但是培训机构说我不能再享受补贴了？,2017-06-02 13:37:52,市人力资源和社会保障局,处理中
None,小孩读幼儿园的预防针审核报告是不是跟学位,陈*****,我想询问一下，因为以前一段时间新闻经常报道疫苗有问题，我小孩在老家有一段没有打疫苗，相比珠海这里的同龄小孩疫苗打得少一点，去平沙卫生服务站开疫苗审核报告的时候，服务站说打得少不能开，但中心幼儿园又马上要交预防针审核报告，我想问一下是不是疫苗打得少就不能读幼儿园？？？,2017-06-02 11:39:08,高栏港经济区,处理中
None,生育津贴,姚*****,您好！请问公司员工生育津贴发放的个人明细记录在哪里可以查得到呢？将广东地税系统升级到最新版本后，还是无法查询到生育津贴发放的个人明细记录。,2017-06-01 16:17:35,市人力资源和社会保障局,办结
None,租赁房屋支取公积金审批金额问题,宁*****,你好，最近因租房申请了支取公积金，租金为1500，租期为1年，为什么最后审批的金额为17300，不是最高额度为18000的吗？,2017-06-01 16:02:03,市住房公积金管理中心,处理中
None,企业对劳动者扣款的限制,李*****,《工资支付暂行规定》第十六条 因劳动者本人原因给用人单位造成经济损失的，用人单位可按照劳动合同的约定要求其赔偿经济损失。经济损失的赔偿，可从劳动者本人的工资中扣除。但每月扣除的部分不得超过劳动者当月工资的20%。若扣除后的剩余工资部分低于当地月最低工资标准，则按最低工资标准支付。《广东省工资支付条例》第十五条 因劳动者过错造成用人单位直接经济损失，依法应当承担赔偿责任的，用人单位可以从其工资中扣除赔偿费，但应当提前书面告知扣除原因及数额；未书面告知的不得扣除。扣除赔偿费后的月工资余额不得低于当地最低工资标准。两个条款的差别在于规定了每月扣除的部分不得超过劳动者当月工资的20%。现在珠海的企业要不要收这条限制呢？是按《广东省工资支付条例》执行吗？,2017-06-01 11:26:28,市人力资源和社会保障局,办结
None,珠海户籍人员社保补缴,李*****,我公司有位同事，珠海户籍，今年3月份从一家公司离职后，五月份在我们公司上班，4月份因为没有工作单位社保中断了，现在是否可以个人名义补缴4月份的社保？如果补缴不了，是不是就视同社保中断了？对她以后享受基本养老待遇和基本医疗待遇有没有影响？,2017-05-31 14:50:43,市人力资源和社会保障局,办结
None,生育保险问题,占*****,您好！ 本人是2016年3月底才开始上班，公司说4月1个月试用期没有买社保，7月发现怀孕，2017年2月27号宝宝回老家出生，生的时候连续不满12个月，现在还没有回去上班，公司也没有发放工资，请问我的医疗费用和生育津贴怎么样报销，谢谢！,2017-05-29 16:35:59,市人力资源和社会保障局,办结
"尊敬的市民，您好！人才引进申请入户需要提供《珠海市计划生育证明》，建议咨询当地居委会是否能办理此证明，人才引进办理流程，用人单位应与劳动者建立规范的劳动关系,依法办理就业登记和参加社会保险，人才引进入户的条件可以浏览以下网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201701/P020170123639631257864.pdf  办事指南浏览此网站：http://www.zhrsj.gov.cn/xinxi/zcfg/zxwj/201702/t20170228_16255641.html。（机关事业单位、国内高等院校珠海校区除外）感谢您对我们工作的支持。",人才引进计划生育证明,郑*****,您好！我的情况是这样的：已在珠海工作9年多，也买了9年多的社保和公积金， 目前已在珠海购置房产，育有两个小孩，其中第二个小孩当时是属于政策外出生（2015年6月）， 我想咨询下“珠海市人才引进核准服务事项办事指南“上“无违法生育记录”该怎样理解？国家2015年底就开放二胎政策了，我的情况属于违法生育么？ 若我想落户珠海需要怎样操作呢？若上述表达不当还请见谅， 谢谢解惑！,2017-05-29 16:20:19,市人力资源和社会保障局,办结
尊敬的市民，您好！因目前义务教学的权限已下放至区，请您再次下单补充您所需咨询反映转学的所在区，以便部门解答您的问题。,小孩非珠海户籍能不能转学插班,段*****,各位领导:  本人夫妻两人在珠海工作十几年了，社保和居住证都有十年，小孩在珠海出生幼儿园上了两年，因工作忙没时间照顾小学一年级带回老家成都读书，现因父母都年龄已高无法照顾小孩，我们想把小孩带珠海读书，能不能转学公立学校读书？,2017-05-27 22:19:10,市教育局,办结
None,公积金初始密码问题,杨*****,请问下： 公积金还没设置密码，外市的离职后灯公积金封存后需要支取。 没有重新设置密码会影响到时候支取吗，、有要求一定要先设置密码才可以支取的吗？ （因为是外市，到时候支取跑回珠海，不想因为支取的时候因为没有设置密码要再跑一遍）麻烦了 谢谢,2017-05-27 11:36:06,市住房公积金管理中心,处理中
None,我的賬號信息顯示錯誤,林*****,您好，我的賬號2002020740102037601，工商銀行，電話15626192433，登錄顯示信息錯誤，要聯繫發卡。麻煩幫我看看什麼問題，好嗎？謝謝。,2017-05-26 13:41:27,市住房公积金管理中心,办结
None,我的賬號無法登錄顯示錯誤,林*****,你好，我的賬號2002020740102037601無法登錄，工商銀行，手機號碼15626192433，顯示信息錯誤，麻煩幫我看看好嗎？謝謝。,2017-05-26 13:37:49,市住房公积金管理中心,办结
None,人才引进计划生育证明,余*****,您好！我的情况是这样的：已在珠海工作3年多，并已在珠海购置房产，有一个小孩，因为当时户口问题，所以孩子是先出生，后补办的结婚证，今年4月11号 提交了全日制本科人才直接核准引进入户申请，并且已经审核通过，但发现3-15日更新的指南中增加了不能违反计划生育的硬性条件，街道办和居委会认定我们是违反计划生育的，现在的问题是：1、按照新的指南我无法申请落户，那我现在预审又通过了，该怎么取消和处理？2、珠海市新的户口迁移管理管理目前已经出了修订版，新版本中已经允许有违反生育记录并已处理的人才落户，请问这个新规定何时生效实施？3、孩子已经按照当地户籍所在地进行的罚款和手续补办，是符合计划生育的以上疑问，若表述不当还请见谅。请政府部门和领导能够体恤普通老百姓的诉求，真正落实引进人才优惠政策的本质，相信会有越来越多的外来务工人员落户珠海，为珠海的未来贡献自己的青春和能量，咱们珠海才会越来越好！,2017-05-26 10:58:45,市人力资源和社会保障局,办结
None,生肓险,黄*****,"你好,请问在休产假期间奖励假的工资公司是不是每月标准发放给员工、还是说可以员工产假结束回公司上班后,公司一次性发放。那要是每月每月工资不用扣税的,公司一次性发放三个月工资底要扣税、税金谁承担?",2017-05-25 18:57:30,市人力资源和社会保障局,办结
None,人才引进,龚*****,本人是2015年的毕业生，当时档案通过毕业生报到调入了珠海市人力资源和社会保障局但是没有选择入户，现在我想入户，但是走人才引进直接核准引进的时候显示已报到不能申请，请问我怎么样才能拿到《珠海市人才引进核准证明》,2017-05-25 12:30:31,市人力资源和社会保障局,办结
None,人才引进,丘*****,1 请问人才引进，入户 只能入 珠海市公共人才户吗？ 不能入当地户口吗？ 如果可以，哪里能咨询相关信息？2 我在申请人才引进的时候，提示暂缓就业可按照应届毕业生报到流程走，但是走这个流程的时候，我并没有看到有要求提交人才引进资料，请问报到后会有人才引进这个证明吗？ 这是个BUG？,2017-05-24 21:02:26,市人力资源和社会保障局,办结
None,中级职称问题,于*****,我2011年3月至2017年3月一直在珠海一家建筑类私企公司工作，现变换工作在中山。想问我这种情况可以申请珠海2017年的中级评审么？,2017-05-24 15:54:36,市人力资源和社会保障局,办结
